month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,0.2903030943830466,0.019746941201213498,2.664144599960167,1.9063696337400753,3.435889826337319,0.7052842619773007,1.312867686960379,6.412511836305885,0.48391505600537155,1.1052752809489863
01-02,0.28928511690602515,0.014144615357060344,2.681723515821497,1.9045651697487866,3.4341179475879087,0.7073495353292107,1.3390973239742172,6.326991476995654,0.5140598845646736,1.0913201296973252
01-03,0.29310990269272313,0.0028925562613466376,2.7120687549515634,1.906837393363235,3.425586987172631,0.7159871686990644,1.330000489131054,6.321243986420002,0.5153505080930303,1.0998355079338287
01-04,0.296740614405347,-0.008814317649181997,2.6875480681557047,1.9066213868846278,3.406271417632111,0.7227203688981334,1.3427656540172104,6.2812716775048125,0.5298173302766489,1.105661583916151
01-05,0.3121861409327857,-0.021803413781932776,2.6225651591376233,1.918679903234081,3.3854714788888782,0.7292134320338164,1.365882499470713,6.219160600412341,0.5560589713503779,1.1096483158514807
01-06,0.340321297089854,-0.027645102507276142,2.5477081760454676,1.9303443906412816,3.3674895063479107,0.7211794427861322,1.3902893380588977,6.228789176611187,0.573541642346727,1.1177135870313109
01-07,0.37953941620988524,-0.03995419864002689,2.4811660077681266,1.9484511160850095,3.360900909357358,0.7059558497348711,1.4064285892057573,6.185502161488303,0.6126634609370064,1.1063027037784352
01-08,0.41826790570028677,-0.05148255403203694,2.431702358009304,1.9669305408592865,3.362119030259669,0.6841134767113765,1.4097520438289959,6.197219550944869,0.5971961447460225,1.101990811951097
01-09,0.44872306185735505,-0.0752827612758988,2.397552782324556,1.9951826434162128,3.3664669281654422,0.6734689602681823,1.4422060268698573,6.233115538825904,0.5984774248701035,1.1074237889590668
01-10,0.4766826624588678,-0.10111741296420505,2.3790454288620304,2.022698811713729,3.3673124181987024,0.6623163575930671,1.4822202481381344,6.19609043835928,0.6145824572984776,1.1116399455098054
01-11,0.5104578186159362,-0.12433428687473354,2.3769106679920973,2.046851374555943,3.3670262072339043,0.6599885939774013,1.4999315060151763,6.188440033494922,0.6295054178828445,1.121635520957366
01-12,0.5434255673655971,-0.13889042004452123,2.364578129344386,2.0633229275932634,3.364764341685031,0.6736935677728072,1.5058876033917152,6.270210049876641,0.6522086447936125,1.1427677550305748
01-13,0.5705029457448877,-0.15343359025134604,2.323666331437415,2.077035659817696,3.3588844369280664,0.6884323972838436,1.5156990753108224,6.276679827915565,0.6639666547518205,1.1600759329720667
