month_day,east,north,up,east_sd,north_sd,up_sd
01-01,-1.1383584544382144,-0.5041887686322396,0.4678761456156983,6.737546694532919,5.7778177851743155,5.261438778049132
01-02,-1.5375974573981714,-1.1314473959579996,-0.8421635610821875,7.546279165685256,6.377346412623742,5.190909769109684
01-03,-0.9377646299613374,-0.3813231299462827,0.5284666776816529,6.326704807043084,5.439352474770952,5.282071818526892
01-04,-0.8256758969269314,-0.31513443164954474,0.4451940055288647,6.0698799842601785,5.2920374409954585,5.277855296745892
01-05,-0.7511204972258587,-0.29389573335280766,0.37392966670940997,5.889957613162385,5.306955466683848,5.50252504365424
01-06,-0.664406764191453,-0.3159445350560708,0.20397782788995533,5.7267246938879595,5.313046849981261,5.543080277192697
01-07,-0.5723471978237142,-0.32960167009266655,0.12598432240383395,5.554835360371664,5.288669025609238,5.480895702760178
01-08,-0.43510013145597487,-0.3206796384625956,0.042049150251046274,5.372324448932054,5.241708604166224,5.4905471398085846
01-09,-0.29503223175490256,-0.2926951068325252,-0.047306855235075274,5.177466483041047,5.194020979223188,5.742174935139474
01-10,-0.1769351653871638,-0.2748939085357876,-0.062046194054529824,5.03435807814644,5.207882293300799,5.805989453315864
01-11,-0.005404765686091717,-0.30821354357238295,-0.07654803287398443,4.947116074326032,5.198377065631598,5.8164675043075
01-12,0.1597589673483144,-0.33413734527564565,-0.06159153836010578,4.816863306494601,5.175235983326962,5.744948828485272
01-13,0.32210186704938687,-0.3630028136455753,-0.1573225438462269,4.666130938263187,5.173522003523343,5.733331421561861
01-14,0.5077697667504594,-0.3856057820155049,-0.24844521599901498,4.573373446380082,5.172908557912811,5.875564834958921
01-15,0.6553543331181989,-0.41580041705210063,-0.31157205481846967,4.537600645334251,5.201172946897383,5.813414175412239
01-16,0.776918066152605,-0.4141617187553631,-0.3948530603045912,4.515214301276694,5.202022040654452,5.613457061130743
01-17,0.9152484658536775,-0.437164687125292,-0.427288232457379,4.5225179578667145,5.252556427778985,5.636242462614746
01-18,1.053120532221417,-0.4861843221618881,-0.3756359046101669,4.551240864389023,5.3167068911170245,5.810082556427248
01-19,1.1755634319224892,-0.5169872905318176,-0.4113919100962881,4.630209704352664,5.366565421942816,5.859533366281442
01-20,1.3012229982902281,-0.5130777589017469,-0.34456458224907605,4.652551201935307,5.2386226781523275,5.606957217159123
01-21,1.4144783979913007,-0.467068227271676,-0.3566414210685309,4.641474349812615,5.136835824723055,5.520912141536341
01-22,1.4990671310257069,-0.43858786230827185,-0.3494057598879855,4.608893496824852,5.026977907291391,5.463444727357765
01-23,1.6232225307267791,-0.44624499734486794,-0.33132426537410675,4.607909537268243,4.9465092967593165,5.2912122354318685
01-24,1.6983154304278514,-0.47377713238146457,-0.5179344375268948,4.593957331012906,4.8986644763063945,5.303391961653169
01-25,1.7504708301289238,-0.47917593408472636,-0.6773737763463497,4.566640014582201,4.824830106514178,5.3591569669967205
