month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-1.1409692099586004,-0.49693360638102035,0.6302682025638975,4.233150906148102,3.4690783347530103,5.588415141537209,5.718954533178834,5.761497910582594,7.024335493181737,2.0509662034619476
01-02,-1.133583037885842,-0.4941302757511701,0.6661044127838,4.256262088275424,3.4621752166976805,5.6050868842601975,5.749210964725159,5.632982417517436,7.032664597611219,2.042606061006317
01-03,-1.1095758789255106,-0.49504509597295093,0.7137197961865676,4.295524626822028,3.4428307026184513,5.659289332932079,5.812564389988459,5.48114700638614,7.09886803955569,2.046135843093161
01-04,-1.0757072384836974,-0.5007258421206578,0.7227374018115572,4.328881171280786,3.4170672902113632,5.7164387702847765,5.843658078349482,5.292308779016207,7.15088583492676,2.051720600638228
01-05,-1.0136630424863287,-0.5005739956757724,0.6835542666958062,4.348066573341041,3.394078404245438,5.706435452449022,5.870931444551981,5.159093440064359,7.1502932019166225,2.046146196926784
01-06,-0.9283521798222933,-0.49032511219384994,0.6246311315800553,4.3587954525311625,3.3826720801586503,5.612328955122914,5.805757139303889,5.138192459478154,7.018751498217459,2.0267157212317937
01-07,-0.8264961319730726,-0.4810265990822979,0.548660589056897,4.359586638142117,3.376464652838513,5.511981194079364,5.741901931606074,5.2136137101088185,6.8807191532057494,2.0208493236017127
01-08,-0.720851195234963,-0.479115493378153,0.4823722687559609,4.355862066344378,3.377219844146476,5.4100953338254465,5.700337070430937,5.256010359980661,6.760100342833077,2.0086287913741487
01-09,-0.6159662584968535,-0.4775947580443785,0.4321913558624321,4.352358851026513,3.377599882002961,5.294173458984614,5.65483065683613,5.250459698616795,6.638714588267997,1.990274635836255
01-10,-0.5005839897954489,-0.4663306490420447,0.4127961394564806,4.35224135702284,3.3828943884071703,5.176060574499033,5.5994587712937145,5.24202063282911,6.499959345718523,1.9693279119150788
01-11,-0.3830586872537631,-0.44741249530690014,0.39270816547215975,4.3568715085311895,3.3889067504179464,5.0955150639106455,5.545843088470689,5.318388489371486,6.377901092951666,1.9487340927854675
01-12,-0.26844516568661086,-0.42457474128338907,0.3726839153909511,4.361559313732492,3.3932112591331403,5.009135336762958,5.498838256068923,5.351570239803702,6.2630239138493025,1.9300213933971901
01-13,-0.16551927557580598,-0.40934705693636714,0.31370306309564777,4.359307468086757,3.3916012131334674,4.923597372893158,5.446588710265166,5.337695895855801,6.1414571373842355,1.9061992941668704
01-14,-0.07367464518093976,-0.3956624455640229,0.2592817639505245,4.350596736780207,3.3820349942610233,4.827349235021293,5.3931806544018395,5.330328235083583,6.018794125123874,1.8891799480015377
01-15,0.025250947720209988,-0.38729979605524534,0.20517094388150717,4.340499309029576,3.369953809469152,4.7133335941316075,5.317294882009623,5.246597415502064,5.868128718424321,1.8555580874284139
01-16,0.12400713275727289,-0.37863429359521966,0.14264152881452172,4.328765310928925,3.35824979267761,4.611804799203816,5.243072475888204,5.171568274886702,5.7287609470649885,1.8289324495247068
01-17,0.2230157640654978,-0.3709664992364829,0.06475464188755685,4.317526602439258,3.3476711064883973,4.500367885940004,5.183554302828111,5.276230271813568,5.594126937663764,1.8195342828928853
01-18,0.3213226212493802,-0.36240300996921243,-0.017963485055663198,4.306205442768641,3.344334292962502,4.409660018956655,5.143506916428627,5.364193657699092,5.485643267463367,1.8173747767448118
01-19,0.4249899265311423,-0.3537475294971122,-0.06563655571884212,4.2888373375092215,3.3403239134910447,4.316091151109876,5.087840034972251,5.350229635133236,5.366593980692399,1.8001319033250924
01-20,0.5385422706766593,-0.3452001274966709,-0.09863820935311156,4.270301103209313,3.3425900161406585,4.215228892359595,5.012173728808823,5.249004740526372,5.23656854319165,1.7631934644941814
01-21,0.6467775777851391,-0.32988235512585934,-0.13772282595034402,4.248932826070813,3.3436119463337994,4.103919515421762,4.963323943181851,5.294496326573541,5.108795682482191,1.7312450076005574
01-22,0.7527780700788043,-0.3145186568291216,-0.18121040551053938,4.237578318159337,3.342232592134702,4.019291351483355,4.909499002392649,5.304030674892551,4.992738912990797,1.7072082476836694
01-23,0.8528874512613583,-0.2907134770509027,-0.2324653924781422,4.2363793630062565,3.3367254357094596,3.947905545295883,4.846975321986189,5.241506969483748,4.882581533014597,1.6889510610417269
01-24,0.9501827583698382,-0.27156237134675776,-0.28550926833463386,4.246347491483623,3.3358429869570365,3.9175045711412846,4.779275089077387,5.154404642560524,4.78994491190817,1.6625106616521699
01-25,1.0470136210338736,-0.2615164508277981,-0.34694869974668113,4.260496533917173,3.3396538372735347,3.884074586884451,4.738335924410051,5.150280020110154,4.724028329506577,1.6375780924248222
01-26,1.141922261475687,-0.26515571549402367,-0.40729183486243214,4.276448371627224,3.3445706900141032,3.857814720483052,4.713910860958127,5.128361634153214,4.6913036028311526,1.624953451305107
01-27,1.2439790500656482,-0.27006090608617517,-0.4446068218300348,4.287048920178173,3.3456571840706393,3.8550456915615094,4.692998417153222,5.06787113723177,4.6655427327877,1.6144558548882335
01-28,1.3467847275444986,-0.2637957263079562,-0.46455291990874875,4.2954274481399155,3.344523009466735,3.8422709644290736,4.579625409502708,4.884835975596266,4.565533647093137,1.5667080406067762
01-29,1.4490992939122378,-0.2477149909741818,-0.47900642539487,4.29724857402499,3.3458227289346,3.831875027613644,4.473394247814584,4.719019774933352,4.475395249427617,1.5246770442354227
01-30,1.5422197862059026,-0.22721277415892582,-0.5157414123624728,4.293416457732497,3.346547447120584,3.805864169836153,4.377323723765403,4.63906523132308,4.38881815568716,1.4916589164534053
