station,lon,lat,disp,year,Amplitude,Peak_DoY,Min_DoY,Time_MintoPeak
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2009,11.058918437371819,40,105,65
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2010,10.613510646269148,307,86,221
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2011,15.332428706625143,364,174,190
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2015,10.13232236186002,2,164,162
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2016,13.56628292131857,58,136,78
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2017,10.737473731017012,221,135,86
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2018,9.854870056494008,266,61,205
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2019,13.35029705112429,25,105,80
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2020,11.309846545400294,363,95,268
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2021,8.898087937166727,12,181,169
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2022,12.525271798262292,273,179,94
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2023,10.84906153507104,9,103,94
JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,2024,9.703874190438906,62,197,135
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2009,13.942880288108508,25,101,76
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2010,12.608790834344994,213,86,127
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2011,14.560789187689963,340,172,168
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2013,8.61774857744578,235,67,168
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2015,10.665434946036022,260,362,102
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2016,14.907673885640754,229,5,224
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2017,13.265121370538733,28,135,107
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2018,8.082084985984467,211,323,112
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2019,15.34844059825197,248,105,143
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2020,9.562466654674454,290,148,142
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2021,8.087577212903152,332,129,203
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2022,11.576708197298505,276,55,221
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2023,16.51765092638376,252,103,149
JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,2024,8.763992711096936,241,100,141
THU2,"4   -68.82505
Name: longitude, dtype: float64","4    76.537047
Name: latitude, dtype: float64",Vertical,2001,16.810422357053213,13,180,167
THU2,"4   -68.82505
Name: longitude, dtype: float64","4    76.537047
Name: latitude, dtype: float64",Vertical,2003,13.16437334520779,325,157,168
THU2,"4   -68.82505
Name: longitude, dtype: float64","4    76.537047
Name: latitude, dtype: float64",Vertical,2004,10.971715711847278,31,320,289
THU2,"4   -68.82505
Name: longitude, dtype: float64","4    76.537047
Name: latitude, dtype: float64",Vertical,2005,11.83864063919372,1,154,153
THU2,"4   -68.82505
Name: longitude, dtype: float64","4    76.537047
Name: latitude, dtype: float64",Vertical,2006,9.769901849674778,11,129,118
THU2,"4   -68.82505
Name: longitude, dtype: float64","4    76.537047
Name: latitude, dtype: float64",Vertical,2007,10.207908981561161,364,135,229
THU2,"4   -68.82505
Name: longitude, dtype: float64","4    76.537047
Name: latitude, dtype: float64",Vertical,2008,13.270096857946154,225,122,103
