 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2005.746739   81.1990  -44.5710  -22.8590    0.7640    1.0650    3.8750 
 2005.749477   80.9090  -47.4900  -28.8450    0.8540    1.2340    4.3020 
 2005.752215   81.2540  -45.9400  -26.1200    0.8730    1.2170    4.4090 
 2005.754953   80.1990  -46.6630  -25.5970    0.7690    1.0990    3.8510 
 2005.757691   82.0860  -48.1500  -26.9940    0.7300    1.0470    3.7800 
 2005.759963   79.4140  -46.3520  -25.7640    0.8700    1.2610    4.3980 
 2005.763166   81.0790  -47.3730  -23.1800    0.7360    1.0470    3.7140 
 2005.765904   81.8560  -46.8410  -28.2930    0.7810    1.1620    3.9770 
 2005.768642   81.2430  -46.2390  -23.1390    0.8130    1.1770    4.0490 
 2005.771380   82.1820  -47.5600  -25.5790    0.7860    1.1270    3.8910 
 2005.774118   82.0630  -44.7340  -24.6360    0.7870    1.1290    3.8780 
 2005.776856   79.3520  -45.9290  -21.2190    0.8040    1.1180    3.9670 
 2005.779594   82.7900  -44.1090  -19.5270    0.7550    1.0760    3.8760 
 2005.782331   82.3430  -46.1960  -24.5750    0.7830    1.1070    3.8830 
 2005.783919   82.4400  -50.7760  -36.7920    1.8800    3.0440   10.3260 
 2005.817923   79.6160  -47.0120  -24.8680    0.7570    1.0720    3.8380 
 2005.820661   79.4210  -46.5720  -23.0120    0.8010    1.1100    4.0060 
 2005.823399   79.3420  -46.6130  -25.7540    0.7780    1.1250    4.0000 
 2005.826137   79.9190  -45.1660  -19.6490    0.7380    1.0450    3.7270 
 2005.828875   80.2550  -46.8760  -25.4740    0.7370    1.0590    3.7220 
 2005.831613   79.4510  -45.4300  -24.1200    0.7730    1.1660    4.0570 
 2005.834351   79.6070  -47.6670  -27.9360    0.7830    1.1320    3.9880 
 2005.837088   80.9470  -46.7080  -25.5510    0.8190    1.1730    4.0510 
 2005.838695   73.8260  -36.3400  -20.8980    2.8560    4.9160   16.6260 
 2005.845302   79.0450  -44.9840  -23.4730    0.8190    1.1840    4.0860 
 2005.848040   76.9950  -43.8370  -29.9630    0.9040    1.2310    4.4730 
 2005.850778   79.3630  -43.3400  -25.6940    0.7720    1.1310    3.9990 
 2005.853515   77.6850  -42.0250  -24.2560    0.7460    1.0980    3.8430 
 2005.856253   78.5890  -43.0850  -24.4980    0.7860    1.1210    3.9390 
 2005.858991   77.6920  -43.2220  -23.6910    0.7720    1.1000    3.8870 
 2005.861729   78.2500  -43.2550  -25.3150    0.7840    1.1400    3.8500 
 2005.864467   77.5640  -44.0520  -22.4860    0.8190    1.1600    4.2860 
 2005.867205   77.6750  -44.4460  -17.7100    0.8850    1.2510    4.6090 
 2005.869838   77.8880  -44.2020  -24.0480    0.8630    1.2540    4.3100 
 2005.883632   77.3970  -42.4630  -17.4160    0.7840    1.0850    3.8790 
 2005.886370   78.6640  -44.3300  -26.8750    0.7930    1.0960    3.9020 
 2005.889108   78.2350  -42.6960  -24.4180    0.8140    1.0700    3.8950 
 2005.891845   78.1840  -40.6190  -29.2180    0.8290    1.1440    4.2030 
 2005.894583   79.6650  -39.6970  -27.6600    0.8300    1.1440    4.2940 
 2005.897321   77.5550  -42.4880  -43.1310    0.9600    1.3760    5.1260 
 2005.900059   78.8080  -44.1100  -34.5080    0.8280    1.1780    4.3530 
 2005.902797   78.8330  -43.9460  -30.6190    0.8180    1.1840    4.2990 
 2005.905535   79.0000  -44.9640  -34.0270    0.7300    1.0420    3.7220 
 2005.907598   78.6320  -44.6450  -19.0080    1.1140    1.6020    5.7390 
 2005.932913   76.1960  -43.0890  -24.1390    0.7160    1.0280    3.6530 
 2005.935252   76.8560  -46.2070  -25.3970    0.8590    1.2200    4.4290 
 2005.941127   77.2640  -43.8750  -25.0330    0.8160    1.1180    4.0580 
 2005.943865   77.6580  -44.0450  -29.7710    0.8040    1.1500    4.1130 
 2005.945481   75.2580  -40.2260   -6.3460    2.6400    3.9590   15.9470 
 2005.960292   76.8820  -44.3060  -28.2270    0.7490    1.0360    3.7480 
 2005.963030   76.5080  -43.3360  -18.8220    0.7140    1.0310    3.6190 
 2005.965767   75.7230  -42.3760  -21.6910    0.7600    1.0570    3.7280 
 2005.968505   75.0560  -44.4140  -28.7070    0.9430    1.2530    4.4340 
 2005.971243   76.2750  -44.1600  -26.0650    0.8740    1.2080    4.1340 
 2005.973981   77.7180  -46.3820  -26.7680    0.8000    1.1150    3.9990 
 2005.976719   74.9250  -44.3570  -26.1220    0.7400    1.0530    3.7730 
 2005.979457   75.8380  -44.6440  -25.5890    0.8010    1.1050    3.9550 
 2005.982194   75.9700  -44.9890  -21.4710    0.8130    1.1590    4.1330 
 2005.984932   76.9100  -42.5550  -22.5570    0.7660    1.0820    3.9080 
 2005.987670   77.0830  -43.6510  -27.2640    0.8340    1.2220    4.4580 
 2005.990399   76.0010  -41.9390  -21.3920    0.9810    1.3750    4.8780 
 2005.993146   77.2860  -40.5210  -25.5240    0.8510    1.2050    4.1900 
 2005.995884   76.8440  -40.1860  -18.9880    0.8230    1.1520    4.2510 
 2005.998622   78.2620  -40.3210  -15.5810    0.8800    1.2030    4.4220 
 2006.004097   76.6320  -41.7950  -23.9550    0.7490    1.0630    3.9160 
 2006.006835   76.8690  -41.5960  -25.2650    0.7400    1.0530    3.7740 
 2006.009573   77.1890  -41.2910  -26.4770    0.7340    1.0370    3.7350 
 2006.012311   75.6210  -40.0810  -24.3330    0.7500    1.0470    3.8320 
 2006.015049   77.0360  -40.2050  -28.5270    0.8150    1.1170    4.1400 
 2006.017787   77.6910  -41.3540  -24.1470    0.7900    1.1360    4.0920 
 2006.020524   77.0690  -41.5770  -16.8140    0.7540    1.0800    3.8530 
 2006.023262   76.6920  -42.5560  -15.3720    0.7460    1.0530    3.7590 
 2006.026000   76.3720  -43.3950  -13.4620    0.7660    1.0680    3.8450 
 2006.028738   76.2600  -43.3770  -19.0050    0.7330    1.0300    3.6840 
 2006.031476   76.9000  -43.3900  -17.5260    0.7330    1.0630    3.8240 
 2006.034214   75.9550  -44.1840  -21.3070    0.7310    1.0430    3.7790 
 2006.036951   75.6300  -45.1600  -23.8320    0.7430    1.0510    3.8000 
 2006.039689   75.9190  -47.5140  -30.4590    0.7470    1.0600    3.8360 
 2006.042427   75.5750  -46.5300  -32.2030    0.8220    1.1510    4.2090 
 2006.045165   75.8320  -47.8510  -24.8040    0.7680    1.0950    3.9930 
 2006.047903   76.7010  -48.1410  -22.8540    0.7630    1.0850    3.9680 
 2006.050641   75.9340  -48.4130  -23.4050    0.8100    1.1610    4.2370 
 2006.053379   73.1110  -46.5140   -4.9940    0.7650    1.0980    3.9450 
 2006.055660   72.9440  -45.2700   -0.1330    0.9350    1.3470    5.0380 
 2006.058854   73.3260  -46.8020   -4.5620    0.7190    1.0310    3.6870 
 2006.061592   74.6120  -44.6110   -6.4390    0.8400    1.1580    4.3300 
 2006.064330   76.1880  -46.8040    0.4220    0.7520    1.1000    3.9820 
