 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2008.515790   15.2100  -28.1740  -13.8810    1.3460    1.7160    9.4010 
 2008.517444   14.4340  -26.5310   -8.0820    0.6850    0.8320    4.3550 
 2008.520182   15.9160  -28.8890  -10.4980    0.6910    0.8470    4.4730 
 2008.522920   16.1560  -27.7320  -10.1560    0.7260    0.8900    4.8030 
 2008.525658   15.3970  -29.1480  -19.6800    0.7030    0.8690    4.6340 
 2008.528396   14.6340  -27.6710  -11.8270    0.6970    0.8730    4.6220 
 2008.531134   15.6900  -26.5590   -8.2680    0.7350    0.9120    4.8830 
 2008.533871   15.7910  -25.5200   -8.2620    0.7550    0.9510    5.1290 
 2008.536609   16.7140  -26.2890   -4.8570    0.7670    0.8820    4.7750 
 2008.539347   15.2900  -28.2000  -11.6680    0.7520    0.8970    4.8980 
 2008.542085   14.6960  -27.2130  -10.8580    0.7280    0.8530    4.5540 
 2008.544823   15.9840  -27.0260   -3.8630    0.7220    0.8720    4.5620 
 2008.547561   15.2640  -25.7370   -1.6720    0.7100    0.8470    4.4550 
 2008.550299   16.4650  -25.8900   -9.2380    0.6950    0.8430    4.4870 
 2008.553036   16.9040  -26.8570  -13.4920    0.7280    0.8760    4.7900 
 2008.555774   15.3390  -26.4140  -10.2910    0.7090    0.8700    4.6510 
 2008.558512   15.9670  -27.1320   -5.0270    0.7450    0.9320    4.9340 
 2008.561250   14.8670  -26.3210   -4.1010    0.7280    0.9060    4.8160 
 2008.563988   14.8390  -28.3750  -10.1540    0.7310    0.8770    4.7820 
 2008.566726   15.5450  -28.2090   -4.4130    0.7030    0.8480    4.4840 
 2008.569463   14.5750  -27.7680   -5.4980    0.7040    0.8620    4.6300 
 2008.572201   13.9440  -29.8860  -15.0930    0.6950    0.8400    4.4560 
 2008.574939   13.0960  -26.7740  -10.2950    0.6790    0.8310    4.3770 
 2008.577677   13.6980  -27.2810   -9.6110    0.6910    0.8330    4.3880 
 2008.580415   13.0250  -28.0720  -13.2550    0.7160    0.8620    4.6700 
 2008.583153   14.0610  -26.0770   -9.3540    0.7220    0.8730    4.5990 
 2008.585891   13.9540  -26.8260   -6.5580    0.6950    0.8300    4.4110 
 2008.588628   13.3810  -27.8370   -4.7480    0.7680    0.9170    4.9740 
 2008.591366   14.4580  -27.8420   -9.9250    0.6960    0.8490    4.5530 
 2008.594104   14.9170  -27.1600   -5.3010    0.7010    0.8430    4.4940 
 2008.596842   15.4680  -27.2900   -6.2650    0.7170    0.8930    4.6890 
 2008.599580   15.1050  -29.1170   -4.2050    0.7540    0.9080    4.8110 
 2008.602318   14.3460  -28.0950   -7.9490    0.7340    0.8860    4.6580 
 2008.605056   15.5280  -29.0180   -2.9340    0.7610    0.9170    4.8940 
 2008.607793   15.4140  -27.2740    1.0800    0.7540    0.9100    4.9510 
 2008.610531   17.5160  -30.0790    2.8630    0.7610    0.9340    4.9540 
 2008.613269   16.0880  -26.7370   -7.5680    0.7290    0.8970    4.7430 
 2008.616007   15.1870  -28.2400    1.5610    0.7060    0.8600    4.5210 
 2008.618745   16.2200  -28.2950    0.0830    0.7000    0.8560    4.5630 
 2008.621483   17.3720  -26.8480   -4.2750    0.7010    0.8620    4.6040 
 2008.624220   16.5030  -25.6770   -1.5640    0.6910    0.8400    4.4390 
 2008.626958   16.7570  -27.5840   -9.7960    0.7050    0.8650    4.6010 
 2008.629696   16.9340  -28.3000   -5.6670    0.7070    0.8940    4.7480 
 2008.632434   16.1140  -27.9270   -7.5920    0.7080    0.8880    4.6420 
 2008.635172   15.4600  -27.1990   -0.2780    0.7000    0.8750    4.6600 
 2008.637910   15.1500  -28.4150   -1.8010    0.6990    0.8690    4.5590 
 2008.640648   16.5700  -28.4420   -5.1670    0.7110    0.8950    4.7480 
 2008.643385   15.1260  -26.8140   -0.8520    0.6910    0.8590    4.4920 
 2008.646123   15.3500  -28.2470   -2.1340    0.7010    0.8690    4.6110 
 2008.648861   14.5780  -26.0720   -3.9820    0.7120    0.8850    4.7690 
 2008.651599   14.9330  -27.0500   -3.9530    0.7100    0.8740    4.6570 
 2008.654337   15.4990  -26.3860   -1.8780    0.7090    0.8430    4.4700 
 2008.657075   14.6870  -28.8420    1.0280    0.7020    0.8550    4.4850 
 2008.659813   13.2960  -26.9870   -2.9190    0.7070    0.8670    4.5610 
 2008.662550   14.3830  -28.6240   -3.2120    0.7030    0.8710    4.5760 
 2008.665288   13.2300  -26.8750   -2.8860    0.7100    0.8710    4.6700 
 2008.668026   13.4440  -26.0560   -1.0640    0.7030    0.8560    4.5480 
 2008.670764   12.7720  -25.5720   -3.6900    0.7090    0.8560    4.4900 
 2008.673502   13.8860  -25.6870   -1.2500    0.7330    0.9070    4.9530 
 2008.676240   13.8920  -24.4780   -4.4280    0.7410    0.9110    4.8280 
 2008.678977   14.7380  -25.8610    1.8050    0.7290    0.8830    4.7340 
 2008.681715   14.5120  -26.1420   -4.6340    0.7340    0.8980    4.7260 
