 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2009.621587    3.8750   -5.7930    5.7710    0.9580    1.3050    5.4560 
 2009.623536    2.0950   -6.5520   -4.1390    0.6320    0.8210    3.4750 
 2009.626274    1.9080   -7.8470   -2.6280    0.6320    0.8250    3.4950 
 2009.629012    2.9050   -8.5530   -0.8920    0.6270    0.8190    3.4730 
 2009.631750    3.4800   -7.4580   -1.9630    0.6380    0.8160    3.5470 
 2009.634487    3.3820   -5.3890   -1.3130    0.6620    0.8960    3.7680 
 2009.637225    5.5420   -3.6880  -10.5580    0.7030    0.9110    3.9420 
 2009.639963    2.8420   -6.0600   -4.3640    0.6490    0.8390    3.5660 
 2009.642701    3.9630   -6.4070   -6.0210    0.6400    0.8280    3.4800 
 2009.645439    2.4210   -5.8870   -4.1210    0.6400    0.8430    3.5370 
 2009.648177    1.1270   -7.1160    1.9070    0.6530    0.8500    3.6060 
 2009.650915    1.5860   -7.8020   -5.6130    0.6490    0.8490    3.5630 
 2009.653652    2.2840   -6.5320   -2.0450    0.6880    0.9010    3.8760 
 2009.656390    0.3850   -5.3480    1.6440    0.6640    0.8500    3.6160 
 2009.659128    0.9190   -5.5900   -0.6220    0.6320    0.8110    3.4350 
 2009.661866    1.1540   -6.4090    3.3430    0.6530    0.8520    3.5940 
 2009.664604    2.0850   -5.4770    0.2260    0.6560    0.8110    3.5580 
 2009.667342    2.8730   -5.5770    2.1340    0.6330    0.8200    3.4700 
 2009.670079    2.5450   -5.8900    1.1080    0.6620    0.8540    3.6020 
 2009.672817    2.2210   -5.6880   -0.1230    0.6540    0.8320    3.5600 
 2009.675555    3.0760   -6.0790   -1.7610    0.6660    0.8440    3.6000 
 2009.678293    3.4930   -6.7900   -6.3540    0.6350    0.8210    3.5010 
 2009.681031    4.1630   -6.7690   -0.0840    0.6420    0.8480    3.5660 
 2009.683769    4.4010   -6.8620   -2.9550    0.6460    0.8340    3.5990 
 2009.686507    3.0880   -7.1850   -0.9090    0.6360    0.8290    3.5300 
 2009.689244    2.9250   -7.9290   -0.0060    0.6360    0.8310    3.5020 
 2009.691982    1.4900   -7.2050   -4.8370    0.6480    0.8450    3.5480 
 2009.694720    2.1910   -7.5790    0.0510    0.6560    0.8270    3.5910 
 2009.697458    2.0530   -5.7340   -3.4160    0.6400    0.8390    3.5560 
 2009.700196    3.8480   -5.9360   -3.1710    0.6870    0.8480    3.6690 
 2009.702934    3.9530   -6.2770   -3.8840    0.6500    0.8410    3.5910 
 2009.705672    1.7910   -7.9260   -1.3140    0.6550    0.8540    3.6250 
 2009.708409    2.5040   -7.5920   -4.7010    0.6420    0.8280    3.5170 
 2009.711147    3.1210   -4.9350    2.9340    0.6660    0.8370    3.6370 
 2009.713885    3.6080   -5.7050   -1.1590    0.6750    0.8350    3.5710 
 2009.716623    1.5940   -5.7150    1.4100    0.6380    0.8320    3.5250 
 2009.719361    2.9130   -5.8250    1.9080    0.6500    0.8440    3.5930 
 2009.722099    2.7550   -5.1530    1.9910    0.6420    0.8490    3.5730 
 2009.724836    2.6020   -4.9280    1.7290    0.6740    0.8500    3.6410 
 2009.727574    2.5940   -5.7210   -0.3560    0.6570    0.8240    3.5480 
 2009.730312    3.1890   -5.4520    1.0630    0.6420    0.8130    3.4950 
 2009.733050    5.0630   -2.9370   -5.4340    0.6430    0.8550    3.6310 
 2009.735788    8.3600    0.0420   -7.4880    0.6580    0.8520    3.6000 
 2009.738526    1.8650   -5.6090   -7.6120    0.7190    0.9320    4.0230 
 2009.741264    1.2670   -5.6460   -3.3930    0.6740    0.8640    3.6600 
 2009.744001    0.8320   -4.0400   -0.8210    0.6380    0.8390    3.5490 
 2009.746739    0.6130   -4.2930   -3.1590    0.6310    0.8090    3.4370 
 2009.749477    1.2570   -3.8700   -3.5220    0.6370    0.8240    3.4870 
 2009.752215    1.4790   -2.7690   -5.6240    0.6340    0.8290    3.4720 
 2009.754953    1.4240   -4.3320   -3.5820    0.6360    0.8150    3.4380 
 2009.757691    1.3040   -4.2310   -2.1340    0.6470    0.8170    3.4400 
 2009.760429    3.1560   -4.0100   -7.3990    0.6350    0.8300    3.5170 
 2009.763166    2.6880   -3.3100   -6.1980    0.6330    0.8150    3.4390 
 2009.765904    2.8540   -4.2040   -9.7010    0.6380    0.8210    3.4590 
 2009.768642    3.0180   -4.1590  -11.1610    0.6540    0.8620    3.5900 
