 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2009.610655    4.5750   -9.8070  -12.0820    1.0150    1.4520    5.5020 
 2009.612585    4.7750   -7.6120  -13.2340    0.6150    0.8780    3.2570 
 2009.615322    4.0940   -7.0150  -11.9090    0.6200    0.8930    3.2800 
 2009.618060    4.1620   -6.4720   -9.5870    0.6170    0.8700    3.2310 
 2009.620798    5.1030   -6.7440  -12.4660    0.6170    0.8630    3.2110 
 2009.623536    2.8170   -7.1090  -11.5920    0.6220    0.8820    3.2700 
 2009.626274    3.2890   -7.6010  -13.7150    0.6160    0.8570    3.1900 
 2009.629012    4.3770   -7.0500   -9.7240    0.6090    0.8510    3.1540 
 2009.631750    4.5250   -6.8560   -9.8220    0.6250    0.8830    3.2880 
 2009.634487    4.8120   -6.5030  -15.8520    0.6340    0.9040    3.2920 
 2009.637225    4.0040   -6.0370  -10.2570    0.6500    0.9170    3.3280 
 2009.639963    4.3610   -6.6190   -9.0840    0.6340    0.8840    3.2700 
 2009.642701    4.7010   -6.0770  -16.6740    0.6340    0.9040    3.3170 
 2009.645439    3.9700   -5.2220  -12.7530    0.6260    0.8870    3.2590 
 2009.648177    3.1760   -6.1580  -11.3600    0.6390    0.9030    3.3140 
 2009.650915    2.4910   -7.2170  -12.1410    0.6410    0.9110    3.3310 
 2009.653652    3.3930   -5.2690  -13.2170    0.6850    0.9290    3.4750 
 2009.656390    2.1440   -5.2940  -10.7440    0.6230    0.8740    3.1690 
 2009.659128    2.6960   -5.5750   -8.6420    0.6230    0.8630    3.1640 
 2009.661866    2.5440   -5.6830   -7.1500    0.6450    0.9190    3.3560 
 2009.664604    3.4110   -5.6780   -8.6010    0.6420    0.8950    3.2820 
 2009.667342    3.5860   -5.5270   -9.5670    0.6230    0.8670    3.1790 
 2009.670079    3.2240   -5.7910   -4.6110    0.6390    0.9090    3.3000 
 2009.672817    2.9390   -5.6930  -10.2520    0.6440    0.9040    3.2860 
 2009.675555    3.7810   -6.1840  -10.1930    0.6380    0.8940    3.2760 
 2009.678293    4.8500   -6.9980  -11.0280    0.6270    0.8980    3.3080 
 2009.681031    5.3350   -6.9870   -6.7590    0.6300    0.8870    3.2750 
 2009.683769    5.4470   -6.8130   -8.5970    0.6210    0.8710    3.1850 
 2009.686507    4.8710   -6.2810   -7.1670    0.6210    0.8720    3.1960 
 2009.689244    3.8740   -7.9890  -10.0480    0.6330    0.8780    3.2210 
 2009.691982    2.6980   -6.9510  -10.6100    0.6310    0.8710    3.2050 
 2009.694720    3.7450   -7.7570   -9.1960    0.6580    0.9070    3.3470 
 2009.697458    3.3220   -5.7970   -9.3190    0.6410    0.8970    3.3050 
 2009.700196    4.1750   -5.9750  -17.4170    0.6690    0.8940    3.3460 
 2009.702934    5.9340   -5.5810  -16.2230    0.6390    0.8880    3.2870 
 2009.705672    5.1080   -5.5380  -14.7890    0.6410    0.8820    3.1910 
 2009.708409    4.3070   -5.9320  -10.9260    0.6210    0.8570    3.1620 
 2009.711147    3.8710   -5.2780   -7.3830    0.6170    0.8600    3.1310 
