 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2011.876787  -15.9990   37.5170   18.0570    0.7160    0.8070    3.6260 
 2011.879525  -17.0050   35.3000   16.9570    0.6390    0.7330    3.3260 
 2011.882263  -17.2530   36.8020   19.4540    0.6080    0.7170    3.2510 
 2011.885001  -16.0030   34.8070   19.3910    0.6480    0.8180    3.4600 
 2011.887739  -13.8780   33.9790   17.9840    0.6660    0.7510    3.6440 
 2011.890476  -13.7990   33.8240   12.5430    0.6490    0.7330    3.4320 
 2011.893214  -16.2400   33.9410   19.2200    0.6530    0.7620    3.4630 
 2011.895952  -16.0690   34.4860   17.7810    0.6620    0.7410    3.4910 
 2011.898690  -16.6550   35.2390   17.1870    0.6230    0.7400    3.2300 
 2011.901428  -18.0750   35.4200   18.4840    0.6300    0.7080    3.2890 
 2011.904166  -17.8170   35.2840   29.2090    0.6730    0.7510    3.6390 
 2011.906904  -15.0580   35.8600   19.3420    0.6540    0.7790    3.4370 
 2011.909641  -14.2800   38.7620   20.6660    0.7540    0.8390    3.8130 
 2011.912379  -15.6380   42.2690   17.3260    0.6480    0.7730    3.5420 
 2011.915117  -16.8480   35.6210   26.5960    0.6200    0.7240    3.4390 
 2011.917855  -15.6160   37.5150   23.7940    0.6600    0.7570    3.4990 
 2011.920593  -17.5790   35.9420   31.2880    0.6820    0.7680    3.5600 
 2011.923331  -18.3890   36.4840   28.0690    0.6230    0.7510    3.4300 
 2011.926069  -18.6740   36.5940   29.6190    0.6060    0.7070    3.3020 
 2011.928806  -17.0420   36.8530   27.2690    0.5910    0.7120    3.2860 
 2011.931544  -15.5850   35.7970   24.7910    0.5960    0.7110    3.3150 
 2011.934282  -16.8710   38.5670   25.1630    0.6020    0.7340    3.3330 
 2011.937020  -17.3790   36.6330   26.3940    0.6310    0.7300    3.3880 
 2011.939758  -16.3220   36.6210   23.8780    0.6790    0.8010    3.7540 
 2011.942496  -16.3320   36.6270   26.4920    0.6750    0.7650    3.6410 
 2011.945233  -16.5780   36.9200   25.3000    0.6450    0.7430    3.4370 
 2011.947971  -14.8710   37.2010   24.7150    0.6460    0.7370    3.3960 
 2011.950709  -16.2490   36.7630   25.8460    0.6220    0.7100    3.2830 
 2011.953447  -16.4710   38.5110   19.6760    0.6070    0.7160    3.2820 
 2011.956185  -16.3780   36.7000   24.8990    0.5880    0.7200    3.2640 
