 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2007.614866   34.1750  -33.9970  -15.6490    0.9820    1.5070    4.6190 
 2007.616691   35.7950  -34.4260  -20.8860    0.6340    0.9230    2.9430 
 2007.619429   35.0940  -35.3500  -11.1220    0.6580    0.9410    3.0120 
 2007.622167   36.7000  -34.4810  -18.0520    0.6650    0.9430    2.8830 
 2007.624905   35.8000  -34.9910  -16.5720    0.6210    0.9040    2.7340 
 2007.627643   36.6150  -36.2710  -22.2370    0.6130    0.8860    2.7860 
 2007.630381   35.4270  -36.7200  -16.9500    0.6150    0.8880    2.8120 
 2007.633118   36.3830  -36.6760  -21.1780    0.6310    0.9160    2.8300 
 2007.635856   36.9690  -35.6990  -20.0380    0.6060    0.8760    2.6920 
 2007.638594   37.7290  -36.4250  -17.6620    0.6080    0.8790    2.7180 
 2007.641332   38.0240  -35.9470  -16.5010    0.6120    0.8870    2.6830 
 2007.644070   36.4770  -37.3080  -17.2890    0.6230    0.8990    2.8110 
 2007.646808   36.4170  -35.7900  -14.9230    0.6260    0.9140    2.8410 
 2007.649546   36.7540  -35.1050  -16.4680    0.6520    0.9260    2.9800 
 2007.652226   37.4910  -35.9450  -16.9830    0.7140    0.9910    3.2300 
 2007.655021   36.9540  -37.5660  -22.3200    0.6190    0.9080    2.8600 
 2007.657759   36.0970  -37.2970  -27.8490    0.6300    0.9190    2.9310 
 2007.660497   37.0890  -37.0600  -23.9930    0.6310    0.9140    2.9170 
 2007.663235   35.9130  -36.3550  -19.4420    0.6280    0.8930    2.8020 
 2007.665973   38.3240  -38.0160  -18.8350    0.6570    0.9070    2.9070 
 2007.668711   36.6230  -36.7940  -15.2300    0.6430    0.9410    2.9530 
 2007.671448   37.8230  -38.2240  -15.0540    0.6300    0.9240    2.9170 
 2007.674186   37.6200  -36.7460  -11.6540    0.6380    0.9120    2.8650 
 2007.676924   38.3450  -37.5250  -12.9710    0.6380    0.9270    2.9290 
 2007.679662   37.3410  -36.5870  -20.6070    0.6560    0.9320    2.9730 
 2007.682400   36.8570  -34.6110   -6.3750    0.6320    0.9120    2.8730 
 2007.685138   34.6820  -34.6230  -15.0210    0.6470    0.9430    3.0050 
 2007.687876   33.9460  -34.6580   -2.8000    0.6450    0.9340    3.0590 
 2007.690613   36.7370  -35.6210  -13.4180    0.6090    0.8790    2.7290 
 2007.693351   37.3950  -35.5280  -15.1400    0.6070    0.8880    2.7340 
 2007.696089   37.1200  -35.5110  -13.5780    0.6070    0.8750    2.7240 
 2007.698827   37.2080  -34.4090  -15.6720    0.6090    0.8730    2.7310 
 2007.701565   36.3940  -36.7800  -16.3870    0.6210    0.9100    2.8360 
 2007.704303   36.2190  -36.0890  -13.7300    0.6300    0.9160    2.8150 
