 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2009.613526    1.9970   -7.7090   -6.6970    1.0600    1.5380    6.4670 
 2009.615322    1.4680   -7.8440  -10.2320    0.6170    0.8600    3.5580 
 2009.618060    2.1380   -6.9750   -7.0060    0.6180    0.8640    3.5740 
 2009.620798    2.6370   -5.7910   -7.3890    0.6120    0.8490    3.5000 
 2009.623536    0.2760   -6.9510  -10.6170    0.6140    0.8670    3.5290 
 2009.626274    0.8100   -7.7360  -11.0810    0.6050    0.8520    3.4650 
 2009.629012    2.1000   -6.4140   -6.3210    0.6060    0.8350    3.4400 
 2009.631750    2.1960   -7.4440   -7.9510    0.6080    0.8410    3.4770 
 2009.634487    1.6940   -6.8350  -11.7770    0.6260    0.9010    3.6420 
 2009.637225    1.0530   -6.9850   -8.5950    0.6530    0.9130    3.7360 
 2009.639963    0.8150   -6.2040  -11.0740    0.6300    0.8670    3.5570 
 2009.642701    1.6930   -5.5210   -6.8090    0.6310    0.8550    3.4730 
 2009.645439    1.0240   -6.3170  -11.4760    0.6250    0.8500    3.4790 
 2009.648177    0.0490   -6.9850  -10.0820    0.6350    0.8560    3.5380 
 2009.650915    0.2490   -7.2630  -13.1990    0.6340    0.8880    3.6510 
 2009.653652    0.0060   -5.9290  -14.0140    0.6570    0.9040    3.7610 
 2009.656390   -0.8570   -6.3360   -8.3880    0.6220    0.8520    3.4480 
 2009.659128   -0.1020   -6.7530   -7.8460    0.6220    0.8400    3.4560 
 2009.661866   -0.4950   -7.5430   -9.8040    0.6300    0.8670    3.5020 
 2009.664604   -0.1350   -6.8520   -8.3900    0.6430    0.8620    3.5810 
 2009.667342    0.4480   -5.5010   -3.8650    0.6130    0.8370    3.3770 
 2009.670079    0.0700   -6.2060   -7.9220    0.6320    0.8790    3.5480 
 2009.672817   -0.2930   -6.6890   -7.9320    0.6260    0.8680    3.5110 
 2009.675555    0.5430   -6.6030   -7.3740    0.6360    0.8700    3.5290 
 2009.678293    1.6080   -7.2990   -9.9870    0.6190    0.8660    3.5380 
 2009.681031    2.1750   -7.1780   -4.2640    0.6180    0.8530    3.4870 
 2009.683769    1.8440   -6.9390   -7.0380    0.6140    0.8320    3.3870 
 2009.686507    0.7560   -6.9170   -5.2140    0.6150    0.8440    3.4230 
 2009.689244    0.0290   -7.2250   -3.2010    0.6170    0.8570    3.4650 
 2009.691982   -0.3520   -7.6750  -10.5490    0.6270    0.8680    3.5400 
 2009.694720    0.5160   -7.2400   -6.4640    0.6510    0.8850    3.6600 
 2009.697458   -0.0800   -5.4430   -5.1430    0.6250    0.8670    3.5250 
 2009.700196    2.5280   -5.4240  -11.1810    0.6560    0.8790    3.6010 
 2009.702934    1.9490   -6.6750  -12.6360    0.6260    0.8590    3.5050 
 2009.705672    1.3200   -7.2470  -14.7630    0.6450    0.8620    3.5230 
 2009.708409    0.9620   -7.3690  -13.9600    0.6200    0.8460    3.4620 
 2009.711147    1.1960   -5.1120   -7.6920    0.6300    0.8720    3.5860 
 2009.713885    1.0650   -6.1170   -5.8940    0.6340    0.8470    3.4160 
 2009.716623    0.8030   -5.1440   -5.9490    0.6130    0.8400    3.4200 
 2009.719361    0.6620   -4.9360   -3.8050    0.6160    0.8590    3.4680 
 2009.722099    1.0000   -5.2940   -3.0820    0.6250    0.8560    3.4610 
 2009.724836    0.6820   -5.4550   -5.7620    0.6600    0.8760    3.5720 
 2009.727574    0.9440   -5.9500   -5.1600    0.6310    0.8730    3.5520 
 2009.730312    1.4310   -5.1190   -4.7460    0.6140    0.8340    3.4140 
 2009.733050   -0.1540   -6.0220   -1.8000    0.6270    0.8660    3.5030 
 2009.735788    1.8410   -4.8360   -1.8200    0.6460    0.8650    3.5420 
 2009.738526    0.3450   -5.6200   -4.6120    0.6940    0.9150    3.7970 
 2009.741264    0.2900   -5.5700   -9.0160    0.6540    0.9050    3.5880 
 2009.744001   -0.1860   -4.9200   -7.7110    0.6190    0.8540    3.4710 
 2009.746739   -0.1340   -5.2310  -10.2300    0.6210    0.8550    3.4960 
 2009.749477    0.4150   -4.2400  -11.5440    0.6160    0.8530    3.4540 
 2009.752215    0.3770   -3.9460  -12.1580    0.6200    0.8560    3.4750 
 2009.754953   -0.1880   -5.0490  -10.4240    0.6270    0.8490    3.4820 
 2009.757691    0.2480   -4.7180   -7.4740    0.6290    0.8780    3.5010 
 2009.760429    1.8490   -4.5390  -11.3240    0.6170    0.8470    3.4490 
 2009.763166    1.4690   -3.3920   -8.5980    0.6270    0.8480    3.4820 
 2009.765904    1.1100   -4.6680  -11.2770    0.6200    0.8460    3.4340 
 2009.768642    1.5680   -3.9370  -11.1660    0.6370    0.8710    3.6150 
 2009.771380    1.0590   -4.9910  -13.9370    0.6380    0.8640    3.5510 
 2009.774118    0.8870   -5.1030  -18.0120    0.6370    0.8800    3.5520 
 2009.776856    0.6670   -3.5630  -13.7990    0.6330    0.8690    3.5970 
 2009.779594    1.6210   -5.5450  -10.0780    0.6260    0.8670    3.5210 
 2009.782331    1.8410   -5.1730   -9.1580    0.6400    0.8650    3.5270 
 2009.785069    0.7920   -4.8390   -8.1250    0.6190    0.8390    3.4380 
 2009.787807    0.4220   -3.9040  -10.7720    0.6450    0.8760    3.5380 
 2009.790545    1.0030   -5.4490   -7.3280    0.6360    0.8560    3.4830 
 2009.793283    0.2150   -5.8420   -8.9100    0.6320    0.8580    3.4750 
 2009.796021   -0.8040   -5.7070  -11.4670    0.6570    0.8780    3.5590 
 2009.798758    0.4030   -4.8890  -11.4010    0.6390    0.8630    3.4730 
