 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2008.524061   18.6910  -27.7250   -3.7930    1.5950    1.8830   11.2250 
 2008.525658   19.8990  -28.1110   -4.2020    0.6970    0.8290    4.9550 
 2008.528396   18.1390  -24.4530    1.0350    0.7100    0.8090    4.9140 
 2008.531134   18.6090  -24.4370   -3.5950    0.7110    0.8320    5.0010 
 2008.533871   18.7250  -22.6270    2.9480    0.6920    0.8120    4.8450 
 2008.536609   19.6610  -24.2330    1.9850    0.6970    0.8180    4.8760 
 2008.539347   18.3840  -25.0900   -6.7810    0.6790    0.7890    4.6930 
 2008.542085   18.4140  -24.4500   -8.6250    0.6990    0.8100    4.8770 
 2008.544823   18.9020  -24.7790    1.3770    0.7120    0.8220    4.8790 
 2008.547561   18.7560  -24.2330   -2.1490    0.7380    0.8930    5.2300 
 2008.550299   19.0570  -24.2460   -6.4690    0.6910    0.8100    4.8410 
 2008.553036   19.8150  -24.3380   -9.5610    0.6950    0.8140    4.8860 
 2008.555774   18.2420  -23.7350   -8.5090    0.6980    0.8040    4.8130 
 2008.558512   18.8500  -25.1600  -10.1040    0.7220    0.8530    5.1040 
 2008.561250   18.6860  -23.8130   -0.2800    0.7020    0.8370    5.0140 
 2008.563988   18.6180  -25.4680   -0.9590    0.6960    0.8070    4.8630 
 2008.566726   18.9460  -26.0320   -5.1200    0.6880    0.8010    4.8020 
 2008.569463   18.5240  -26.2250   -3.0280    0.7000    0.8040    4.8750 
 2008.572201   18.7700  -27.3510   -9.3550    0.6890    0.7970    4.7550 
 2008.574939   17.3760  -25.0600   -7.2320    0.6980    0.8170    4.8750 
 2008.577677   19.0990  -25.4970   -3.7870    0.6990    0.8090    4.9030 
 2008.580415   18.0620  -25.9180   -3.9250    0.6890    0.8080    4.8040 
 2008.583153   17.0030  -24.8380   -6.4450    0.6830    0.8030    4.7880 
 2008.585891   16.4460  -24.5240  -16.9980    0.6860    0.8070    4.8320 
 2008.588628   18.1650  -24.9690  -19.8800    0.7470    0.8520    5.2480 
 2008.591366   20.2410  -26.8970  -15.5770    0.7020    0.8230    4.9530 
 2008.594104   18.5230  -27.9780   -0.5210    0.6880    0.8070    4.8300 
 2008.596842   18.9750  -26.9660  -10.4600    0.7050    0.8500    5.0670 
 2008.599580   20.0590  -29.4470   -4.0650    0.7580    0.8600    5.1480 
 2008.602318   21.7340  -30.9160   -1.1600    0.7540    0.8500    5.1330 
 2008.605056   19.4960  -26.1600    1.3090    0.7260    0.8600    5.1610 
 2008.607793   17.7050  -25.5740   -2.3970    0.7220    0.8440    5.1240 
 2008.610531   18.1110  -26.6280   -0.0090    0.7110    0.8340    5.0420 
 2008.613269   18.3410  -24.9410   -4.3000    0.6960    0.8330    4.9250 
 2008.616007   18.7680  -25.1810    8.2980    0.7200    0.8430    4.9850 
 2008.618745   17.5510  -26.0810  -16.3090    0.7020    0.8180    4.9110 
 2008.621483   19.6250  -23.7480   -4.5930    0.7010    0.8350    4.8810 
 2008.624220   18.3130  -23.9280   -0.9150    0.6990    0.8160    4.8850 
 2008.626958   19.6880  -24.1140  -10.7330    0.7010    0.8180    4.9600 
 2008.629696   20.4350  -24.5730    0.0230    0.7020    0.8310    4.9780 
 2008.632434   18.7750  -24.8230   -1.2690    0.6960    0.8270    4.8970 
 2008.635172   17.9010  -24.2770   -5.2270    0.6930    0.8130    4.8390 
 2008.637910   18.0700  -24.9000    2.5540    0.6970    0.8120    4.8580 
 2008.640648   19.3880  -24.5710   -5.0070    0.6970    0.8040    4.8040 
 2008.643385   17.7170  -24.8000   11.9100    0.7010    0.8260    4.9110 
 2008.646123   18.3830  -25.5480   -6.3230    0.7280    0.8420    5.0940 
 2008.648861   18.1720  -25.0400    0.8760    0.7230    0.8400    5.0110 
 2008.651599   16.8330  -24.7190   -7.4610    0.6880    0.8140    4.8150 
 2008.654337   17.2770  -24.2540   -2.4390    0.7010    0.8040    4.7760 
 2008.657075   17.9140  -25.4870   -5.4620    0.7040    0.8070    4.8140 
 2008.659813   17.2270  -24.3180   -0.6390    0.7280    0.8490    5.1280 
 2008.662550   18.2870  -25.9620   -4.9550    0.7300    0.8120    4.9020 
 2008.665288   15.9610  -25.7100   -8.2970    0.7030    0.7940    4.7360 
 2008.668026   16.8910  -24.5360   -0.1600    0.7310    0.8200    4.9610 
 2008.670764   15.9330  -22.9540    7.6520    0.7240    0.8250    4.9970 
 2008.673502   16.6090  -23.4630   -4.3640    0.7380    0.8530    5.1600 
 2008.676240   16.0490  -23.5700    0.2900    0.7170    0.8450    4.9800 
 2008.678977   17.4250  -24.1430   -6.9510    0.7050    0.8260    4.9150 
 2008.681715   16.5710  -24.1760    0.9560    0.7230    0.8160    4.9510 
 2008.684453   17.6390  -24.7170    1.0830    0.7170    0.8220    4.9480 
 2008.687191   17.6900  -21.9310    6.5420    0.7270    0.8380    5.1150 
 2008.689929   17.4100  -24.5060   -3.7840    0.7380    0.8470    5.1010 
 2008.692667   17.4850  -25.0200   -6.6900    0.7210    0.8200    4.8760 
 2008.695405   16.0340  -25.6540   -3.8370    0.7100    0.8060    4.8460 
 2008.698142   18.4070  -23.8720    1.2240    0.7680    0.8610    5.3040 
 2008.700880   18.5960  -23.7500  -10.0030    0.7110    0.8320    4.9770 
 2008.703618   17.9820  -23.5940   -4.7880    0.7090    0.8330    4.9560 
 2008.706356   17.7440  -23.8620   -9.1220    0.7110    0.8160    4.8800 
 2008.709094   17.6390  -23.6960   -6.5670    0.7300    0.8250    4.9760 
 2008.711832   18.5810  -23.7180    5.3970    0.7430    0.8460    5.1120 
 2008.714570   18.7070  -23.2700   -7.9340    0.7070    0.8100    4.8990 
 2008.717307   17.8340  -22.3970   -0.0560    0.7150    0.8380    5.0900 
 2008.720045   17.5780  -23.9310   -3.7830    0.7110    0.8430    5.0400 
 2008.722783   16.1480  -24.9010  -12.5750    0.6900    0.8150    4.8520 
 2008.725521   15.5510  -22.5550  -19.9070    0.6870    0.8060    4.7900 
 2008.728259   16.4020  -21.3840  -12.9100    0.6880    0.8070    4.8020 
 2008.730997   17.5430  -20.1740  -10.7660    0.6990    0.8180    4.9040 
 2008.733735   17.2500  -21.0870  -17.9330    0.6900    0.8260    4.9040 
 2008.736472   17.1560  -23.4680  -12.6610    0.6860    0.8040    4.7740 
 2008.739210   16.4920  -22.6580  -11.6900    0.6770    0.7910    4.6460 
 2008.741948   15.6930  -23.7360   -8.7580    0.7010    0.8010    4.7710 
 2008.744686   16.1460  -23.8100   -9.1450    0.6900    0.8010    4.7500 
 2008.747424   14.7530  -22.8780  -14.2160    0.7240    0.8300    4.9820 
 2008.750162   15.2410  -22.2020  -11.1290    0.7050    0.8180    4.9510 
 2008.752899   15.5390  -20.7890  -13.5380    0.6870    0.8150    4.8320 
 2008.755637   17.2710  -21.6420  -10.7370    0.6940    0.8100    4.8490 
 2008.758375   16.1840  -21.1140  -10.6610    0.7000    0.8290    4.9700 
 2008.761113   17.0170  -22.3630  -11.2950    0.6860    0.8130    4.8320 
 2008.763851   17.1910  -22.0910   -7.9780    0.6850    0.8100    4.7910 
 2008.766589   17.6340  -22.8070   -9.5040    0.6930    0.8100    4.8730 
 2008.769327   16.6720  -19.5910    0.0270    0.7150    0.8510    5.1160 
 2008.772064   19.2330  -20.4230    3.8360    0.6860    0.8030    4.8020 
 2008.774802   16.3690  -21.0550   -6.0100    0.6830    0.7840    4.7050 
 2008.777540   16.4180  -21.3820   -9.0710    0.6930    0.8080    4.7420 
 2008.780278   15.8330  -22.3840  -12.8090    0.7090    0.8290    4.8850 
 2008.783016   16.0410  -20.8820  -12.6470    0.6830    0.7960    4.7540 
 2008.785754   16.0740  -21.3260  -11.6460    0.6810    0.8070    4.8170 
 2008.788492   16.2500  -20.4430   -3.7150    0.6800    0.7970    4.7600 
 2008.791229   17.5440  -21.5050   -9.1960    0.6760    0.7690    4.5910 
 2008.793967   15.7430  -21.1140   -6.7310    0.6800    0.7990    4.7570 
 2008.796705   15.8250  -20.6480   -9.0790    0.6800    0.7980    4.7360 
 2008.799443   15.5450  -21.4290   -8.3620    0.6800    0.7990    4.7600 
 2008.802181   16.4320  -20.9620   -5.8110    0.6820    0.8130    4.8280 
 2008.804919   14.9470  -21.2790   -4.9830    0.6840    0.7980    4.8040 
 2008.807656   17.4060  -21.4130   -3.7270    0.7090    0.8030    4.9180 
 2008.810394   17.2640  -20.8410   -5.3120    0.7010    0.8330    4.9810 
 2008.813132   17.0830  -22.5070   -6.6760    0.7020    0.8060    4.8240 
 2008.815870   16.3430  -22.1930   -1.7910    0.6810    0.8050    4.7850 
 2008.818608   16.5280  -23.3650  -12.0870    0.6890    0.8120    4.8930 
 2008.821346   15.6220  -22.7410  -14.5090    0.6870    0.8010    4.7810 
 2008.824084   15.6930  -24.1770   -6.5150    0.7180    0.8310    4.9660 
 2008.826821   17.1190  -23.4710  -13.7400    0.7290    0.8290    4.9880 
 2008.829559   16.0570  -22.6940  -12.2420    0.6890    0.7940    4.7880 
 2008.832297   14.8620  -22.4180   -1.2350    0.7020    0.8170    4.9660 
 2008.835035   15.8090  -23.3270   -5.7800    0.7060    0.8080    4.9100 
 2008.837773   15.4360  -22.6110   -8.8350    0.6940    0.8020    4.8580 
 2008.840511   15.9630  -23.8940  -12.3550    0.7300    0.8130    4.9190 
 2008.843249   15.2910  -20.8810   -8.5820    0.6810    0.8100    4.8360 
 2008.845986   13.8240  -21.2340   -7.8790    0.7030    0.8130    4.9530 
 2008.848724   14.4980  -21.4090   -3.0590    0.6830    0.8040    4.8220 
 2008.851462   15.4750  -20.8430   -5.8130    0.7190    0.8190    4.9510 
 2008.854200   15.8370  -21.3620  -10.8880    0.6920    0.8200    4.9130 
 2008.856938   16.0600  -20.7390   -5.2170    0.6890    0.8410    4.9950 
 2008.859676   14.2230  -21.3370   -1.0340    0.6890    0.8080    4.8580 
 2008.862413   14.3210  -20.9470   -0.4040    0.7020    0.8140    4.9450 
 2008.865151   15.3630  -21.0960    2.7380    0.7000    0.8000    4.8940 
 2008.867889   15.5760  -21.1070   -0.7120    0.7030    0.8240    5.0070 
 2008.870627   15.0450  -21.1690   -6.5260    0.7230    0.8280    5.0520 
 2008.873365   15.6350  -19.9210   -5.1360    0.7010    0.8210    4.9700 
 2008.876103   14.2820  -19.8220    1.3610    0.7010    0.8210    5.0110 
 2008.878841   17.1300  -21.4960    2.5720    0.6750    0.7790    4.7960 
 2008.881578   14.9990  -18.4250    0.7960    0.6130    0.7130    4.3500 
 2008.884316   14.2460  -20.4070   -4.8270    0.6080    0.7310    4.3950 
 2008.887054   15.2860  -22.8400   -4.6310    0.6250    0.7320    4.4700 
 2008.889792   14.8550  -21.1340  -13.3360    0.6180    0.7000    4.2690 
 2008.892530   14.3200  -20.1780    4.3150    0.6200    0.7290    4.4800 
 2008.895268   15.3560  -20.6040   -5.8830    0.6210    0.7260    4.4560 
 2008.898006   15.8400  -20.7770   -4.8960    0.6300    0.7400    4.5740 
 2008.900743   14.0360  -21.1360    2.0630    0.6340    0.7560    4.6180 
 2008.903481   13.8580  -20.3040   -4.0890    0.6060    0.7150    4.3460 
 2008.906219   13.2030  -20.3910   -0.9850    0.6230    0.7170    4.4310 
 2008.908957   14.4170  -19.1820    1.5920    0.6130    0.7260    4.3960 
 2008.911695   14.3340  -19.9080   -1.0800    0.6100    0.7140    4.3340 
 2008.914433   13.6700  -18.9700   -6.2210    0.6160    0.7360    4.4380 
 2008.917171   14.9170  -18.6580   -6.4040    0.5970    0.7070    4.2210 
 2008.919908   15.2730  -18.4180   -5.5560    0.6150    0.7070    4.2920 
 2008.923758   15.0440  -19.1260    6.9630    1.3560    1.6780   10.0960 
 2008.925384   14.9710  -18.1480    6.9240    0.6180    0.7090    4.3450 
 2008.928122   15.4490  -17.8470    9.4020    0.6120    0.7180    4.3520 
 2008.930860   15.5860  -19.4030   -6.3770    0.6030    0.7200    4.2660 
 2008.933598   14.5650  -18.6520    0.3430    0.6160    0.7130    4.3530 
 2008.936335   13.1560  -18.2630   -8.6380    0.6060    0.7050    4.2680 
 2008.939073   14.6900  -17.7940    3.2300    0.6180    0.7120    4.3460 
 2008.941811   14.9620  -16.8130   15.8340    0.6030    0.7180    4.3250 
 2008.944549   16.3360  -16.7240   -4.2520    0.6070    0.7290    4.3440 
 2008.947287   15.9180  -16.5450   -0.9530    0.6120    0.7090    4.2700 
 2008.950025   14.6780  -17.5850  -10.8850    0.6010    0.6960    4.1870 
 2008.952763   14.3730  -18.6820   -4.7550    0.6090    0.7060    4.2890 
 2008.955500   13.9580  -17.3860    5.7460    0.6010    0.7100    4.2700 
 2008.958238   15.1770  -16.5110    4.3610    0.6050    0.7060    4.2590 
 2008.960976   14.0230  -18.0090   -0.1860    0.6010    0.7060    4.2210 
 2008.963714   15.5870  -16.6830   -5.3950    0.6010    0.7000    4.2130 
 2008.966452   14.8930  -16.8330    1.5220    0.6250    0.7210    4.3950 
