 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2008.540250   24.5170  -21.8090   -9.7080    1.1550    1.4120    9.0590 
 2008.542085   23.2100  -22.2070   -6.9100    0.6830    0.8140    5.1160 
 2008.544823   24.5570  -22.2750   -4.3390    0.7580    0.8440    5.3960 
 2008.547561   23.2490  -20.0280    3.6850    0.7490    0.8380    5.3170 
 2008.550299   24.3280  -20.2230   -8.1580    0.6800    0.8030    5.0100 
 2008.553036   25.3270  -19.9420   -8.9320    0.6750    0.8050    5.0070 
 2008.555774   24.2880  -20.4860   -2.3360    0.6780    0.7750    4.8520 
 2008.558512   23.6810  -20.2780   -5.7570    0.7200    0.8350    5.2100 
 2008.561250   24.3770  -21.3710   -4.3350    0.6990    0.8210    5.1820 
 2008.563988   24.1060  -21.8390   -5.4230    0.6860    0.7920    5.0030 
 2008.566726   24.8780  -23.6800   -8.8430    0.6940    0.8380    5.2600 
 2008.569463   24.6800  -22.5030    0.5830    0.6800    0.7990    4.9770 
 2008.572201   23.9540  -24.1190   -5.3890    0.6830    0.8120    5.0840 
 2008.574939   22.1300  -22.1900   -8.8630    0.6970    0.8170    5.1790 
 2008.577677   21.8610  -20.9880   -8.1800    0.7220    0.8220    5.3020 
 2008.580415   24.3590  -22.5840   -5.9550    0.6900    0.8180    5.1230 
 2008.583153   21.5720  -20.8410   -3.9530    0.6900    0.8100    5.1080 
 2008.585891   19.7500  -22.1900   -8.0550    0.7130    0.8300    5.3540 
 2008.588628   21.1730  -22.1790    7.8650    0.7520    0.8750    5.6200 
 2008.591366   24.6220  -21.9840  -18.3330    0.6980    0.8020    5.1130 
 2008.594104   23.4010  -22.1750   -6.8250    0.6890    0.7980    4.9330 
 2008.596842   23.7380  -21.2360   -9.2840    0.7090    0.8160    5.1990 
 2008.599580   22.6870  -22.3020  -11.8110    0.7700    0.8900    5.7040 
 2008.602318   24.4170  -22.8760   -9.9610    0.7250    0.8320    5.1870 
 2008.605056   24.2710  -22.9300  -11.3410    0.7080    0.8480    5.3620 
 2008.607793   23.3050  -21.5500   -0.9220    0.7090    0.8290    5.2380 
 2008.610531   23.3710  -21.4300  -20.8450    0.6930    0.7970    4.9880 
 2008.613269   22.9030  -21.1880   -9.9110    0.6940    0.8200    5.0160 
 2008.616007   23.1530  -20.5880   -1.3210    0.6900    0.8130    5.0900 
 2008.618745   23.9840  -22.5990  -13.4860    0.7420    0.8400    5.3540 
 2008.621483   24.2660  -19.4810   -4.4500    0.6990    0.8090    5.0780 
 2008.624220   23.1060  -18.4510   -7.5580    0.6940    0.8010    5.0290 
 2008.626958   24.1340  -19.0250   -8.9420    0.7020    0.8130    5.1470 
 2008.629696   24.9190  -20.6840   -7.6440    0.6920    0.8250    5.1210 
 2008.632434   24.1290  -19.4040   -4.5630    0.6800    0.8070    4.9950 
 2008.635172   24.0470  -19.6750   -0.2350    0.6990    0.8080    5.0470 
 2008.637910   23.7130  -20.3990   -3.4360    0.6980    0.7930    4.9830 
 2008.640648   23.4680  -19.1430   -3.7090    0.7030    0.8220    5.0970 
 2008.643385   22.1530  -19.3840   -1.8300    0.6870    0.8060    5.0200 
 2008.646123   23.2720  -20.2350   -3.1610    0.6840    0.8030    4.9770 
 2008.648861   23.3950  -19.4720   -4.4940    0.6870    0.8110    5.0350 
 2008.651599   22.9160  -19.5900   -1.0400    0.6880    0.7860    4.9130 
