 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2006.394070   78.7180  -40.5610  -90.9880    1.8900    2.3810    8.9520 
 2006.395610   75.8660  -42.6740  -92.4530    0.6040    0.8130    2.7980 
 2006.398348   76.6040  -43.2200  -90.3340    0.5930    0.8270    2.7750 
 2006.401086   77.6300  -42.9390  -94.1800    0.5770    0.7830    2.7040 
 2006.403823   75.8970  -43.5450  -96.0950    0.5820    0.8090    2.7730 
 2006.406561   74.5730  -43.4400  -97.2220    0.5800    0.7950    2.7250 
 2006.409299   75.5160  -42.1820  -93.0140    0.5820    0.7920    2.7230 
 2006.412037   76.1780  -41.8340  -94.3680    0.5870    0.8010    2.8230 
 2006.414775   75.6860  -41.3780  -96.0730    0.6080    0.8300    2.8740 
 2006.417513   73.9720  -43.9500  -96.6830    0.6130    0.8590    2.9770 
 2006.420251   75.1330  -42.4680  -95.8810    0.6030    0.8400    2.9020 
 2006.422988   76.2750  -41.9910  -93.1210    0.5910    0.8080    2.7790 
 2006.425726   75.7740  -42.3600  -92.9790    0.5900    0.7980    2.7580 
 2006.428464   75.7910  -43.0170  -93.8990    0.6050    0.8420    2.8940 
 2006.431202   75.1420  -42.8270  -91.5330    0.6960    0.9140    3.1800 
 2006.433940   76.1240  -44.2140  -93.0490    0.6670    0.8410    3.0300 
 2006.436678   76.2150  -41.8940  -96.8140    0.6260    0.8630    2.9940 
 2006.439416   75.4910  -40.8680  -99.9710    0.6040    0.8230    2.8150 
 2006.442153   74.5910  -43.3190  -93.2930    0.6240    0.8370    2.9050 
 2006.444891   74.8340  -42.3010  -88.5300    0.5900    0.8080    2.7710 
 2006.447629   73.9810  -41.7790  -87.5390    0.5780    0.7890    2.7230 
 2006.450367   73.6690  -40.7400  -92.5760    0.6030    0.8200    2.7890 
 2006.453105   74.7480  -42.8460 -107.0210    0.6430    0.9050    3.0600 
 2006.496910   73.8320  -42.5530  -99.4370    0.6090    0.8030    2.7700 
 2006.499648   74.0280  -41.0410 -105.9700    0.5930    0.7930    2.7000 
 2006.502386   72.8740  -42.9390  -91.8540    0.5890    0.7860    2.6730 
 2006.505124   71.7610  -41.9720  -93.4240    0.6030    0.7980    2.7050 
 2006.507862   73.0040  -42.9690  -88.3380    0.6320    0.8390    2.9150 
