 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2007.655021   39.8640  -36.9480  -56.0100    0.6490    0.9260    3.0870 
 2007.657759   40.3940  -36.3470  -55.3160    0.6690    0.9520    3.1780 
 2007.660497   40.7220  -36.5840  -62.9530    0.6750    0.9710    3.3510 
 2007.663235   38.6840  -35.9260  -52.1190    0.6610    0.9110    3.1310 
 2007.665973   38.9910  -35.7900  -56.0270    0.7010    0.9850    3.3940 
 2007.668711   39.9850  -35.1120  -40.8650    0.7180    1.0340    3.3120 
 2007.671448   38.5960  -36.4250  -53.2760    0.6530    0.9220    3.0980 
 2007.674186   38.2040  -37.0060  -42.0060    0.6400    0.9110    3.0510 
 2007.676924   40.6100  -35.8480  -46.3060    0.6700    0.9440    3.1230 
 2007.679662   40.7490  -35.1020  -50.6700    0.7440    0.9890    3.4640 
 2007.682400   40.9780  -34.6520  -42.9440    0.6490    0.9370    3.1190 
 2007.685138   37.9060  -33.8660  -60.4330    0.6720    0.9870    3.3350 
 2007.687876   37.1950  -33.0830  -41.6350    0.6650    0.9260    3.1900 
 2007.690613   37.7890  -35.5720  -44.3650    0.6570    0.9210    3.1300 
 2007.693351   40.3920  -33.1510  -51.4860    0.6510    0.9330    3.1060 
 2007.696089   39.8990  -34.5100  -52.2390    0.6300    0.9110    2.9920 
 2007.698827   39.6420  -33.1460  -51.3400    0.6320    0.9000    2.9820 
 2007.701565   39.6220  -34.2430  -45.3240    0.6720    0.9550    3.2350 
 2007.704303   38.6920  -34.6240  -46.7970    0.6570    0.9630    3.1780 
 2007.707040   40.2470  -34.1170  -52.3100    0.6870    0.9690    3.3850 
 2007.709778   38.3970  -36.0060  -48.5960    0.6480    0.9170    3.0790 
 2007.712526   36.0430  -34.0430  -52.0760    0.6300    0.9060    3.0970 
 2007.715254   39.1890  -33.5320  -45.8010    0.6220    0.9020    2.9560 
 2007.717992   39.0160  -33.0110  -42.1760    0.6560    0.9340    3.1260 
 2007.720730   39.4660  -33.4310  -44.4890    0.6370    0.9120    2.9690 
 2007.723468   40.4930  -32.9890  -43.8000    0.6600    0.9580    3.1340 
 2007.726205   39.8730  -32.7510  -48.5850    0.6340    0.9330    3.0250 
 2007.728943   39.2900  -33.0880  -50.6840    0.6730    0.9720    3.1610 
 2007.731681   39.1000  -35.5010  -49.2760    0.6330    0.9250    2.9510 
 2007.734419   39.7150  -35.3210  -48.9350    0.6290    0.9100    2.9900 
 2007.737157   39.4980  -34.0160  -50.4600    0.6550    0.9220    3.0210 
 2007.739895   38.9450  -32.8390  -47.7060    0.6620    0.9810    3.1490 
 2007.742633   38.1770  -33.5510  -54.4720    0.7330    1.0600    3.4370 
 2007.745370   39.5920  -32.3550  -46.3260    0.6460    0.9350    3.0660 
 2007.748108   39.4180  -37.7240  -47.3470    0.6550    0.9630    3.1970 
 2007.750846   39.6410  -33.3070  -42.7840    0.6450    0.9400    3.1240 
 2007.753584   38.5760  -34.2110  -44.9740    0.6850    1.0120    3.2340 
 2007.756322   40.1200  -31.6000  -50.7890    0.6340    0.9280    2.9820 
 2007.759060   39.5200  -31.0450  -51.7950    0.6450    0.9290    3.0070 
 2007.761797   38.3900  -31.5130  -54.1630    0.6350    0.9240    3.0770 
 2007.764535   37.4630  -29.3760  -48.0760    0.6270    0.9010    2.9820 
 2007.767273   38.2000  -31.0760  -51.5040    0.6620    0.9740    3.2620 
 2007.770011   39.5010  -31.0580  -55.6910    0.6810    0.9880    3.3450 
 2007.772749   37.9630  -29.4090  -46.6190    0.6260    0.9050    2.9530 
 2007.775487   37.4950  -30.8200  -50.3620    0.6100    0.8900    2.9060 
 2007.778225   38.4170  -31.6050  -48.1740    0.6320    0.9100    2.9980 
 2007.780962   38.2840  -31.5710  -55.7950    0.6330    0.9290    3.0650 
 2007.783700   38.8130  -33.5410  -43.6810    0.6510    0.9500    3.1300 
