 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2008.537503   21.0720  -26.3290   -5.1270    1.1910    1.3530    8.8010 
 2008.539347   19.3760  -25.7020    1.0180    0.7360    0.8140    5.4100 
 2008.542085   19.0190  -25.4140   -4.7330    0.7260    0.7850    5.1560 
 2008.544823   19.3380  -25.6740    0.8390    0.7280    0.8020    5.1430 
 2008.547561   19.9240  -24.1470   -8.3980    0.7290    0.7950    5.1160 
 2008.550299   19.6500  -23.2840   -0.3720    0.7120    0.7710    5.0700 
 2008.553036   21.1110  -23.9820   -3.0660    0.6960    0.7720    5.0080 
 2008.555774   19.1050  -24.5570  -13.4840    0.7060    0.7770    5.0750 
 2008.558512   20.1640  -23.9170   -1.9740    0.7180    0.8160    5.1860 
 2008.561250   19.6190  -24.7210  -12.0820    0.7090    0.7910    4.9980 
 2008.563988   19.1070  -25.1770   -7.0340    0.7270    0.7720    5.0490 
 2008.566726   20.9120  -27.8080   -8.2090    0.7190    0.7730    5.0740 
 2008.569463   19.7030  -26.7920   -2.8470    0.7080    0.7710    5.0240 
 2008.572201   19.0330  -26.3580   -4.7360    0.7030    0.7640    4.9630 
 2008.574939   18.5210  -25.4320   -9.8090    0.7000    0.7640    4.9340 
 2008.577677   21.0360  -26.5840   -6.0980    0.7110    0.7740    5.0850 
 2008.580415   18.2110  -24.9500   -2.6390    0.7110    0.7730    5.0530 
 2008.583153   17.9680  -24.3060   -5.3290    0.7050    0.7740    5.0590 
 2008.585891   18.6960  -25.7570   -7.2460    0.7170    0.7890    5.1370 
 2008.588628   18.5960  -25.2970   -2.0730    0.7670    0.8140    5.5010 
 2008.591366   18.5740  -24.7300    1.4650    0.7130    0.7720    5.0920 
 2008.594104   19.2450  -26.1330  -10.0530    0.7160    0.7840    5.1410 
 2008.596842   19.9330  -24.7140  -10.3520    0.7200    0.7860    5.1530 
 2008.599580   18.1620  -23.8730   -3.4730    0.7690    0.8200    5.3610 
 2008.602318   18.8560  -24.4500   -8.2230    0.7450    0.7960    5.1410 
 2008.605056   19.5840  -26.8790  -18.0360    0.7140    0.8040    5.2050 
 2008.607793   18.5150  -25.4640   -4.2830    0.7120    0.7860    5.1320 
 2008.610531   18.2180  -24.8480   -3.8960    0.7190    0.7860    5.1570 
 2008.613269   19.2100  -24.4740   -9.0910    0.7190    0.7880    5.1910 
 2008.616007   20.1760  -23.8200    1.6580    0.7200    0.7820    5.0860 
 2008.618745   20.2640  -24.8260  -10.9260    0.7330    0.8030    5.3290 
 2008.621483   19.9950  -23.2250   -5.2850    0.6890    0.7660    4.8930 
 2008.624220   19.9660  -22.6660   -9.1340    0.7110    0.7770    5.0490 
 2008.626958   20.3370  -23.7660   -6.8180    0.7080    0.7740    5.0160 
 2008.629696   21.0040  -24.4330   -2.1980    0.7160    0.7810    5.0770 
 2008.632434   20.5680  -23.3090   -6.6620    0.7110    0.7770    5.0440 
 2008.635172   19.1970  -23.4300   -3.7580    0.7000    0.7810    5.0100 
 2008.637910   19.8290  -24.7790   -7.6580    0.7150    0.7750    5.0640 
 2008.640648   20.3760  -23.4150   -7.5270    0.7210    0.7950    5.2130 
 2008.643385   18.8580  -23.3310    0.0180    0.7180    0.7770    5.0600 
 2008.646123   19.3830  -23.8970    1.8430    0.7080    0.7770    5.0300 
 2008.648861   19.1060  -23.5170   -3.8310    0.7480    0.8220    5.3730 
 2008.651599   19.1700  -23.6770    0.1600    0.7060    0.7720    5.0220 
 2008.654337   19.6680  -22.8860   -3.9270    0.7190    0.7700    4.9470 
 2008.657075   18.9860  -24.8830   -2.8070    0.7210    0.7590    4.9120 
 2008.659813   18.1140  -24.0530   -1.8350    0.7290    0.7770    5.0610 
 2008.662550   18.9720  -25.3650   -0.3590    0.7220    0.7760    5.0190 
 2008.665288   18.2080  -24.2830   -5.8330    0.7190    0.7830    5.0560 
 2008.668026   17.5410  -23.6900   -7.1000    0.7210    0.7850    5.0780 
 2008.670764   16.6330  -23.3860    4.2790    0.7180    0.7770    5.0140 
 2008.673502   18.9870  -22.5040   -3.7750    0.7820    0.8200    5.5560 
 2008.676240   17.9950  -21.7140    2.9640    0.7500    0.8020    5.2670 
 2008.678977   17.9990  -22.7560    0.1360    0.7200    0.7840    5.0820 
 2008.681715   18.3340  -23.2080   -7.1800    0.7180    0.7750    5.0130 
 2008.684453   18.8850  -23.4580   -5.3850    0.7220    0.7730    5.0250 
