 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2007.633917   33.6820  -45.2600  -24.2850    0.9230    1.3710    4.4690 
 2007.635856   32.3580  -45.1260  -30.3800    0.6380    0.9050    3.0300 
 2007.638594   32.2910  -45.6360  -25.4100    0.6180    0.8640    2.9030 
 2007.641332   32.3210  -45.3480  -24.4120    0.6430    0.9040    2.9990 
 2007.644070   32.0700  -45.4270  -26.1690    0.6370    0.8900    2.9810 
 2007.646808   31.6660  -44.8790  -24.7970    0.6580    0.9270    3.1320 
 2007.649546   31.5140  -43.8930  -27.7590    0.6580    0.9200    3.2800 
 2007.652283   31.5040  -45.4720  -29.9630    0.7190    1.0190    3.4290 
 2007.655021   31.2650  -46.4470  -27.8550    0.6480    0.9110    3.0710 
 2007.657759   30.9850  -42.9710  -36.8050    0.6720    0.9230    3.1740 
 2007.660497   31.7240  -44.1450  -25.7530    0.6540    0.9030    3.0470 
 2007.663235   30.9120  -44.8230  -22.5250    0.6530    0.8940    3.1460 
 2007.665973   32.9080  -44.9500  -25.6090    0.6950    0.9330    3.3100 
 2007.668720   31.3250  -44.1340  -21.0000    0.7560    1.0310    3.5180 
 2007.671448   32.2550  -44.7280  -18.8570    0.6550    0.8940    3.0420 
 2007.674186   31.4400  -45.1370  -22.5010    0.6380    0.8910    3.0200 
 2007.676924   31.9500  -45.3680  -20.6040    0.6650    0.9240    3.1200 
 2007.679662   31.2480  -44.9830  -22.1410    0.7330    1.0060    3.5190 
 2007.682400   31.5640  -41.8710  -19.4060    0.6520    0.8950    3.0800 
 2007.685138   30.7830  -42.1630  -19.4500    0.6510    0.9050    3.1010 
 2007.687876   30.9870  -42.2530  -18.3700    0.6510    0.9150    3.1840 
 2007.690613   32.3550  -43.9160  -22.2540    0.6330    0.8860    3.0320 
 2007.693351   32.1510  -43.0700  -18.7210    0.6430    0.9010    3.0500 
 2007.696089   32.0860  -41.9510  -22.4540    0.6450    0.8940    3.0340 
 2007.698827   32.0370  -41.9910  -20.9330    0.6450    0.9120    3.0470 
 2007.701565   31.8150  -43.4670  -22.5990    0.6730    0.9040    3.2360 
 2007.704303   31.4210  -43.4180  -22.1530    0.6470    0.9170    3.1010 
 2007.707040   31.1010  -40.5810  -21.1170    0.6410    0.8950    3.0400 
 2007.709778   30.9060  -42.3280  -21.2110    0.6240    0.8820    2.9640 
 2007.712516   31.5990  -41.3440  -17.7710    0.6080    0.8600    2.9460 
 2007.715254   32.1310  -42.0200  -17.8110    0.6020    0.8530    2.8130 
 2007.717992   31.4670  -41.5290  -15.0410    0.6550    0.9030    3.0740 
 2007.720730   31.3060  -41.8320  -20.4990    0.6300    0.9010    2.9640 
 2007.723468   32.6260  -40.8700  -19.9740    0.6540    0.9320    3.0610 
 2007.726205   32.1730  -40.9170  -23.3150    0.6320    0.9120    3.0140 
 2007.728943   33.1960  -40.8850  -19.8010    0.6640    0.9120    3.0930 
 2007.731681   31.5810  -40.7350  -19.0620    0.6380    0.8920    2.9500 
 2007.734419   34.1680  -40.8200  -20.9950    0.6240    0.8750    2.9310 
 2007.737157   32.7710  -41.2110  -25.0710    0.6490    0.9210    3.0460 
 2007.739895   32.6630  -41.5390  -22.4750    0.6400    0.9080    2.9800 
 2007.742633   31.8780  -41.7760  -27.4510    0.7410    1.0230    3.4360 
 2007.745370   32.8280  -41.2750  -17.3870    0.6410    0.9140    2.9730 
 2007.748108   33.3020  -41.9510  -18.2940    0.6510    0.9110    3.0520 
 2007.750846   31.8070  -41.7140  -14.8600    0.6290    0.8970    2.9760 
 2007.753584   33.0180  -39.3740  -17.6510    0.6660    0.9400    3.0470 
 2007.756322   33.7630  -39.6030  -20.8060    0.6260    0.8780    2.9210 
 2007.759060   32.9470  -38.3730  -21.4010    0.6450    0.9340    3.0080 
 2007.761797   32.2430  -39.3830  -24.7250    0.6350    0.8940    2.9560 
 2007.764535   31.7600  -38.6790  -25.0650    0.6310    0.8860    2.9970 
 2007.767273   31.4920  -40.3070  -22.8840    0.6610    0.9340    3.2240 
 2007.770011   31.8250  -38.5170  -24.0260    0.6610    0.9210    3.1080 
 2007.772749   31.6440  -38.1040  -22.4340    0.6260    0.8930    2.9870 
 2007.775487   30.2870  -37.8750  -23.9210    0.5980    0.8550    2.8230 
 2007.778225   32.2090  -39.8770  -19.6420    0.6170    0.8650    2.8900 
 2007.780962   32.3200  -38.6780  -19.7450    0.6160    0.8710    2.8970 
 2007.783700   31.8110  -40.1900  -18.7360    0.6210    0.8750    2.9240 
 2007.786438   30.8140  -39.5890  -16.1100    0.6170    0.8790    2.9060 
 2007.789176   31.8540  -38.2900  -21.0440    0.6220    0.8680    2.8930 
 2007.791914   31.0070  -37.9150  -18.0460    0.6180    0.8740    2.9290 
 2007.794652   33.8790  -37.5620  -20.6020    0.6780    0.9510    3.2780 
 2007.797390   32.1260  -38.1990  -17.6770    0.6960    0.9700    3.2510 
 2007.800127   33.9490  -38.0490  -21.7050    0.6550    0.9470    3.0530 
 2007.802865   33.6160  -37.1400  -25.3270    0.6200    0.8630    2.8390 
 2007.805603   33.7450  -39.6270  -19.6300    0.6360    0.8870    2.9480 
 2007.808360   32.5160  -39.4190  -14.2340    0.6450    0.9060    3.0810 
 2007.811079   33.2130  -39.0690  -15.0470    0.6380    0.8840    2.9770 
 2007.813817   33.8920  -36.3770  -15.9080    0.6770    0.9390    3.1960 
 2007.816564   32.3270  -38.6200  -19.4860    0.7150    1.0450    3.2420 
 2007.819292   32.6160  -38.0390  -17.4490    0.6490    0.9240    3.0610 
 2007.822030   30.4960  -37.1610  -15.0240    0.6310    0.8850    2.9750 
 2007.824768   29.9970  -36.9810  -16.6820    0.6740    0.9390    3.1790 
 2007.827506   31.1910  -36.8560  -16.6780    0.6520    0.9170    3.0030 
 2007.830244   30.7860  -36.3670  -17.7940    0.6310    0.8870    2.9610 
 2007.832982   31.5090  -35.6510  -18.1150    0.6350    0.8750    2.9340 
 2007.835719   30.5180  -37.8120  -20.2760    0.6100    0.8570    2.8340 
 2007.838457   30.2510  -37.2380  -21.2900    0.6310    0.8770    2.9210 
 2007.841195   28.4140  -38.7190  -20.0400    0.6410    0.8860    2.9430 
 2007.843933   29.9980  -35.7100  -22.6430    0.6130    0.8530    2.8460 
 2007.846671   28.2600  -35.9520  -21.9200    0.6060    0.8570    2.8610 
 2007.849409   29.1780  -36.1670  -22.9040    0.6330    0.8760    2.9320 
 2007.852147   28.9050  -36.9310  -18.8410    0.6350    0.8710    3.0010 
 2007.854884   28.2350  -36.3840  -20.3690    0.6380    0.8870    2.9920 
 2007.857622   28.4350  -35.4250  -19.0020    0.6070    0.8650    2.8390 
 2007.860360   29.4040  -36.7110  -19.8420    0.6530    0.9010    2.9760 
 2007.863098   29.4620  -37.3740  -20.8990    0.6020    0.8500    2.7830 
 2007.865836   29.3340  -38.0810  -19.2300    0.6310    0.8940    2.9490 
 2007.868583   30.0990  -35.6800  -20.8790    0.6430    0.9220    3.0290 
 2007.871312   29.7720  -37.1990  -16.0640    0.6550    0.9100    3.0500 
 2007.874049   30.1680  -37.6290  -21.2990    0.6190    0.8740    2.8940 
 2007.876787   29.6200  -36.5280  -18.5570    0.6180    0.8720    2.9080 
 2007.879525   29.7370  -35.4650  -20.2660    0.6380    0.9090    3.0690 
 2007.882263   30.7640  -38.6770  -29.6530    0.6720    0.9200    3.1490 
 2007.885001   27.5120  -37.5240  -16.4700    0.7220    1.0170    3.3610 
 2007.887739   29.3780  -35.5540  -22.9200    0.6400    0.9120    3.0350 
 2007.890476   29.7810  -37.6250  -12.1590    0.6880    1.0040    3.2400 
 2007.893214   27.9030  -37.3620  -16.0660    0.6560    0.9190    3.0020 
 2007.895952   28.4480  -38.7760  -20.3130    0.6730    0.9320    3.0740 
 2007.898690   30.2350  -37.8880  -15.6490    0.6270    0.9040    2.9850 
 2007.901428   31.4940  -40.0960  -21.3900    0.6800    0.9580    3.1040 
 2007.904166   29.6700  -39.1440  -20.2340    0.6100    0.8690    2.8480 
 2007.906904   31.2640  -38.7080  -20.8050    0.6490    0.9030    2.9930 
 2007.909641   30.5960  -37.0660  -16.6320    0.6300    0.8750    2.9300 
 2007.912379   30.1750  -35.9260  -16.5850    0.6270    0.8840    2.9370 
 2007.915117   29.2270  -38.1490  -24.0580    0.6330    0.8880    2.9420 
 2007.917855   28.5660  -36.7420  -20.8220    0.6130    0.8570    2.8320 
 2007.920593   29.0390  -37.3790  -20.7900    0.6320    0.8930    2.9160 
 2007.923331   29.4900  -36.8370  -12.4880    0.6330    0.8710    2.9120 
 2007.926069   30.5420  -37.6920  -14.3150    0.6520    0.9070    3.0160 
 2007.928806   29.3950  -38.3550  -17.5880    0.6210    0.8750    2.8940 
 2007.931544   27.5780  -38.0310  -18.9780    0.6370    0.8890    3.0080 
 2007.934282   27.4380  -37.6390  -20.4700    0.6160    0.8600    2.8590 
 2007.937020   28.6960  -36.9170  -19.8430    0.6750    0.9160    3.1490 
 2007.939758   29.6930  -36.8240  -18.8420    0.6530    0.9250    3.0820 
 2007.942496   29.5430  -37.0620  -16.4980    0.7140    0.9680    3.2970 
 2007.945233   29.8870  -36.8220  -21.1990    0.7020    0.9580    3.1980 
 2007.947971   29.9050  -39.1420  -16.2740    0.6550    0.9070    2.9640 
 2007.950709   29.9370  -38.7790  -18.9710    0.6470    0.8830    2.9380 
 2007.953447   30.6020  -37.9630  -19.2410    0.6340    0.8680    2.8620 
 2007.956185   28.9880  -37.1240  -24.5260    0.6710    0.9030    2.9580 
 2007.958913   31.0950  -37.0870  -25.2760    0.6710    0.9420    3.1170 
 2007.961661   28.7860  -36.8350  -21.4930    0.7040    1.0160    3.2200 
 2007.964417   29.1860  -36.2450  -19.8500    0.6610    0.9140    3.0170 
 2007.967136   28.5800  -38.1450  -19.9390    0.6480    0.9230    2.9460 
 2007.969874   28.6680  -36.9770  -17.1360    0.6540    0.9180    2.9740 
 2007.972612   28.4370  -36.4830  -21.6370    0.6660    0.9230    3.0490 
 2007.975350   27.0770  -37.0760  -18.6070    0.6240    0.8940    2.9260 
 2007.978088   28.1740  -36.2460  -17.3630    0.6130    0.8720    2.8500 
 2007.980826   28.0410  -36.9210  -19.2100    0.6260    0.8760    2.8490 
 2007.983563   28.2380  -35.4680  -21.6620    0.6370    0.8710    2.9030 
