 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2009.597298    4.5140   -9.3280  -31.6510    1.5750    2.5950    7.7220 
 2009.598895    3.6050   -8.4360  -30.0600    0.6650    0.8980    3.0930 
 2009.601633    2.8760   -7.1210  -23.9950    0.6170    0.8690    2.9070 
 2009.604371    2.9410   -6.7480  -18.2900    0.6210    0.8740    2.9270 
 2009.607118    3.1330   -5.7010  -20.6160    0.6070    0.8470    2.8760 
 2009.609847    3.8900   -7.6360  -25.6460    0.6110    0.8570    2.8760 
 2009.612585    4.2930   -6.6530  -22.3030    0.6060    0.8510    2.8480 
 2009.615322    3.7460   -6.0110  -20.4280    0.6010    0.8460    2.8610 
 2009.618060    3.7050   -4.8230  -20.3230    0.6160    0.8500    2.8950 
 2009.620798    4.4340   -4.0510  -20.0300    0.6110    0.8370    2.8820 
 2009.623536    2.2520   -5.1270  -22.3940    0.6250    0.8530    2.8940 
 2009.626274    3.1760   -6.9430  -21.2010    0.6090    0.8300    2.8400 
 2009.629012    3.8570   -5.3550  -17.4440    0.6000    0.8400    2.8230 
 2009.631750    4.1740   -5.0780  -21.1060    0.6130    0.8450    2.8710 
 2009.634487    4.2960   -4.2350  -20.3520    0.6280    0.8730    2.9480 
 2009.637225    3.3120   -4.6800  -20.4900    0.6310    0.8840    2.9320 
 2009.639963    3.3580   -4.9630  -19.3850    0.6190    0.8430    2.8630 
 2009.642701    3.9670   -4.4550  -18.8400    0.6280    0.8600    2.9260 
 2009.645439    2.9700   -4.1580  -18.0280    0.6170    0.8480    2.8760 
 2009.648177    1.8390   -4.7460  -19.7630    0.6430    0.8780    3.0280 
 2009.650915    2.3170   -4.6760  -18.9980    0.6430    0.8690    3.0280 
 2009.653652    2.6660   -3.7860  -19.1590    0.7040    0.9220    3.0850 
 2009.656390    1.2590   -4.5360  -18.2550    0.6160    0.8350    2.7880 
 2009.659128    1.4010   -4.2850  -16.7170    0.6040    0.8230    2.7760 
 2009.661866    1.8820   -4.5260  -16.3330    0.6380    0.8870    2.9680 
 2009.664604    2.4190   -4.5420  -18.0380    0.6090    0.8360    2.8140 
 2009.667342    2.8710   -4.0790  -15.2760    0.6050    0.8330    2.7980 
 2009.670079    2.3850   -4.2020  -15.8420    0.6370    0.8580    2.9140 
 2009.672817    2.6430   -4.7900  -16.8420    0.6240    0.8500    2.8360 
 2009.675555    2.6450   -5.0740  -20.1810    0.6160    0.8460    2.8640 
 2009.678293    3.8790   -5.2300  -17.3410    0.6120    0.8440    2.8760 
 2009.681031    4.8300   -4.5340  -13.5770    0.6200    0.8360    2.8520 
 2009.683769    4.5400   -4.6750  -14.3100    0.6150    0.8340    2.8330 
 2009.686507    3.2790   -3.5070  -13.1670    0.6130    0.8330    2.8160 
 2009.689244    3.1390   -5.3750  -17.6930    0.6130    0.8420    2.8150 
 2009.691982    2.2060   -5.1700  -17.1340    0.6220    0.8470    2.8290 
 2009.694720    2.7850   -5.8340  -17.2480    0.6360    0.8500    2.8660 
 2009.697458    2.6830   -2.5850  -12.0790    0.6300    0.8600    2.9340 
 2009.700196    4.9740   -2.9220  -12.5850    0.6610    0.8670    2.9880 
 2009.702934    5.5400   -3.5080  -27.1990    0.6710    0.8980    3.0400 
 2009.705672    4.0460   -4.8790  -20.4950    0.6340    0.8520    2.8570 
 2009.708409    3.7440   -4.1880  -20.4530    0.6110    0.8390    2.8040 
 2009.711147    3.0800   -3.2940  -18.6320    0.6370    0.8620    2.9000 
 2009.713885    2.1100   -3.7860  -15.7640    0.6330    0.8470    2.8520 
 2009.716623    2.9920   -3.5900  -17.0160    0.6170    0.8330    2.7930 
 2009.719361    2.7630   -3.1600  -15.9290    0.6150    0.8300    2.7830 
 2009.722099    3.6840   -3.2300  -15.0390    0.6330    0.8580    2.8800 
 2009.724836    3.3800   -2.5220  -11.6860    0.6320    0.8550    2.9060 
 2009.727574    3.5010   -2.6310   -9.6770    0.6200    0.8420    2.8560 
 2009.730312    3.5200   -0.9910   -9.0320    0.6130    0.8260    2.8170 
 2009.733050    2.1240   -3.0730  -13.0870    0.6130    0.8310    2.8320 
 2009.735788    4.0950   -2.8110  -11.1500    0.6220    0.8430    2.8430 
 2009.738526    3.5460   -2.3540  -14.4630    0.6570    0.9010    2.9690 
 2009.741264    2.0130   -3.2630  -16.1390    0.6380    0.8790    2.9550 
 2009.744001    0.6210    0.0100  -20.7510    0.6170    0.8380    2.8730 
 2009.746739    2.6760   -1.9680  -12.3080    0.6380    0.8500    2.8880 
 2009.749477    2.1430   -1.3160  -19.2620    0.6250    0.8380    2.8630 
 2009.752215    1.6270    0.3220  -21.7960    0.6400    0.8460    2.8510 
