 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2009.601633    1.2360   -5.9170  -20.3810    0.6230    0.8970    2.9110 
 2009.604371    1.9750   -5.1850  -16.1960    0.6300    0.9080    2.9760 
 2009.607109    2.0810   -4.9880  -14.4110    0.6170    0.8750    2.9040 
 2009.609847    2.4300   -7.1930  -18.7870    0.6310    0.8940    2.9750 
 2009.612585    3.1730   -6.0930  -16.0840    0.6290    0.9050    2.9510 
 2009.615322    2.6910   -6.2660  -13.4650    0.6110    0.8710    2.9080 
 2009.618060    2.9240   -4.1890  -10.8650    0.6150    0.8630    2.8720 
 2009.620798    3.3230   -3.9740  -10.2400    0.6050    0.8460    2.8380 
 2009.623536    1.1480   -4.9800  -11.5200    0.6280    0.8790    2.9270 
 2009.626274    1.6440   -5.5150   -9.3470    0.6080    0.8610    2.8670 
 2009.629012    2.2200   -3.7600  -11.8290    0.6180    0.8680    2.9130 
 2009.631750    3.1700   -6.1960  -10.6910    0.6270    0.8710    2.8820 
 2009.634487    2.6610   -5.1130  -16.5780    0.6280    0.8710    2.9300 
 2009.637225    2.7000   -4.5540  -12.6880    0.6330    0.8820    2.9270 
 2009.639963    2.4350   -4.9310  -14.5180    0.6220    0.8870    2.9150 
 2009.642701    2.8520   -4.1380  -12.5530    0.6380    0.8910    2.9490 
 2009.645439    2.4660   -4.1290   -8.4990    0.6340    0.8790    2.9720 
 2009.648177    1.3280   -4.1390  -11.5580    0.6360    0.8870    2.9740 
 2009.650915    1.6100   -4.3560  -10.2030    0.6360    0.8930    2.9840 
 2009.653652    2.1880   -3.3160  -13.7790    0.6850    0.9520    3.1840 
 2009.656390    0.4210   -4.1830   -9.2540    0.6280    0.8730    2.8980 
 2009.659128    1.2030   -4.1090   -8.4070    0.6120    0.8510    2.8200 
 2009.661866    0.4920   -4.5120   -5.5330    0.6580    0.9050    2.9640 
 2009.664604    1.4030   -3.2850   -9.1290    0.6240    0.8500    2.8300 
 2009.667342    2.4610   -3.5560   -9.7180    0.6130    0.8520    2.8180 
 2009.670079    1.8070   -4.2260   -9.2550    0.6340    0.8990    2.9570 
 2009.672817    1.4940   -4.6990  -10.5250    0.6360    0.8800    2.9140 
 2009.675555    2.1010   -4.6580   -8.5270    0.6350    0.8730    2.8850 
 2009.678293    2.3990   -5.0220  -11.7330    0.6210    0.8490    2.8750 
 2009.681031    3.1430   -4.7460  -10.2580    0.6170    0.8510    2.8470 
 2009.683769    3.9990   -4.9470  -12.7300    0.6190    0.8620    2.8760 
 2009.686507    2.4630   -4.7010   -5.9790    0.6230    0.8590    2.8640 
 2009.689244    2.1750   -5.3900   -9.8610    0.6270    0.8660    2.8590 
 2009.691982    1.3080   -4.6830   -6.7690    0.6470    0.8670    2.9240 
 2009.694720    2.0420   -4.6910   -4.4260    0.6360    0.8880    2.9370 
 2009.697458    1.8170   -3.1560   -6.7410    0.6390    0.8910    3.0170 
 2009.700196    3.3240   -4.1410  -15.2600    0.6940    0.9200    3.1710 
 2009.702934    4.8900   -3.9260  -23.3340    0.6880    0.9260    3.1020 
 2009.705672    3.0420   -4.7300  -15.1650    0.6340    0.8660    2.9030 
 2009.708409    2.1200   -4.2690  -15.0570    0.6200    0.8530    2.8430 
 2009.711147    0.8480   -3.6430  -11.1260    0.6530    0.9060    2.9880 
 2009.713885    1.4090   -4.1960  -11.9750    0.6440    0.8700    2.8900 
 2009.716623    1.8340   -4.0630  -13.4770    0.6230    0.8500    2.8280 
 2009.719361    2.0270   -3.1320   -4.1180    0.6420    0.8560    2.8830 
 2009.722099    2.2070   -3.5690   -4.2860    0.6360    0.8660    2.8880 
 2009.724836    1.7050   -3.8100   -8.2760    0.6290    0.8700    2.8860 
 2009.727574    1.1890   -4.2520   -4.2220    0.6260    0.8590    2.8870 
 2009.730312    2.3790   -4.9900   -3.4350    0.6120    0.8430    2.8120 
 2009.733050    0.8830   -4.8730   -2.8450    0.6190    0.8500    2.8610 
 2009.735788    2.8620   -3.5320   -4.5640    0.6270    0.8620    2.8660 
 2009.738526    2.1230   -3.9760  -11.8380    0.6590    0.8930    2.9790 
 2009.741264    0.9340   -2.5410   -9.6220    0.6630    0.8970    3.0540 
 2009.744001    1.0420   -2.5500  -11.0930    0.6270    0.8660    2.9190 
 2009.746739    1.0810   -1.6140   -9.5260    0.6420    0.8750    2.9320 
 2009.749477    1.0240   -0.6160   -8.6220    0.6380    0.8610    2.8760 
 2009.752215    0.7700   -0.8900  -10.9750    0.6390    0.8690    2.8960 
 2009.754962    0.7370   -1.8190  -11.9690    0.6230    0.8510    2.8520 
 2009.757691    1.1980   -2.4790   -8.3680    0.6500    0.8750    2.9200 
 2009.760429    2.9360   -2.4880   -9.1730    0.6340    0.8550    2.8790 
 2009.763166    2.5740   -1.1950   -8.3310    0.6260    0.8500    2.8340 
 2009.765904    2.3150   -1.6520   -8.5060    0.6260    0.8460    2.8540 
 2009.768642    1.7580   -2.3160   -9.8250    0.6560    0.8850    3.0390 
 2009.771380    1.7600   -2.0040  -11.1180    0.6480    0.8820    2.9470 
 2009.774118    2.0250   -1.1170  -15.0300    0.6290    0.8690    2.8790 
 2009.776856    1.4760   -0.8100  -10.3930    0.6360    0.8600    2.8670 
 2009.779594    1.8550   -2.6380   -8.1950    0.6180    0.8440    2.8160 
 2009.782331    3.3860   -2.3550   -8.9840    0.6720    0.9150    3.0810 
 2009.785069    2.7700   -1.5490   -6.7390    0.6400    0.8710    2.9940 
 2009.787807   -1.1550   -4.1460   -3.1850    0.6920    0.8970    2.9950 
 2009.790545    0.7780   -2.0750  -10.7370    0.6530    0.8940    2.9940 
 2009.793283    0.9440   -3.0460   -9.8750    0.6350    0.8790    2.9120 
 2009.796021    0.4690   -2.7630  -12.8980    0.6320    0.8840    2.9010 
 2009.798758    1.8020   -1.1230  -10.7590    0.6460    0.8880    2.9600 
 2009.801496    1.0880   -1.5470   -8.8360    0.6890    0.9210    3.0970 
 2009.804234    0.0390   -0.5120  -10.4750    0.6370    0.8810    2.9040 
 2009.806972    1.0970   -0.2500   -9.9950    0.7630    1.0450    3.2850 
 2009.809710    1.6930   -0.7060   -8.1670    0.6790    0.9450    3.0620 
 2009.812448    1.8380   -0.7630  -11.0180    0.6900    0.9280    3.0520 
 2009.815186    1.3310    0.1720  -12.2910    0.6520    0.9010    2.9770 
 2009.817923    1.6040   -0.9750   -9.4760    0.6770    0.9260    3.0070 
 2009.820661    1.5740   -1.2420  -10.7190    0.6490    0.8950    2.9340 
 2009.823399    1.4670    0.5300  -10.8180    0.6420    0.8870    2.9330 
 2009.826137    2.9020   -0.6230  -15.8070    0.6840    0.9450    3.0800 
 2009.828875    1.9030   -1.7730  -18.0440    0.7340    1.0040    3.4210 
 2009.831613    2.2460   -1.5270  -12.1900    0.6630    0.9080    3.0090 
 2009.834351    0.8210   -2.4740   -5.8100    0.6410    0.8890    2.9300 
 2009.837088   -0.4690   -3.8120   -4.5930    0.6300    0.8760    2.8790 
 2009.839826    0.1690   -2.4680   -9.6810    0.6370    0.8870    2.9490 
 2009.842564   -0.1960   -3.5320  -12.7070    0.6230    0.8780    2.8590 
 2009.845302    1.4700   -3.6940  -14.3240    0.6450    0.8840    2.8690 
 2009.848040    0.7240   -0.6800   -7.6810    0.6350    0.8810    2.8520 
 2009.850778    1.5160   -1.7370   -9.5430    0.6520    0.8840    2.8660 
 2009.853515    2.4020   -1.3810   -7.6090    0.6980    0.9700    3.0580 
 2009.856253    2.5350   -2.9540   -7.9190    0.6670    0.9130    2.9800 
 2009.858991    1.1350   -1.8940   -8.9230    0.6760    0.9170    3.0510 
