 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2009.607993    1.0280   -8.5450   -0.2940    1.0070    1.4790    5.7080 
 2009.609847    2.2040   -7.8740   -5.2340    0.6300    0.8480    3.2330 
 2009.612585    2.1600   -7.3290   -6.3720    0.6320    0.8520    3.2900 
 2009.615322    2.1460   -7.9300   -5.7220    0.6350    0.8470    3.3100 
 2009.618060    2.7340   -7.0070   -4.9750    0.6220    0.8690    3.3270 
 2009.620798    4.3060   -6.6660   -6.6350    0.6220    0.8380    3.2810 
 2009.623536    2.2330   -6.5640  -11.3680    0.6330    0.8490    3.2820 
 2009.626274    1.5270   -6.9570   -5.3710    0.6240    0.8400    3.2550 
 2009.629012    2.7450   -6.7780   -6.1820    0.6310    0.8450    3.3010 
 2009.631750    3.5620   -8.7440   -9.7220    0.6410    0.8600    3.3670 
 2009.634487    3.2490   -6.1040  -10.1580    0.6450    0.9020    3.4200 
 2009.637225    2.9730   -7.1740   -4.1330    0.6570    0.8770    3.3840 
 2009.639963    2.8600   -5.0780   -5.6590    0.6370    0.8580    3.3270 
 2009.642701    3.0340   -6.0280   -9.7600    0.6340    0.8720    3.3250 
 2009.645439    2.5780   -6.0520   -5.2370    0.6440    0.8520    3.3570 
 2009.648177    1.3290   -5.8950   -2.5030    0.6500    0.8890    3.4400 
 2009.650915    1.2860   -6.5340   -7.7750    0.6510    0.8720    3.3830 
 2009.653652    1.2220   -4.6840  -10.2410    0.7040    0.9050    3.6280 
 2009.656390    0.0080   -5.9320   -7.5420    0.6360    0.8460    3.2150 
 2009.659128    1.0200   -5.3290   -6.1860    0.6350    0.8490    3.2940 
 2009.661866    0.0970   -6.2030   -4.0690    0.6650    0.8860    3.4610 
 2009.664604    1.5950   -6.0600   -5.2530    0.6360    0.8420    3.2080 
 2009.667342    1.9540   -5.2030   -8.6510    0.6250    0.8390    3.2310 
 2009.670079    2.5600   -5.4830   -5.3620    0.6640    0.8670    3.4140 
 2009.672817    2.3540   -6.0240   -7.6920    0.6520    0.8540    3.2930 
 2009.675555    2.4800   -6.7200   -7.4290    0.6560    0.8710    3.3630 
 2009.678293    3.1310   -6.3860   -6.9020    0.6270    0.8430    3.2670 
 2009.681031    3.4440   -6.8620   -2.2510    0.6350    0.8450    3.3080 
 2009.683769    4.2570   -6.5570   -6.1430    0.6300    0.8470    3.2830 
 2009.686507    3.4140   -6.1550   -5.3830    0.6380    0.8380    3.2620 
 2009.689244    2.5920   -6.9950   -7.1280    0.6420    0.8440    3.2630 
 2009.691982    0.9230   -6.3730   -5.2490    0.6410    0.8560    3.2750 
 2009.694720    2.1380   -6.2080   -3.8440    0.6730    0.8750    3.4640 
 2009.697458    1.6900   -5.1070   -8.3790    0.6370    0.8620    3.3230 
 2009.700196    3.7960   -4.9340  -12.4310    0.6740    0.8640    3.4180 
 2009.702934    2.9630   -5.7720  -11.4340    0.6580    0.8720    3.3880 
 2009.705672    3.1880   -6.1840   -7.7250    0.6390    0.8440    3.2120 
 2009.708409    2.3580   -5.5760   -9.0360    0.6260    0.8200    3.1590 
 2009.711147    2.7950   -5.1170   -3.3440    0.6400    0.8480    3.3150 
 2009.713885    2.3150   -5.4500   -3.4710    0.6380    0.8380    3.2040 
 2009.716623    2.5090   -5.1110   -7.9530    0.6250    0.8170    3.1900 
 2009.719361    1.9220   -4.0870   -3.2740    0.6230    0.8230    3.1710 
 2009.722099    2.6210   -4.2470   -3.4100    0.6420    0.8260    3.2780 
 2009.724836    2.3230   -4.3930   -5.3430    0.6410    0.8560    3.2820 
 2009.727574    2.0950   -4.9430   -2.6650    0.6400    0.8390    3.2570 
 2009.730312    3.0990   -5.3420   -5.7540    0.6190    0.8090    3.1370 
 2009.733050    2.1030   -4.8150   -1.7820    0.6370    0.8360    3.2820 
 2009.735788    3.3770   -4.0770   -3.4120    0.6410    0.8490    3.2710 
 2009.738526    2.5020   -5.0160   -4.4570    0.6950    0.9020    3.5410 
 2009.741264    1.3050   -4.2370   -4.3590    0.6590    0.8750    3.3780 
 2009.744001    0.9820   -3.8960   -7.4530    0.6360    0.8390    3.2630 
 2009.746739    0.6380   -3.6760   -7.9700    0.6370    0.8440    3.2840 
 2009.749477    0.7310   -2.2240   -8.3210    0.6350    0.8320    3.2390 
 2009.752215    1.0720   -2.2800   -5.4960    0.6430    0.8470    3.2900 
 2009.754953    0.9510   -3.2400   -5.1050    0.6260    0.8370    3.2180 
 2009.757691    1.1900   -3.8340   -3.4210    0.6250    0.8320    3.1980 
 2009.760429    2.4320   -3.4880   -7.2530    0.6480    0.8660    3.3380 
