 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2007.617889   35.7240  -33.3150  -24.1370    1.8340    2.8400    8.1100 
 2007.619429   34.0580  -34.5570  -18.8660    0.6800    0.9560    2.9770 
 2007.622167   34.0650  -34.7200  -14.4990    0.6540    0.9210    2.7810 
 2007.624905   34.2600  -35.6860  -16.9310    0.6400    0.9320    2.7960 
 2007.627643   35.0590  -36.2580  -14.6010    0.6360    0.9140    2.8100 
 2007.630381   33.1110  -36.1100   -9.2980    0.6380    0.9230    2.8580 
 2007.633118   34.0680  -37.0840  -13.0220    0.6320    0.9090    2.7660 
 2007.635856   34.7580  -35.3110  -12.4350    0.6150    0.8820    2.6400 
 2007.638594   35.0710  -36.3440  -13.5800    0.6140    0.8830    2.6600 
 2007.641332   35.0800  -36.3490  -14.6840    0.6150    0.8770    2.6370 
 2007.644070   35.2720  -35.7330  -14.9610    0.6460    0.9080    2.8040 
 2007.646808   34.9100  -36.1040  -16.9330    0.6420    0.9070    2.8130 
 2007.649546   34.6400  -35.5450  -14.1190    0.6570    0.9250    2.8600 
 2007.652283   35.0380  -35.1380  -19.0290    0.6710    0.9540    2.9770 
 2007.655021   35.7540  -36.7820  -14.6150    0.6450    0.8970    2.7970 
 2007.657759   36.6020  -37.9700  -16.3930    0.6440    0.9200    2.8740 
 2007.660497   35.2850  -34.2920    1.9570    0.6780    0.9640    3.1550 
 2007.663235   35.1910  -34.9740  -12.8830    0.6460    0.9120    2.8300 
 2007.665973   36.1040  -35.2300  -14.0610    0.6430    0.9030    2.7830 
 2007.668711   34.1480  -34.7810  -13.1950    0.6600    0.9340    2.8940 
 2007.671448   35.1590  -36.0210   -8.3380    0.6370    0.8890    2.7500 
 2007.674186   36.3110  -37.8280  -12.5130    0.6350    0.9060    2.8040 
 2007.676924   35.5190  -35.9570  -11.6690    0.6330    0.9040    2.7820 
 2007.679662   35.2170  -36.4110  -13.9580    0.6560    0.9160    2.8310 
 2007.682400   34.6410  -34.0820  -12.0400    0.6420    0.9160    2.8120 
 2007.685138   33.5860  -33.4970  -11.6480    0.6430    0.9130    2.8470 
 2007.687876   32.7760  -32.4080  -10.1740    0.6600    0.9660    3.0890 
 2007.690613   44.1960  -37.4310   -7.9330    0.6350    0.9070    2.8090 
 2007.693351   38.6500  -34.8150  -15.3060    0.6290    0.8930    2.7400 
 2007.696089   35.7850  -33.7250  -14.9730    0.6230    0.8890    2.7460 
 2007.698827   34.1570  -33.0270  -13.3520    0.6280    0.8930    2.7760 
 2007.701565   33.0820  -34.5920  -19.5840    0.6390    0.9100    2.8180 
 2007.704303   33.8520  -35.2860  -12.3610    0.6540    0.9350    2.8480 
 2007.707040   33.3380  -33.8460  -13.6800    0.6440    0.9190    2.8640 
 2007.709778   35.0810  -35.6830  -14.3590    0.6290    0.8910    2.7400 
 2007.712516   46.2230  -36.2080   -2.2360    0.6110    0.8840    2.7160 
 2007.715254   46.6390  -35.4580   -1.9930    0.6050    0.8810    2.6590 
 2007.717992   40.8960  -31.4740   -6.2180    0.6160    0.8980    2.6720 
 2007.720730   39.0380  -31.9340   -9.0650    0.6210    0.8860    2.6740 
 2007.723468   38.6940  -31.0490   -9.0880    0.6240    0.8940    2.6830 
 2007.726205   36.2520  -31.4460  -14.2690    0.6250    0.9060    2.6770 
 2007.728943   35.0200  -31.7220  -17.0800    0.6380    0.9240    2.7810 
 2007.731681   35.9550  -33.1500  -17.9390    0.6280    0.9030    2.7120 
 2007.734419   36.2550  -33.9530  -12.1070    0.6180    0.8990    2.7350 
 2007.737147   34.7460  -32.4960  -15.0460    0.6420    0.9320    2.7610 
 2007.739895   34.3920  -33.4260  -10.6090    0.6490    0.9250    2.7820 
 2007.742652   32.5930  -33.5100  -16.6590    0.6700    0.9630    2.9350 
 2007.745370   33.5930  -34.4480  -13.2790    0.6090    0.9040    2.6810 
 2007.748108   35.4080  -33.8140  -13.6770    0.6220    0.9090    2.7360 
 2007.750846   35.1200  -34.3370  -10.8740    0.6580    0.9420    2.8630 
 2007.753584   38.6720  -36.0530   -7.5180    0.6230    0.9210    2.6860 
 2007.756322   35.7350  -34.0820  -15.1350    0.6350    0.9160    2.7330 
 2007.759060   33.8660  -32.3010  -13.2160    0.6110    0.8980    2.6860 
 2007.761797   34.0450  -33.7480  -16.6100    0.6070    0.8890    2.6660 
 2007.764535   32.8040  -33.2670  -16.7450    0.6100    0.8880    2.6630 
 2007.767273   33.4880  -32.4020  -16.8070    0.6590    0.9470    2.9450 
 2007.770011   34.7320  -35.9780  -27.0890    0.6830    0.9830    3.0960 
 2007.772749   32.0160  -32.2250  -10.5540    0.6420    0.9340    2.8530 
 2007.775487   32.0690  -32.6690  -18.3770    0.6040    0.8900    2.6460 
 2007.778225   33.1680  -33.8590  -14.4310    0.6040    0.8790    2.5970 
 2007.780962   33.7860  -31.8240  -11.9590    0.6100    0.8830    2.6450 
 2007.783700   32.6300  -32.0120  -11.0130    0.6220    0.8970    2.6950 
 2007.786438   32.6020  -32.7560   -9.2760    0.6170    0.8860    2.6670 
 2007.789176   33.3020  -32.6310  -13.7500    0.6090    0.8890    2.6600 
 2007.791914   31.4020  -32.8680  -13.8460    0.6180    0.8940    2.7200 
 2007.794652   33.8890  -31.8320  -17.7080    0.6340    0.9180    2.7580 
 2007.797390   33.5660  -31.8880  -12.2130    0.6330    0.9060    2.7000 
 2007.800127   33.9380  -32.3790  -11.6420    0.6200    0.8870    2.6730 
 2007.802865   33.7600  -31.0310  -13.4220    0.5990    0.8850    2.6240 
 2007.805603   33.8880  -31.7310  -12.6530    0.6070    0.8830    2.6220 
 2007.808341   32.2910  -33.5620   -8.6360    0.6280    0.9040    2.7180 
 2007.811079   33.4960  -30.6270   -8.3230    0.6140    0.8850    2.6540 
 2007.813817   34.4590  -30.4290   -8.4550    0.6660    0.9460    2.8700 
 2007.816554   32.7720  -33.0930  -10.8820    0.6440    0.9090    2.7520 
 2007.819292   32.1810  -31.4120  -11.5760    0.6170    0.8970    2.6840 
 2007.822030   31.3550  -29.4220  -10.0520    0.6100    0.8810    2.6580 
 2007.824768   30.9020  -30.2890   -9.5480    0.6150    0.8870    2.6580 
 2007.827506   32.3540  -29.8270   -9.9180    0.6330    0.9010    2.6830 
 2007.830244   32.0530  -29.4590  -12.4340    0.6100    0.8730    2.6300 
 2007.832982   32.8970  -28.4730  -12.9840    0.6060    0.8780    2.6150 
 2007.835719   31.9390  -30.1160  -18.0000    0.6070    0.8720    2.6280 
 2007.838457   33.1410  -31.3370  -14.0200    0.6080    0.8790    2.6270 
 2007.841195   33.0360  -29.9280  -13.5470    0.6050    0.8660    2.5720 
 2007.843933   36.4240  -27.1180  -16.6330    0.6050    0.8730    2.6090 
 2007.846671   40.7290  -24.3250  -11.4920    0.6000    0.8680    2.5910 
 2007.849409   38.2160  -22.8730  -11.9670    0.6020    0.8750    2.6330 
 2007.852147   35.5380  -26.4570  -16.1370    0.6240    0.9180    2.8400 
 2007.854884   39.1570  -24.7530  -10.8750    0.6080    0.8880    2.6670 
 2007.857622   40.0010  -23.4900   -8.9950    0.5980    0.8750    2.6010 
 2007.860360   39.5950  -25.1210   -5.5040    0.6090    0.8800    2.6520 
 2007.863098   38.9580  -24.9000   -8.4240    0.6030    0.8750    2.6170 
 2007.865836   35.9790  -26.8880   -6.4140    0.6400    0.9080    2.7250 
 2007.868574   36.1160  -25.4230   -8.8500    0.6380    0.9170    2.7500 
 2007.871312   36.5870  -26.9650   -8.2570    0.6110    0.8860    2.6390 
 2007.874049   37.8340  -25.7610  -10.8180    0.6000    0.8720    2.5690 
 2007.876787   33.8540  -27.3570  -17.4570    0.6100    0.8890    2.6580 
 2007.879525   31.0740  -30.1950  -20.3780    0.6220    0.8960    2.7480 
 2007.882263   33.1080  -30.6250  -12.3320    0.6090    0.8800    2.6400 
 2007.885001   32.9170  -31.4110  -12.9480    0.6750    0.9750    2.8590 
 2007.887739   31.2350  -30.9670  -15.4700    0.6070    0.8780    2.6040 
 2007.890476   31.4790  -31.5050  -13.2060    0.6380    0.9420    2.7260 
 2007.893214   31.5530  -30.7150  -14.4080    0.6290    0.9110    2.6740 
 2007.895952   31.2960  -30.8420  -12.9610    0.6320    0.9140    2.6700 
 2007.898690   32.8730  -30.9730  -14.4380    0.6200    0.9070    2.7180 
 2007.901428   32.5720  -32.9140  -15.5720    0.6270    0.8960    2.6410 
 2007.904166   31.6730  -31.7960  -15.7410    0.6090    0.8880    2.6290 
 2007.906904   31.5610  -31.0360  -14.3360    0.6120    0.8910    2.6210 
 2007.909641   31.3150  -30.0690  -11.1480    0.6060    0.8670    2.5860 
 2007.912379   31.4880  -27.8660  -13.9810    0.6110    0.8790    2.6340 
 2007.915117   31.2580  -30.8120  -18.6510    0.6260    0.8870    2.6640 
 2007.917855   30.8000  -30.1080  -19.9630    0.6070    0.8690    2.5920 
 2007.920593   30.7590  -30.2110  -15.2300    0.6100    0.8950    2.6180 
 2007.923331   30.4180  -29.7890   -9.5430    0.6060    0.8820    2.6170 
 2007.926069   31.7350  -30.9500  -11.8290    0.6300    0.9090    2.6990 
 2007.928806   30.6140  -31.7590  -14.6580    0.6110    0.8690    2.6030 
 2007.931544   29.8880  -32.0750  -14.2670    0.6110    0.8700    2.6000 
 2007.934282   29.3960  -31.5660  -16.6640    0.6050    0.8680    2.5650 
 2007.937020   29.6390  -31.3850  -15.0810    0.6220    0.8960    2.6530 
 2007.939758   30.3090  -31.6560  -13.3100    0.6440    0.9170    2.7560 
 2007.942505   30.4530  -29.6610  -12.3190    0.6340    0.9080    2.6970 
 2007.945233   30.8510  -30.5270  -16.6500    0.6750    0.9520    2.8700 
 2007.947971   31.2310  -32.3570  -17.7380    0.6300    0.9030    2.6570 
 2007.950709   32.1190  -33.1210  -16.4020    0.6270    0.8910    2.6220 
 2007.953447   31.0670  -30.1990  -16.0790    0.6250    0.8800    2.5990 
 2007.956185   30.0060  -31.4990  -20.2270    0.6240    0.8800    2.5780 
 2007.958923   32.4040  -29.6830  -20.6560    0.6390    0.9050    2.6460 
 2007.961661   31.4560  -31.3580  -17.0920    0.6440    0.9430    2.7510 
 2007.964398   30.4210  -31.2930  -16.1210    0.6300    0.8920    2.6400 
 2007.967136   30.6660  -32.8900  -16.0370    0.6410    0.9290    2.6900 
 2007.969874   30.0990  -30.2160  -14.8530    0.6430    0.9120    2.6750 
 2007.972612   29.8580  -30.5790  -14.7860    0.6240    0.8910    2.6070 
 2007.975350   28.8490  -30.7050  -11.7590    0.6200    0.8900    2.6180 
 2007.978088   28.9800  -31.3830  -10.5960    0.6120    0.8750    2.5970 
 2007.980826   28.7900  -33.0910   -8.5880    0.6150    0.8770    2.5920 
