 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2009.084179   16.5680   -8.5000  -11.6130    0.5310    0.7620    2.3240 
 2009.086917   16.4360   -9.5900  -12.9820    0.5410    0.7650    2.3110 
 2009.089655   15.3480   -9.4000  -13.1520    0.5400    0.7540    2.3140 
 2009.092393   16.1550  -10.6050  -16.2430    0.5450    0.7750    2.3730 
 2009.095131   16.8100  -10.5300  -16.7790    0.5820    0.8080    2.6070 
 2009.097869   15.8240  -11.3450  -10.3720    0.5480    0.7960    2.4280 
 2009.100607   16.1730   -9.3080  -10.5690    0.5520    0.8060    2.4960 
 2009.103344   16.6370   -8.8640   -6.8130    0.5580    0.8000    2.4870 
 2009.106082   17.2630  -10.1700   -8.6930    0.5370    0.7570    2.3200 
 2009.108820   16.4020  -10.7660   -8.8980    0.5320    0.7650    2.2870 
 2009.111558   16.9210   -8.1440  -15.3820    0.5390    0.7630    2.3390 
 2009.114296   17.4860   -7.3710  -11.6400    0.5540    0.7850    2.4270 
 2009.117034   16.8770   -8.9940  -11.9660    0.5430    0.7740    2.4070 
 2009.119771   15.8460   -8.9710  -12.4720    0.5330    0.7580    2.3300 
 2009.122509   15.4990   -9.2050  -12.7670    0.5550    0.7980    2.4460 
 2009.125247   15.1280  -10.3150   -9.7360    0.5680    0.7900    2.4220 
 2009.127985   13.7660  -11.0650   -5.2930    0.5460    0.7930    2.3820 
 2009.130723   13.8010  -10.1060   -5.6980    0.5480    0.7750    2.3700 
 2009.133461   14.1720   -9.6320   -6.0940    0.5320    0.7720    2.3090 
 2009.136199   14.2720  -10.0980  -10.0870    0.5370    0.7660    2.3190 
 2009.138936   14.9770  -10.0930   -6.9530    0.5500    0.7790    2.3550 
 2009.141674   15.5380  -10.4070  -13.2980    0.5360    0.7730    2.3350 
 2009.144412   14.1560  -10.8970  -11.7090    0.5350    0.7810    2.3590 
 2009.147150   14.5480  -10.9140  -13.8830    0.5550    0.7980    2.4110 
 2009.149888   16.0710  -10.7150   -9.5070    0.5620    0.8020    2.4290 
 2009.152626   17.1720  -11.0380  -10.6080    0.5550    0.7930    2.3890 
 2009.155364   15.4180  -10.8280  -11.0970    0.5400    0.7860    2.3880 
 2009.158101   15.4840  -11.1550  -12.9380    0.5560    0.8100    2.4370 
 2009.160839   14.0670   -9.6400  -11.4920    0.5450    0.7910    2.3760 
 2009.163577   13.9050  -11.0410  -10.0400    0.5470    0.7820    2.3540 
 2009.166315   15.8990  -11.0460  -10.3910    0.5330    0.7640    2.3060 
 2009.169053   15.9730  -11.0240   -8.1000    0.5560    0.7930    2.4460 
 2009.171791   15.7670  -11.3650  -10.3540    0.5690    0.8200    2.4670 
 2009.174528   16.1110  -10.6280  -10.9530    0.5470    0.7960    2.3630 
 2009.177266   15.8850  -11.9130   -9.0540    0.5490    0.7820    2.4050 
 2009.180004   15.5470  -10.5080   -7.7490    0.5460    0.7730    2.2960 
 2009.182742   14.5050   -9.5530  -13.5640    0.5640    0.7910    2.4100 
 2009.185480   14.4320  -10.3890  -12.2630    0.5350    0.7720    2.3090 
 2009.188218   14.4410  -11.0580  -13.0400    0.5400    0.7800    2.3450 
 2009.190956   14.8830   -8.9860  -12.9010    0.5550    0.7970    2.3880 
 2009.193693   14.3900   -9.3950   -9.4880    0.5560    0.7980    2.4520 
 2009.196431   15.4990   -9.0880  -11.5410    0.5850    0.8290    2.4870 
 2009.199169   15.5010   -9.1290  -12.6190    0.5590    0.7940    2.4070 
