 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2007.609419   32.6650  -36.2800  -25.1440    1.5420    2.4670    7.1630 
 2007.611216   33.6010  -37.9250  -21.0000    0.6380    0.9310    3.1040 
 2007.613954   33.2580  -37.8520  -18.2280    0.6230    0.9240    3.0760 
 2007.616691   33.5910  -39.5260  -24.6800    0.6790    0.9860    3.3480 
 2007.619429   32.1940  -38.1390  -21.7660    0.7320    1.0290    3.6030 
 2007.622167   33.3280  -38.2520  -22.5220    0.7040    1.0070    3.4010 
 2007.624905   34.0680  -39.2620  -18.9160    0.6620    0.9700    3.1910 
 2007.627643   34.0460  -40.6920  -19.8300    0.6440    0.9440    3.2500 
 2007.630381   33.4360  -39.4220  -17.5070    0.6450    0.9530    3.2790 
 2007.633118   33.5110  -39.3580  -17.2080    0.6400    0.9290    3.1500 
 2007.635856   34.4430  -39.4870  -18.9250    0.6460    0.9420    3.1810 
 2007.638594   34.5040  -39.6570  -18.7740    0.6390    0.9340    3.1720 
 2007.641332   35.0510  -40.2080  -18.0450    0.6310    0.9210    3.0370 
 2007.644070   34.7780  -40.3730  -18.9480    0.6540    0.9630    3.1870 
 2007.646808   33.2020  -37.6760  -22.7220    0.6740    0.9740    3.3160 
 2007.649546   33.5660  -38.6660  -21.4250    0.6650    0.9610    3.4290 
 2007.652283   33.5520  -38.7790  -21.8970    0.7170    1.0810    3.6330 
 2007.655021   33.9950  -39.6730  -22.2440    0.6630    0.9710    3.2660 
 2007.657759   34.2060  -36.7920  -16.9400    0.6880    0.9990    3.4260 
 2007.660497   33.6910  -39.8000  -15.3310    0.6460    0.9470    3.1720 
 2007.663235   33.0870  -39.4040  -18.6820    0.6630    0.9650    3.3060 
 2007.665982   34.9240  -40.3670  -17.6610    0.6860    0.9910    3.4460 
 2007.668720   34.2720  -38.6390  -13.8380    0.7090    1.0470    3.4600 
 2007.671448   33.6480  -39.4650  -20.1150    0.6710    0.9620    3.3040 
 2007.674186   34.1670  -39.9770  -16.5740    0.6480    0.9460    3.1910 
 2007.676924   34.6570  -39.7210  -14.0780    0.6670    0.9690    3.2880 
 2007.679662   34.7090  -40.6040  -15.3070    0.7520    1.0770    3.5680 
 2007.682400   34.1690  -37.7460  -11.5410    0.6760    0.9830    3.3720 
 2007.685138   32.9180  -37.0280  -18.9460    0.6790    0.9800    3.3580 
 2007.687876   32.9030  -37.7370  -17.4680    0.6670    0.9680    3.3550 
 2007.690613   34.2050  -38.0010  -17.4960    0.6580    0.9540    3.2400 
 2007.693351   33.6860  -38.5510  -20.5820    0.6520    0.9460    3.2150 
 2007.696089   33.9010  -38.7410  -16.0680    0.6530    0.9510    3.1750 
 2007.698827   33.6870  -37.7060  -17.5530    0.6360    0.9420    3.1510 
 2007.701565   32.8170  -39.3550  -14.7480    0.6660    0.9790    3.3980 
 2007.704303   32.8610  -39.4610  -16.5800    0.6530    0.9580    3.1990 
 2007.707040   34.0690  -37.6910  -17.4220    0.6550    0.9430    3.1880 
 2007.709778   35.1120  -39.8570  -18.1480    0.6480    0.9410    3.2150 
 2007.712516   32.7030  -38.0970  -21.1050    0.6310    0.9260    3.1430 
 2007.715254   33.5710  -37.1770  -14.9640    0.6310    0.9210    3.0510 
 2007.717992   32.9740  -37.5980  -14.4570    0.6830    0.9680    3.2960 
 2007.720730   33.6410  -37.8840  -15.9780    0.6540    0.9850    3.2890 
 2007.723468   33.1450  -37.4980  -19.2870    0.6650    0.9690    3.2050 
 2007.726205   33.8840  -38.1440  -16.5560    0.6410    0.9460    3.1290 
 2007.728943   34.7950  -36.9680  -16.3410    0.6940    1.0160    3.3290 
 2007.731681   33.0680  -38.7240  -21.7370    0.6480    0.9550    3.1460 
 2007.734419   35.9770  -37.6300  -18.4190    0.6530    0.9470    3.2220 
 2007.737157   34.3470  -38.0490  -21.3760    0.6800    0.9810    3.2430 
 2007.739895   33.8730  -38.9740  -23.6950    0.6630    0.9780    3.3030 
 2007.742633   33.1940  -39.0190  -27.0620    0.7380    1.0760    3.6230 
 2007.745380   33.5800  -37.6520  -18.8490    0.6580    0.9810    3.1840 
 2007.748108   34.9440  -39.1840  -17.5130    0.6620    0.9720    3.2660 
 2007.750846   33.7990  -38.5740  -15.1370    0.6530    0.9650    3.2210 
 2007.753584   35.4880  -37.5950  -12.7930    0.6810    1.0130    3.3210 
 2007.756322   32.9290  -37.6550  -21.0550    0.6320    0.9280    3.0790 
 2007.759060   33.4610  -36.2490  -22.0120    0.6630    0.9600    3.1580 
 2007.761797   33.1630  -37.5240  -22.4830    0.6390    0.9480    3.1100 
 2007.764535   33.2960  -35.8780  -18.6080    0.6350    0.9380    3.1210 
 2007.767273   32.2820  -36.8580  -16.7990    0.6690    0.9950    3.3800 
 2007.770011   32.9330  -35.6360  -20.9340    0.6680    0.9710    3.2280 
 2007.772749   32.3070  -35.1340  -15.7610    0.6520    0.9790    3.2330 
 2007.775487   32.2350  -36.4970  -20.0060    0.6260    0.9150    3.0260 
 2007.778225   32.1940  -37.7070  -20.2170    0.6410    0.9440    3.1440 
 2007.780962   33.1340  -36.8320  -18.7110    0.6260    0.9270    3.0560 
 2007.783700   32.0250  -36.9810  -19.4180    0.6290    0.9200    3.0550 
 2007.786438   32.3360  -36.7660  -12.6740    0.6250    0.9180    3.0440 
 2007.789176   32.7440  -36.4010  -17.9830    0.6320    0.9150    3.0390 
 2007.791914   32.0820  -35.9840  -14.6990    0.6380    0.9410    3.1750 
 2007.794652   33.6820  -35.1410  -18.5090    0.7060    1.0340    3.5560 
 2007.797390   33.8050  -36.3550  -19.3800    0.7090    1.0300    3.4480 
 2007.800127   33.9000  -36.1910  -16.6640    0.6740    0.9820    3.2080 
 2007.802865   34.2310  -35.7730  -17.5170    0.6480    0.9370    3.0840 
 2007.805603   34.8090  -35.9930  -17.3710    0.6510    0.9550    3.1370 
 2007.808350   34.0030  -34.9060  -15.6870    0.6440    0.9470    3.1800 
 2007.811079   33.7110  -35.9200  -12.4220    0.6470    0.9360    3.1380 
 2007.813817   35.3270  -33.3160  -14.6530    0.6860    0.9790    3.3480 
