 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2005.942153   80.3690  -47.7650  -39.6390    1.7650    2.4460    8.3520 
 2005.943865   81.7730  -46.9480  -30.6720    0.6770    0.9400    3.3450 
 2005.946602   81.1780  -46.6570  -31.0940    0.6940    0.9910    3.4030 
 2005.949340   81.0750  -46.2230  -29.6350    0.6430    0.8960    3.1330 
 2005.952078   80.5910  -46.1270  -30.0970    0.6120    0.8790    3.0530 
 2005.954816   80.5080  -44.6640  -30.4010    0.6320    0.8670    3.0280 
 2005.957554   79.7260  -44.8960  -30.6070    0.6760    0.9100    3.2670 
 2005.960292   79.3330  -45.3830  -25.6430    0.6280    0.8710    3.0720 
 2005.963030   79.9650  -45.9540  -24.9370    0.6120    0.8610    2.9600 
 2005.965767   79.5050  -46.2360  -24.3730    0.6510    0.8840    3.1580 
 2005.968505   78.8870  -46.4450  -32.5830    0.8280    1.0480    3.7230 
 2005.971243   79.7500  -48.3130  -29.3490    0.7400    1.0090    3.5040 
 2005.973981   80.9360  -50.2130  -28.5950    0.6520    0.9410    3.2470 
 2005.976719   77.9080  -45.9110  -29.8820    0.6330    0.9110    3.1570 
 2005.979457   78.7670  -46.6040  -27.1830    0.6600    0.8870    3.1800 
 2005.982194   79.4110  -44.5190  -19.1700    0.7360    1.0280    3.6160 
 2005.984932   79.7090  -44.5430  -30.6010    0.6540    0.9090    3.2190 
 2005.987670   81.6260  -45.4920  -27.2820    0.6950    1.0010    3.4820 
 2005.990408   80.6380  -43.2280  -20.1750    0.8010    1.1710    3.8650 
 2005.992918   81.8230  -43.3410  -24.7630    0.8650    1.2080    4.1220 
 2006.004611   81.7110  -43.7880  -26.1270    1.0180    1.4390    5.2130 
 2006.006835   79.7710  -43.5680  -29.8610    0.6260    0.8690    3.0350 
 2006.009573   79.3690  -43.0220  -25.7800    0.5980    0.8320    2.8750 
 2006.012311   79.0720  -42.5150  -26.0310    0.6230    0.8610    3.0030 
 2006.014821   80.4820  -42.6610  -26.3620    0.7730    0.9910    3.6540 
 2006.023719   80.3770  -44.8950  -29.2000    1.0960    1.4810    5.3280 
 2006.026171   79.8650  -43.2430  -24.5130    0.8470    1.1230    3.9880 
 2006.028738   79.9020  -43.7650  -23.5500    0.6180    0.8410    2.9620 
 2006.031476   79.7140  -41.8640  -24.9450    0.6180    0.8560    2.9800 
 2006.034214   79.5220  -43.7340  -27.0710    0.6240    0.8760    3.0530 
