 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2004.695405   56.6550 -103.5590  -20.1140    0.6250    0.8440    3.1150 
 2004.698142   55.2670 -104.1400  -20.2110    0.5800    0.7960    2.8560 
 2004.700880   55.6530 -103.9340  -23.4120    0.6290    0.8820    3.1510 
 2004.703618   57.8020 -104.8370  -21.6860    0.7280    1.0360    3.6730 
 2004.706356   57.1260 -104.4480  -16.6510    0.6770    0.9400    3.2750 
 2004.709094   57.5300 -103.8120  -15.7200    0.7990    1.1500    4.3670 
 2004.711832   58.8020 -101.9220   22.9650    0.8330    1.1740    4.5500 
 2004.714570   58.7170 -107.5650  -26.7930    0.6030    0.8160    2.9240 
 2004.717307   58.1230 -103.8050  -36.7160    0.5980    0.8180    2.8970 
 2004.720045   63.6470  -94.8190  -30.5710    0.6090    0.8710    3.1430 
 2004.722783   56.4140 -100.1350  -21.9150    0.6050    0.8610    3.0750 
 2004.725521   55.1780 -103.0650  -13.2720    0.6760    0.9180    3.4030 
 2004.728259   55.7570 -101.5580  -15.2130    0.6280    0.8670    3.0810 
 2004.730997   56.3410 -102.2710  -18.4890    0.6180    0.8540    3.0390 
 2004.733735   57.6620 -104.6200  -20.7310    0.5950    0.8320    2.9460 
 2004.736472   56.7530 -103.6650  -28.7150    0.5920    0.8060    2.8680 
 2004.739210   56.7310 -104.3130  -20.7900    0.6170    0.8360    3.0390 
 2004.741948   57.6140 -103.5730  -20.4250    0.5830    0.8130    2.8650 
 2004.744686   58.3170 -102.8450  -23.3200    0.6090    0.8390    3.0310 
 2004.747424   57.0330 -105.6350  -24.5780    0.5730    0.7830    2.8060 
 2004.750162   57.2380 -103.5050  -24.0760    0.6030    0.8380    3.0650 
 2004.752899   57.2360 -102.8140  -20.9950    0.6140    0.8560    3.0030 
 2004.755647   53.9320 -106.0300   -5.0490    0.6760    0.8880    3.2380 
 2004.758375   55.6460 -101.8400  -16.7140    0.7270    0.9780    3.4840 
 2004.763851   55.7370 -102.2740  -19.2440    0.6070    0.8350    2.9810 
 2004.766589   56.0600 -101.0430  -18.6230    0.5550    0.7780    2.7630 
 2004.769327   57.1790 -101.2210  -17.5860    0.6090    0.9050    3.1540 
 2004.772064   55.8000 -101.8220  -19.9850    0.6220    0.9070    3.2480 
 2004.774802   56.6160 -102.1950  -28.4140    0.6100    0.8610    3.1270 
 2004.777540   57.1500 -103.0180  -25.0890    0.6390    0.8720    3.1780 
 2004.780278   57.3240 -101.6160  -22.7410    0.6110    0.8740    3.0260 
 2004.783016   57.1690 -101.2200  -19.3960    0.8200    1.0630    4.1340 
 2004.785754   56.8130 -102.3140  -23.9340    0.7360    0.9590    3.5780 
 2004.788492   57.4900 -104.1370  -20.6210    0.6450    0.8770    3.1510 
 2004.791229   57.0910 -102.6840  -17.4980    0.5820    0.8420    2.9900 
 2004.793967   57.4670 -103.3030  -18.5540    0.5710    0.8040    2.8830 
 2004.796648   55.8660  -99.8380  -18.6090    0.6090    0.8470    3.0410 
 2004.799443   56.0620 -103.1220  -18.7630    0.6150    0.8770    3.1090 
 2004.802181   55.9850 -101.5280  -17.1150    0.6300    0.8930    3.1550 
 2004.804928   56.1940 -101.3030  -16.4320    0.6310    0.9030    3.1780 
 2004.807656   56.9990 -101.5510  -18.2030    0.6420    0.9030    3.2960 
 2004.810394   55.6970 -103.6670  -19.0720    0.5920    0.8490    3.0650 
 2004.813132   55.6420 -101.5780  -23.7460    0.6610    0.9130    3.1880 
 2004.815870   54.4720 -102.3600  -21.6960    0.6150    0.8710    3.0600 
 2004.818608   54.7330 -103.9390   -7.5580    0.6470    0.9710    3.4720 
 2004.821346   54.7260 -102.8830  -17.2500    0.5920    0.8550    3.0240 
 2004.824084   58.1220 -103.4200  -16.9700    0.5900    0.8250    2.9340 
 2004.826821   57.4590 -102.9090  -18.2380    0.6780    0.9900    3.4810 
 2004.829559   58.2620 -103.9300  -19.7960    0.6970    1.0180    3.5240 
 2004.832297   58.2530 -103.5440  -16.2010    0.6850    0.9330    3.1570 
 2004.835035   57.3660 -103.4380  -13.7010    0.5880    0.8410    2.9930 
 2004.837773   56.7410 -102.2150  -13.7020    0.6520    0.8990    3.3580 
 2004.840511   57.7200 -100.7170  -15.5170    0.6720    0.9170    3.4010 
 2004.843249   55.7180 -103.1740  -22.4970    0.6160    0.8540    3.0710 
 2004.845986   57.1280 -102.0120  -13.7600    0.5890    0.8220    2.9560 
 2004.848724   56.8330 -100.8860   -6.8290    0.6100    0.9110    3.3740 
 2004.851462   55.3190 -102.3570  -19.7600    0.6990    0.9810    3.5580 
 2004.854209   57.2780 -102.9830  -21.8900    0.8270    1.1960    4.1910 
 2004.856938   57.1450 -101.3400  -19.2000    0.9080    1.2830    4.7290 
 2004.859676   60.5580 -100.7610  -31.7020    0.9920    1.3920    4.8340 
 2004.862413   56.6240 -105.6430  -20.3930    0.7230    0.9310    3.4510 
 2004.865151   55.7020 -102.7130  -13.2540    0.7060    0.9980    3.6050 
 2004.867889   56.8120 -103.9260  -14.2290    0.6320    0.9250    3.2640 
 2004.870627   57.4950 -102.7610  -14.0670    0.6100    0.8900    3.1620 
 2004.873365   54.2870 -103.2420  -18.1180    0.5690    0.8030    2.8830 
 2004.876103   53.2600 -101.2630  -18.5520    0.6360    0.8830    3.1290 
 2004.878784   53.1160 -102.3840  -16.5970    0.5940    0.8260    3.1010 
 2004.881578   53.6230 -102.9580  -15.9610    0.6260    0.8780    3.1830 
 2004.884316   53.3860 -101.1450  -20.9830    0.5990    0.8410    3.0260 
 2004.887064   55.1400 -100.8050  -21.2590    0.7120    0.9590    3.6190 
 2004.889792   52.9230  -99.5340  -24.7100    0.6950    0.9360    3.3680 
 2004.892530   54.8170 -100.6440  -24.6590    0.6000    0.8410    3.0250 
 2004.895277   55.2340 -101.0030  -24.3480    0.6220    0.9160    3.2370 
 2004.898044   55.6860 -102.0370  -22.5470    0.6780    0.9580    3.5360 
 2004.900743   55.8440 -102.2320  -21.7660    0.7860    1.0140    3.8910 
 2004.903424   56.4620 -101.9940  -24.0140    0.6840    0.9370    3.4060 
 2004.906162   55.4590 -100.5750  -11.6350    0.7840    1.0320    3.8440 
 2004.908900   57.3770 -101.9860  -22.6430    0.7420    0.9720    3.6320 
 2004.911638   54.8560 -100.1080  -20.3140    0.6580    0.9310    3.1870 
 2004.914433   56.1000  -97.5850  -18.7850    0.6970    0.9330    3.3290 
 2004.917113   55.4910  -98.3010  -15.7990    0.6500    0.8950    3.2540 
 2004.919851   56.3530  -99.7700  -19.3770    0.6010    0.8350    2.9280 
 2004.922589   54.4990  -98.3760   16.9730    0.7120    1.0730    4.0930 
 2004.925384   54.9290  -99.0320  -23.0030    0.5680    0.7960    2.8300 
 2004.928122   55.6150  -99.8330  -21.0860    0.6330    0.8610    3.3060 
 2004.930860   54.1920  -99.4310  -17.0570    0.7640    1.0430    3.8220 
 2004.933541   55.8820  -98.9620  -21.9230    0.6570    0.9270    3.2470 
 2004.936278   54.6870 -101.2910  -28.6300    0.6540    0.8790    3.2630 
 2004.939073   56.1820 -100.5140  -21.3650    0.6250    0.8620    3.1000 
 2004.941811   55.7090  -98.4590  -18.4090    0.7000    0.9610    3.4610 
 2004.944492   57.0410 -100.1800  -14.7360    0.6460    0.9130    3.1970 
 2004.947287   56.3000  -97.8180  -13.4470    0.6820    0.9530    3.4160 
 2004.949968   57.8600  -99.6700  -23.8360    0.6410    0.9000    3.2180 
 2004.952763   53.9530  -98.8480  -19.6960    0.6050    0.8590    3.1290 
 2004.955500   53.3290  -99.0240  -18.3220    0.6510    0.9340    3.3100 
 2004.958181   52.5410  -98.6130  -22.6370    0.6320    0.9040    3.1760 
 2004.960919   52.6040 -100.0920  -19.6800    0.6810    0.9650    3.4270 
 2004.963723   52.1430 -102.7490    8.1350    0.7930    1.1050    4.2190 
 2004.966395   53.7080 -101.1500  -23.2900    0.5820    0.8120    2.9830 
 2004.969190   52.1190 -106.8770   15.0200    0.7740    1.0780    4.1860 
 2004.971918   56.3850 -101.2570  -19.4240    0.6790    0.9430    3.4320 
 2004.974665   55.0680 -100.6680  -23.9630    0.6720    0.9340    3.3670 
 2004.977346   54.5440 -100.4870  -16.7840    0.6000    0.8560    3.0550 
 2004.980141   55.3160  -97.2860  -20.6970    0.6100    0.8710    3.1370 
 2004.982879   53.8950 -100.0100  -12.8350    0.6500    0.9160    3.2640 
 2004.985617   53.9740 -102.1980   -7.7590    0.6810    0.9710    3.5340 
 2004.988355   55.1540 -101.0270  -15.6330    0.6640    0.9150    3.1520 
 2004.991092   56.2580  -98.8420  -17.8620    0.7540    1.0520    3.7240 
 2004.993830   57.1810 -100.1240  -22.2420    0.7510    1.0300    3.7200 
 2004.996568   54.1310  -98.6380  -17.5940    0.7400    1.0230    3.7160 
 2004.999316   55.2000 -100.7710  -15.4900    0.6320    0.9040    3.2000 
 2005.002044   54.2190 -102.1350  -21.3940    0.6400    0.8950    3.1810 
 2005.004782   52.6270 -101.8360  -20.9110    0.7770    1.1780    3.8680 
 2005.007529   54.5570  -98.7600  -23.0220    0.7780    1.1000    3.7800 
 2005.010257   56.1300  -91.2350  -29.6690    0.7620    1.0510    3.7190 
 2005.012995   55.5330  -95.4320  -41.5600    0.7230    0.9480    3.4050 
 2005.015733   56.2240  -96.9860  -20.2540    0.6170    0.8340    2.9720 
 2005.018471   55.0840 -100.4640  -19.7810    0.6920    0.9870    3.2880 
 2005.021218   53.8270  -98.0460  -14.0540    0.6410    0.8990    3.2300 
 2005.023947   54.0280  -99.5270  -18.0390    0.5760    0.8110    2.8660 
 2005.026685   53.6890  -96.5610  -19.9380    0.6450    0.8780    3.1530 
 2005.029422   54.2720  -96.8370  -22.9320    0.6320    0.8980    3.1510 
 2005.032160   51.9570  -96.9420  -20.0260    0.7940    1.1180    3.8620 
 2005.034898   51.8410  -95.6800  -20.5150    0.7130    0.9230    3.2530 
 2005.037636   53.1730  -97.1060  -25.1060    0.6620    0.9070    3.1860 
 2005.040383   53.1930  -99.0570  -20.6250    0.6840    0.9410    3.2510 
 2005.043112   54.6980  -94.1630  -24.6390    0.6940    0.9700    3.4390 
 2005.045849   60.0080  -98.2370  -33.3670    0.9300    1.2780    4.5030 
 2005.048587   58.1340  -96.7390  -27.5100    0.9510    1.2820    4.5230 
 2005.051325   53.6120  -99.2190  -17.5490    0.9600    1.2800    5.0400 
 2005.054063   52.2710  -97.4320  -23.4420    0.6640    0.9240    3.2410 
 2005.056801   53.7930  -96.4440  -17.2500    0.6520    0.9090    3.2030 
 2005.059539   54.4530  -97.8200  -24.5170    0.7510    1.0740    3.5080 
 2005.062277   52.8890  -93.9970  -21.7630    0.7760    1.1050    3.7140 
 2005.065014   51.1380  -96.0410  -17.3130    0.7620    1.0220    3.8150 
 2005.067752   54.8150  -98.5940  -24.1020    0.6800    0.9630    3.4270 
 2005.070490   53.8790  -94.9780  -24.1020    0.6420    0.8570    3.1520 
 2005.073171   52.5460  -95.1000  -15.3750    0.6000    0.8500    3.0420 
 2005.075966   50.9890  -92.3900  -10.1740    0.6940    0.9490    3.6590 
 2005.078713   51.9650  -95.2700  -32.8420    0.6760    0.9210    3.3870 
 2005.081442   53.2960  -97.4780  -15.8690    0.6220    0.8820    3.1100 
 2005.084179   51.3300  -96.1190  -18.7940    0.6860    0.9410    3.3940 
 2005.086917   52.4850  -95.9440  -20.2190    0.5780    0.8380    2.9120 
 2005.089655   52.5470  -96.0690  -17.8250    0.5930    0.8220    2.9810 
 2005.092393   53.1220  -97.8640  -21.6920    0.6120    0.8340    3.0340 
 2005.095131   52.8790  -96.8180  -16.6790    0.5750    0.7970    2.7980 
 2005.097869   53.1490  -95.6150  -17.5120    0.5750    0.8040    2.8250 
 2005.100588   54.0150  -96.2990  -15.2090    0.7030    0.9960    3.5110 
 2005.103344   54.0830  -95.9710  -30.3190    1.0110    1.3440    4.5900 
 2005.106035   52.6170  -96.0790  -25.4380    0.8160    1.1710    3.9960 
 2005.108830   53.4700  -95.8180  -18.7570    0.8090    1.1690    4.0490 
 2005.111567   52.8610  -93.6050  -27.6870    0.7340    0.9960    3.5820 
 2005.114239   52.4980  -95.4020  -23.8330    0.6290    0.8780    3.1340 
 2005.117034   51.3440  -94.3450  -30.2390    0.5870    0.8300    2.9040 
 2005.119429   51.4310  -93.8160  -20.9550    0.7150    1.0460    3.5550 
 2005.122452   52.4560  -94.8860  -17.0280    0.6360    0.8670    3.2280 
 2005.125190   52.5080  -95.4620  -16.7170    0.6220    0.8370    3.0290 
 2005.127928   52.3340  -94.3960  -25.0400    0.6770    0.9730    3.3390 
 2005.130666   52.8330  -94.1150  -21.3230    0.6290    0.9030    3.1730 
 2005.133461   52.6420  -93.3270  -16.9540    0.7600    1.0520    3.7380 
 2005.136199   51.6050  -93.3520  -14.5320    0.6340    0.8750    3.0570 
 2005.138946   51.3450  -95.9920  -10.8400    0.6400    0.9220    3.2650 
 2005.141617   51.1670  -93.9970  -18.6840    0.6760    0.9610    3.2910 
 2005.144355   50.4070  -92.7440  -18.1250    0.6290    0.8390    3.0350 
 2005.147150   50.6470  -93.1330  -22.4230    0.6110    0.8500    2.9800 
 2005.149888   50.4690  -94.3270  -23.5240    0.5800    0.8150    2.8530 
 2005.152626   49.1560  -93.9300  -25.1760    0.6220    0.8790    3.1180 
 2005.155364   49.9960  -94.6070  -25.8730    0.6150    0.8720    3.0340 
 2005.158101   49.6850  -95.2550  -21.3080    0.6120    0.8390    2.9940 
 2005.160782   50.8390  -94.9460  -18.4120    0.6490    0.9140    3.2440 
 2005.163577   49.8760  -94.2150  -20.5170    0.6310    0.8930    3.1050 
 2005.166315   51.3500  -96.4540  -16.6020    0.6300    0.9040    3.1220 
 2005.169053   51.7520  -96.8260  -12.2080    0.6310    0.8740    3.0240 
 2005.171791   52.0130  -94.6880  -17.7160    0.5850    0.8210    2.8720 
 2005.174528   51.5520  -93.9450  -17.8320    0.6400    0.9400    3.2970 
 2005.177266   54.0560  -96.9830  -14.0310    0.8150    1.1590    3.8830 
 2005.180014   52.2280  -95.6550  -22.2130    0.8060    1.0960    4.1020 
 2005.182742   50.8050  -94.7840  -25.6100    0.7440    1.0520    3.6900 
 2005.185480   51.5820  -95.5680  -18.8560    0.7770    1.1160    4.1580 
 2005.188218   50.1340  -93.5300  -21.8250    0.6850    0.9390    3.3370 
 2005.190956   50.2250  -92.9280  -18.3230    0.6300    0.8630    3.0610 
 2005.193693   49.8940  -92.8980  -17.4750    0.6080    0.8340    2.9120 
 2005.196431   48.4300  -95.5050  -18.5380    0.6180    0.8590    3.0150 
 2005.199169   50.7740  -94.7520  -15.6410    0.6810    0.9450    3.3150 
 2005.201850   51.3350  -94.2980  -24.1090    0.6530    0.9110    3.3010 
 2005.204588   53.2490  -94.2370  -19.0590    0.6640    0.9130    3.4630 
 2005.207326   52.4100  -87.6920  -19.4730    0.6790    0.9860    3.4200 
 2005.210121   51.8090  -90.9520  -19.4650    0.6490    0.8950    3.2280 
 2005.212858   49.7630  -92.9250  -23.7990    0.6480    0.8770    3.1480 
 2005.215596   51.0680  -92.8690  -23.4890    0.6430    0.8920    3.0900 
 2005.218334   50.9550  -91.9210  -21.0790    0.6590    0.8920    3.1660 
 2005.221072   49.6320  -94.6310  -19.0450    0.5910    0.8190    2.9410 
 2005.226548   50.7090  -93.9440  -23.2270    0.6090    0.8450    2.9650 
 2005.229286   51.4010  -93.3940  -25.7640    0.6630    0.9600    3.4220 
 2005.232023   51.6390  -94.6590  -26.5100    0.6680    0.9480    3.3960 
 2005.234761   52.1690  -93.7890  -24.9870    0.7160    0.9640    3.4810 
 2005.240227   50.9160  -92.5430  -16.9780    0.6140    0.8470    2.9930 
 2005.242975   50.8810  -93.1580  -23.7860    0.6330    0.8680    3.0750 
 2005.245713   51.4250  -93.3780  -23.2950    0.6530    0.9060    3.1740 
 2005.248450   50.6120  -93.9740  -20.1990    0.6050    0.8370    2.9580 
 2005.251188   50.2780  -94.9780  -18.4340    0.6250    0.8780    3.0810 
 2005.253926   50.4090  -94.7070  -26.5700    0.6500    0.9190    3.2260 
 2005.256664   52.9560  -95.4560  -12.8660    0.7610    1.0300    3.6500 
 2005.259402   51.4270  -93.1310  -26.5060    0.7950    1.1630    4.0240 
 2005.262140   49.0800  -92.5650  -23.7970    0.7140    0.9930    3.4540 
 2005.264878   49.4260  -92.4780  -17.9440    0.6380    0.8830    3.0920 
 2005.267615   49.5160  -92.9380  -17.1320    0.6230    0.8820    3.0560 
 2005.270353   50.2710  -93.2290  -17.8510    0.5910    0.8520    2.9840 
 2005.273091   49.9820  -93.3760  -18.8630    0.5930    0.8380    2.9150 
 2005.275829   51.5140  -94.6880  -17.2870    0.6140    0.8680    3.0540 
 2005.278567   51.9890  -94.1900  -20.7900    0.7960    1.1150    3.8940 
 2005.281305   50.1830  -93.4980  -15.5290    0.7150    0.9870    3.4870 
 2005.284043   49.3990  -92.0460  -15.6100    0.6790    0.9890    3.2860 
 2005.286780   49.9720  -93.1590   -8.1760    0.7060    0.9970    3.4000 
 2005.289518   50.2260  -91.3970  -12.3860    0.6220    0.8730    3.1260 
 2005.292256   48.3260  -90.4760  -14.1380    0.6690    0.9730    3.5030 
 2005.294994   48.3180  -91.3370  -17.4980    0.6590    0.9330    3.3390 
 2005.297732   48.1980  -90.7420  -16.2780    0.6480    0.9130    3.2040 
 2005.300470   49.0710  -90.7960  -19.5810    0.7300    1.0650    3.6590 
 2005.303207   48.1430  -90.6140  -19.7580    0.6080    0.8430    3.0180 
 2005.305945   48.4640  -89.9170  -19.2690    0.6300    0.9120    3.0710 
 2005.308683   47.9740  -92.3080  -17.5110    0.6130    0.8780    3.0790 
 2005.311421   47.6450  -91.2620  -17.4330    0.6630    0.9650    3.3630 
 2005.314159   47.7680  -91.0840  -20.0760    0.6350    0.9090    3.1880 
 2005.316897   47.3900  -93.1440  -21.3210    0.6470    0.9150    3.3280 
 2005.319635   47.5940  -91.7850  -23.7100    0.6400    0.9510    3.4130 
 2005.322372   47.8950  -91.6100  -25.1850    0.6380    0.9280    3.3190 
 2005.325110   48.7220  -92.2630  -23.1570    0.6850    0.9290    3.3880 
 2005.327848   46.3600  -91.8010  -22.9190    0.6760    0.9660    3.3670 
 2005.330586   48.5060  -92.8610  -25.0900    0.8340    1.2140    4.1520 
 2005.333324   48.1430  -90.5750  -19.2310    0.6970    1.0320    3.7430 
 2005.336062   49.1600  -92.0630  -24.2040    0.7940    1.1230    4.1380 
 2005.338800   47.6950  -92.5750  -16.1990    0.6830    0.9860    3.5360 
 2005.341537   46.0650  -90.6300  -17.5730    0.6210    0.8810    3.1240 
 2005.344275   46.9580  -90.9450  -22.1890    0.6630    0.9550    3.4030 
 2005.347013   46.8780  -90.8070  -14.5360    0.7020    1.0110    3.5950 
 2005.349751   48.1440  -90.0410  -14.6290    0.8230    1.2470    4.5070 
 2005.352489   47.8330  -89.7030  -13.1000    0.8250    1.1910    4.1590 
 2005.355227   48.5880  -90.2530   -9.8070    0.7880    1.0930    4.0050 
 2005.357964   47.5570  -91.1960  -15.7490    0.7650    1.0390    3.9420 
 2005.360702   48.9790  -91.9080  -17.1890    0.8900    1.1790    4.4310 
 2005.363440   48.4490  -91.5420  -10.6710    0.8200    1.2140    4.4410 
 2005.366178   49.0870  -90.4310  -24.0190    0.7570    1.0510    3.9370 
 2005.368916   46.5270  -89.0280  -20.0380    0.8170    1.2450    4.2970 
 2005.371654   46.4960  -92.9780  -18.8250    1.3140    1.9740    6.5900 
 2005.410735   43.8210  -89.2550  -24.8390    1.7810    2.5170    9.1710 
 2005.412722   48.9580  -89.7350  -20.2810    0.8530    1.2570    4.7270 
 2005.415478   47.9200  -91.3460  -20.4540    0.9530    1.4490    5.2810 
 2005.418197   46.7780  -90.1270  -24.2530    0.9770    1.4310    5.5780 
 2005.420935   49.2200  -89.7360  -26.1070    1.0260    1.5440    5.9080 
 2005.423673   50.2950  -91.7290  -31.3900    1.2420    1.9110    7.2080 
 2005.426411   47.9840  -92.2170   -5.8950    1.4480    2.0610    8.1330 
 2005.429149   47.6170  -88.3610  -16.0500    1.2040    1.8190    6.9980 
 2005.431886   49.8880  -88.2530  -17.9300    1.1430    1.6110    6.5940 
 2005.434624   43.0240  -89.4860  -41.5940    1.5850    2.4660   10.2370 
 2005.437362   46.5240  -92.8160  -23.5840    1.1210    1.5870    6.2600 
 2005.440100   49.0030  -88.1990  -13.5240    1.3570    2.2250    8.3750 
 2005.442838   44.2710  -91.5370  -12.8740    1.3010    2.0160    7.9690 
 2005.445576   49.6160  -92.6180  -32.2980    1.6480    2.2430    9.6470 
 2005.448314   39.3590  -93.6540  -29.6090    2.3530    3.2270   13.2660 
 2005.451051   45.2620  -92.7200  -37.0740    1.5070    2.2510    9.1340 
 2005.453770   48.7220  -90.6130  -25.1590    1.1210    1.6000    6.1660 
 2005.455938   41.9020  -94.8500  -22.6090    2.0390    3.5560   13.3940 
 2005.493032   47.6220  -90.8100  -22.5200    1.0420    1.3860    4.9950 
 2005.494857   48.3170  -88.4610   -1.5760    0.6500    0.8850    3.2690 
 2005.497595   47.4400  -87.0930  -22.7760    0.6470    0.8720    3.1190 
 2005.500333   47.5240  -88.7520   -8.3660    0.6770    0.9230    3.3430 
 2005.503071   45.7260  -89.3320  -15.5290    0.6290    0.8480    3.0100 
 2005.505808   44.8720  -88.0620   -9.1160    0.6400    0.9080    3.2270 
 2005.508546   45.1060  -89.1790  -18.5430    0.5970    0.8170    2.8990 
 2005.511284   45.6230  -89.2760  -18.7450    0.5990    0.8060    2.8530 
 2005.514022   45.0500  -86.8410  -25.4470    0.6020    0.8390    2.9260 
 2005.516760   44.7590  -88.2590  -20.6600    0.6040    0.8200    2.9500 
 2005.519498   48.2910  -88.8330  -12.4850    0.6600    0.9680    3.4910 
 2005.522236   46.9470  -87.6290  -24.5840    0.7730    1.1000    4.0170 
 2005.524973   48.9750  -88.6480  -14.4290    0.7700    1.0280    3.5460 
 2005.527711   46.8350  -87.3090  -19.8620    0.7600    1.0020    3.8140 
 2005.530449   45.9410  -87.1440  -19.4280    0.6530    0.8660    3.0270 
 2005.533187   46.6200  -87.4510  -18.0430    0.6140    0.8410    2.9860 
