 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2008.373108   27.7720  -19.4160  -25.1440    1.2290    1.5050    4.8920 
 2008.375076   29.0110  -18.9900  -27.1800    0.7130    1.0390    3.0580 
 2008.377814   28.7240  -18.7960  -25.9360    0.7040    1.0050    3.0020 
 2008.380552   29.4700  -19.5790  -27.9330    0.7120    1.0220    3.0490 
 2008.383290   28.6650  -19.4580  -25.8550    0.7200    1.0320    3.0450 
 2008.386027   29.3470  -18.2070  -21.9500    0.7280    1.0400    3.1370 
 2008.388765   29.7860  -18.8180  -26.0730    0.7610    1.0890    3.2440 
 2008.391503   29.3370  -17.7010  -29.7440    0.7620    1.1100    3.2970 
 2008.394241   28.8700  -18.5510  -30.3130    0.7160    1.0290    3.0570 
 2008.396979   30.9000  -21.5620  -23.9620    0.7220    1.0250    3.0820 
 2008.399717   28.1150  -16.1440  -24.7360    0.7190    1.0190    3.0250 
 2008.402455   29.1200  -15.5650  -28.6750    0.7130    1.0190    3.0310 
 2008.405192   28.3230  -17.2010  -31.7150    0.7360    1.0650    3.1130 
 2008.407930   29.0230  -17.3560  -19.4460    0.7410    1.0480    3.1530 
 2008.410668   28.4300  -17.3330  -26.7030    0.7450    1.0640    3.0990 
 2008.413406   26.8520  -17.5540  -26.2580    0.7060    1.0200    3.0120 
 2008.416144   26.4780  -17.2170  -25.8780    0.7240    1.0340    3.0130 
 2008.418882   27.0610  -17.1720  -23.3490    0.7030    1.0160    2.9970 
 2008.421620   26.8920  -15.5980  -21.2580    0.7460    1.0600    3.1470 
 2008.424357   28.1110  -16.0270  -22.8560    0.7190    1.0160    3.0040 
 2008.427095   28.5600  -17.3170  -25.3990    0.7120    1.0090    3.0080 
 2008.429833   28.0360  -16.9480  -24.0930    0.7490    1.0760    3.2530 
 2008.432571   29.3720  -16.1360  -27.8510    0.7520    1.1280    3.2100 
 2008.435309   29.0140  -16.2500  -28.0610    0.7350    1.0890    3.1510 
 2008.438047   28.3010  -16.7470  -27.4730    0.7100    1.0370    3.0140 
 2008.440784   28.4760  -17.0620  -23.5300    0.7080    1.0080    3.0020 
 2008.443522   27.6720  -15.5390  -23.1130    0.7170    1.0400    3.1000 
 2008.446260   25.8300  -15.2970  -28.1240    0.7480    1.0800    3.2090 
 2008.448998   25.3980  -16.6350  -25.5450    0.7050    1.0290    3.0320 
 2008.451736   24.9560  -19.1650  -30.9420    0.7990    1.1160    3.4310 
 2008.454483   24.9250  -13.2890  -33.1100    0.8420    1.1740    3.7160 
