 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 1999.210634  244.2470  -58.0390  -71.0950    1.4030    1.9940    8.3320 
 1999.214227  245.3730  -51.7800  -69.6750    0.7230    0.9900    4.6470 
 1999.216965  245.0060  -52.0750  -64.5140    0.7480    1.0250    4.8700 
 1999.222412  247.0670  -52.5040  -62.8640    0.7910    1.0470    4.9990 
 1999.236130  243.0250  -48.2470  -49.4810    0.7400    1.0060    4.8810 
 1999.239476  242.8040  -50.4910  -60.6880    1.0070    1.3570    6.9590 
 1999.241615  243.2710  -50.3330  -51.7320    0.7510    0.9990    4.7330 
 1999.244800  242.6420  -52.7510  -57.4320    0.9650    1.3130    6.6520 
 1999.247082  242.9550  -50.7310  -61.7720    0.7300    1.0370    4.8690 
 1999.252557  243.7590  -50.3530  -62.1510    0.7230    0.9940    4.7080 
 1999.255295  244.1200  -50.0140  -66.5110    0.7490    1.0260    4.8460 
 1999.258033  243.3320  -48.9390  -59.4600    0.7520    1.0230    4.8820 
 1999.263509  242.6160  -49.0590  -48.5870    0.7470    1.0300    4.7870 
 1999.266256  241.4370  -49.0460  -61.7320    0.7440    1.0160    4.8710 
 1999.268984  242.6550  -49.1540  -54.6920    0.7910    1.0720    5.0420 
 1999.271722  242.1420  -50.0390  -56.2560    0.7270    0.9890    4.6670 
 1999.274460  243.3950  -49.4440  -57.1040    0.7690    1.0460    4.8630 
 1999.277198  244.4610  -49.5650  -60.4900    0.7430    1.0310    4.8880 
 1999.279936  242.6830  -51.3810  -59.5220    0.7410    0.9920    4.7130 
 1999.282674  242.7380  -49.4610  -65.6250    0.7440    1.0070    4.8200 
 1999.285411  242.2630  -51.0440  -70.9320    0.7400    0.9990    4.7190 
 1999.288149  243.9600  -50.7430  -64.8190    0.8230    1.1110    5.4890 
 1999.290887  243.4280  -49.8370  -58.9410    0.7990    1.0740    5.1430 
 1999.293625  243.1520  -51.0060  -56.5060    0.7680    1.0290    4.8450 
 1999.296363  241.5230  -48.4650  -65.1150    0.7550    1.0210    4.8820 
 1999.299101  243.0140  -49.2800  -64.6400    0.7660    1.0880    5.2810 
 1999.301839  242.6450  -49.1140  -58.6590    0.7590    1.0380    5.0000 
 1999.304576  241.4370  -50.5800  -69.6700    0.8430    1.1360    5.8700 
