 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2007.631189   30.0750  -40.8320  -27.3120    1.0290    1.5700    5.1740 
 2007.633118   34.4680  -38.6480  -21.9530    0.6310    0.9180    2.8440 
 2007.635856   34.2130  -38.8240  -27.3860    0.6130    0.8880    2.7010 
 2007.638594   34.9260  -38.8380  -24.9880    0.6130    0.9040    2.7340 
 2007.641332   35.5740  -38.3900  -19.1590    0.6070    0.8860    2.6600 
 2007.644070   36.1770  -38.7980  -17.2020    0.6410    0.9280    2.8840 
 2007.646808   34.1900  -37.9830  -18.0790    0.6300    0.9210    2.8550 
 2007.649546   33.8610  -38.2090  -17.0820    0.6580    0.9440    3.0040 
 2007.652283   34.9710  -38.4430  -22.2910    0.6880    1.0100    3.1720 
 2007.655021   35.3340  -40.7590  -25.5150    0.6480    0.9380    2.9510 
 2007.657759   35.3180  -36.7920  -22.5910    0.6500    0.9580    2.9970 
 2007.660497   34.0750  -39.4060  -26.1680    0.6650    0.9510    3.0660 
 2007.663235   34.2150  -38.4530  -20.8130    0.6410    0.9230    2.8610 
 2007.665973   36.1080  -38.0040  -16.4370    0.6490    0.9260    2.8870 
 2007.668711   34.5150  -37.6590  -21.2270    0.6620    0.9780    3.0280 
 2007.671448   33.9270  -39.1730  -15.9970    0.6330    0.9180    2.8790 
 2007.674186   35.1920  -37.2820  -21.3880    0.6270    0.9100    2.7970 
 2007.676924   35.5110  -37.8220  -12.0620    0.6330    0.9230    2.8850 
 2007.679662   36.1860  -40.2570  -27.1760    0.6570    0.9580    2.9890 
 2007.682400   35.1450  -36.5110  -15.1750    0.6430    0.9470    2.9420 
 2007.685138   33.5360  -37.0960  -23.1500    0.6480    0.9490    3.0160 
 2007.687876   33.0540  -35.7130   -8.3930    0.6850    0.9910    3.3240 
 2007.690613   35.0040  -37.2250  -19.1230    0.6190    0.9180    2.8220 
 2007.693351   35.0880  -36.1320  -19.0770    0.6220    0.9100    2.8030 
 2007.696089   35.7150  -36.8420  -18.8150    0.6220    0.9020    2.8070 
 2007.698827   34.1800  -34.6820  -22.7500    0.6230    0.9050    2.8080 
 2007.701565   35.0770  -37.1560  -17.8420    0.6300    0.9220    2.8450 
 2007.704303   34.2670  -36.6600  -17.6990    0.6440    0.9400    2.8820 
