 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2007.666201   36.7670  -37.9930  -17.9750    0.7490    1.0710    3.4970 
 2007.668711   36.6570  -37.2280  -21.8090    0.6920    0.9760    3.1650 
 2007.671448   39.3280  -38.1250  -26.3470    0.6500    0.9190    2.9740 
 2007.674186   37.3960  -38.9680  -12.6510    0.6570    0.9120    2.9720 
 2007.676924   36.8710  -37.7410  -17.7380    0.6490    0.9470    3.0190 
 2007.679662   37.1060  -37.8040  -22.0900    0.7100    0.9720    3.1210 
 2007.682400   36.1570  -35.8470  -22.4560    0.6470    0.9220    3.0110 
 2007.685138   33.4150  -35.8020  -27.1590    0.6800    0.9710    3.2220 
 2007.687876   36.0270  -35.7280  -22.0380    0.6570    0.9340    3.1740 
 2007.690613   36.6220  -37.1490  -23.9420    0.6400    0.9030    2.9150 
 2007.693351   36.9130  -38.1490  -20.2910    0.6350    0.9290    2.9710 
 2007.696089   37.9050  -35.6980  -22.3700    0.6310    0.9040    2.9180 
 2007.698827   37.1740  -36.1560  -22.9010    0.6290    0.8980    2.9070 
 2007.701565   36.2990  -38.8590  -25.0620    0.6430    0.9310    3.0010 
 2007.704303   36.8190  -37.4670  -19.6770    0.6780    0.9650    3.1510 
 2007.707040   37.4170  -36.7120  -29.4130    0.7040    0.9900    3.3590 
 2007.709778   36.9830  -37.7530  -15.3770    0.6370    0.9110    2.9760 
 2007.712516   37.7130  -34.5680  -10.2010    0.6290    0.9040    2.9530 
 2007.715254   35.1330  -35.2590  -17.7530    0.6290    0.8800    2.8270 
 2007.717992   36.4950  -35.6040  -13.3480    0.6510    0.9210    2.8920 
 2007.720730   36.2330  -36.4390  -28.5280    0.6370    0.9160    2.9150 
 2007.723468   37.6680  -35.5140  -17.6930    0.6620    0.9680    3.0520 
 2007.726205   37.2240  -34.2920  -20.2520    0.6280    0.9160    2.8820 
 2007.728943   37.2720  -34.2250  -24.2300    0.6590    0.9270    2.9440 
 2007.731681   37.0640  -35.9040  -23.1020    0.6230    0.8920    2.7970 
 2007.734419   38.1140  -35.8190  -35.2770    0.6320    0.9310    3.0260 
 2007.737147   36.7820  -35.7540  -23.6760    0.6590    0.9410    2.9840 
 2007.739895   36.9670  -34.6150  -27.7200    0.6720    0.9890    3.0830 
 2007.742642   35.1820  -34.9370  -22.2940    0.7120    1.0370    3.2740 
 2007.745370   36.8860  -36.4620  -25.2590    0.6400    0.9230    2.8490 
 2007.748108   38.7700  -40.6400  -23.4000    0.6570    0.9550    3.1380 
 2007.750846   36.4530  -34.5650  -25.7270    0.6660    0.9410    3.0500 
 2007.753584   36.5260  -35.1000  -20.1990    0.6600    0.9900    3.0250 
 2007.756322   37.2790  -35.2480  -20.3610    0.6370    0.9060    2.8670 
 2007.759060   37.0730  -34.6280  -27.6410    0.6460    0.9230    2.9920 
 2007.761797   36.4010  -34.5490  -22.2850    0.6370    0.9160    2.8850 
 2007.764535   35.3380  -33.6740  -24.4600    0.6320    0.8980    2.8560 
 2007.767273   35.9600  -33.3910  -23.1550    0.6550    0.9480    3.0620 
 2007.770011   37.0000  -32.9520  -29.5670    0.6740    0.9570    3.0840 
 2007.772749   36.3020  -32.6130  -21.4330    0.6230    0.8910    2.8320 
 2007.775487   35.5010  -33.0210  -27.8250    0.6020    0.8640    2.7080 
 2007.778225   36.5810  -34.1000  -28.6220    0.6270    0.9050    2.8750 
 2007.780962   37.7740  -33.5660  -31.6540    0.6260    0.9050    2.8790 
 2007.783700   37.6030  -34.9410  -28.8130    0.6490    0.9320    3.0020 
 2007.786438   34.0510  -35.2290  -20.5730    0.6350    0.9130    2.8830 
 2007.789176   36.3810  -34.6920  -22.4480    0.6130    0.8880    2.8010 
 2007.791914   35.9470  -34.5480  -18.9370    0.6230    0.8990    2.8560 
 2007.794652   38.0390  -30.6950  -26.5090    0.7000    0.9770    3.2570 
 2007.797390   37.4540  -33.2270  -27.8510    0.6930    0.9770    3.1800 
 2007.800127   36.8600  -33.6260  -17.8340    0.6480    0.9440    2.9910 
 2007.802865   36.6480  -32.2370  -22.1550    0.6260    0.8890    2.8240 
 2007.805603   36.6540  -33.9160  -22.8100    0.6300    0.9030    2.8230 
 2007.808350   36.3120  -34.1260  -11.0600    0.6300    0.8970    2.8520 
 2007.811079   37.2950  -32.9810  -18.9900    0.6400    0.8950    2.8770 
 2007.813817   37.5850  -32.6360  -13.7000    0.6860    0.9670    3.1290 
 2007.816554   35.8330  -33.3250  -21.0080    0.6840    0.9730    3.0600 
 2007.819292   35.9560  -33.7580  -13.7770    0.6500    0.9160    2.9320 
 2007.822030   29.7020  -35.0920  -15.0580    0.6640    0.9210    2.9910 
 2007.824768   33.6440  -32.5720  -14.9050    0.6660    0.9380    2.9810 
 2007.827506   35.6740  -30.9750  -25.4230    0.6780    0.9260    3.0310 
 2007.830244   35.1610  -31.2320  -20.5150    0.6390    0.8920    2.8600 
 2007.832982   35.9060  -31.2220  -22.8460    0.6300    0.8890    2.8260 
 2007.835719   34.9110  -32.9620  -25.6320    0.6210    0.8690    2.7510 
 2007.838457   32.5680  -31.9260  -10.2510    0.6370    0.9040    2.8980 
 2007.841195   35.0420  -34.4290  -24.0250    0.6390    0.9040    2.8670 
 2007.843933   34.9580  -32.5680  -27.1620    0.6160    0.8850    2.8090 
 2007.846671   32.9770  -34.2060  -25.8920    0.6220    0.8950    2.8720 
 2007.849409   34.1140  -31.2610  -24.4600    0.6240    0.8940    2.7900 
 2007.852147   32.9520  -32.4830  -25.1240    0.6450    0.9230    2.9760 
 2007.854884   31.8580  -32.7950  -24.4290    0.6340    0.9000    2.8690 
