 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2007.417503   57.9510  -21.9470  -24.5130    0.7460    0.9910    3.7490 
 2007.419566   57.0020  -22.3450  -27.1960    0.5290    0.7000    2.7180 
 2007.422304   57.1520  -22.2710  -27.3730    0.5330    0.6940    2.7330 
 2007.425042   58.4900  -22.5440  -23.3460    0.5430    0.7080    2.7430 
 2007.427780   58.9320  -21.4430  -22.4180    0.5250    0.6890    2.6510 
 2007.430518   58.5510  -20.8530  -22.8600    0.5300    0.6980    2.7190 
 2007.433255   55.8460  -23.0550  -43.0890    0.5420    0.7310    2.8730 
 2007.435993   57.1550  -21.4800  -32.4960    0.5430    0.7170    2.8020 
 2007.438731   54.7150  -22.1990  -20.0390    0.5760    0.7680    3.1860 
 2007.441469   54.5230  -29.9310  -41.4240    0.5670    0.7620    3.0430 
 2007.444207   56.1060  -22.7140  -23.1240    0.5450    0.7220    2.8100 
 2007.446945   56.5320  -21.0220  -23.3960    0.5340    0.7140    2.7920 
 2007.449682   56.7650  -21.2530  -20.6040    0.5550    0.7380    2.8720 
 2007.452420   56.1370  -22.2500  -20.2380    0.5400    0.7100    2.7600 
 2007.455158   56.5280  -23.4320  -23.8940    0.5340    0.7130    2.7780 
 2007.457896   56.1950  -22.4170  -20.6210    0.5270    0.7020    2.7240 
 2007.460634   54.5420  -22.8860  -33.2380    0.5340    0.7150    2.7430 
 2007.463372   57.2510  -21.0190  -23.7970    0.5300    0.7030    2.6950 
 2007.466110   57.3010  -21.1210  -28.0490    0.5330    0.7070    2.7650 
 2007.468847   55.0020  -25.6410  -40.9010    0.5700    0.7670    3.0920 
 2007.471585   55.4890  -23.0260  -25.8390    0.5430    0.7140    2.8750 
 2007.474323   56.6200  -20.6840  -23.5980    0.5490    0.7130    2.8190 
 2007.477061   57.2850  -21.9150  -25.1220    0.5710    0.7450    2.9700 
 2007.479799   56.5730  -21.2890  -27.4900    0.5270    0.6890    2.6890 
 2007.482537   55.3270  -21.1310  -19.8050    0.5340    0.7040    2.7260 
 2007.485275   55.9640  -21.6390  -18.6020    0.5280    0.7040    2.7130 
 2007.488012   55.6570  -22.4560  -27.1820    0.5610    0.7460    2.9760 
 2007.490750   56.3270  -22.7890  -24.7500    0.5360    0.7140    2.8010 
 2007.493488   54.9340  -22.3900  -22.8050    0.5280    0.6980    2.7090 
 2007.496226   55.9180  -22.0450  -25.6610    0.5280    0.6970    2.6840 
 2007.498964   54.4040  -22.4220  -22.5610    0.5270    0.7010    2.7060 
 2007.501702   55.3780  -20.1450  -22.5290    0.5270    0.7010    2.6830 
 2007.504439   56.6250  -20.8890  -23.5970    0.5560    0.7280    2.8180 
 2007.507177   56.0010  -20.9740  -21.8740    0.5560    0.7260    2.8400 
 2007.509915   55.4490  -22.0380  -22.8720    0.5380    0.7120    2.8120 
 2007.512653   55.3920  -19.9710  -19.0560    0.5300    0.7010    2.7180 
 2007.515391   55.2780  -21.3280  -19.0800    0.5280    0.6940    2.6670 
 2007.518129   54.1260  -21.6580  -22.8240    0.5320    0.6950    2.6910 
 2007.520867   54.8440  -22.0530  -21.6020    0.5340    0.7030    2.7480 
 2007.523604   53.9800  -21.4230  -22.5550    0.5470    0.7100    2.8120 
 2007.526342   54.3710  -20.5770  -19.9230    0.5420    0.7140    2.7730 
 2007.529080   56.0420  -20.1860  -17.6050    0.5310    0.6960    2.7080 
 2007.531818   55.1400  -20.3040  -24.4680    0.5350    0.7200    2.7990 
 2007.534556   54.5430  -21.0290  -22.8730    0.5480    0.7310    2.8510 
 2007.537294   55.2680  -21.8810  -28.7280    0.5330    0.7110    2.7440 
 2007.540032   54.3160  -22.4890  -29.8730    0.5280    0.7100    2.7410 
 2007.542769   54.5170  -20.7260  -28.4740    0.5310    0.7010    2.7240 
 2007.545507   54.4200  -19.8800  -22.9970    0.5280    0.6930    2.6630 
 2007.548245   53.9900  -20.5750  -23.2260    0.5320    0.7020    2.7120 
 2007.550983   55.1130  -20.7350  -17.9430    0.5510    0.7230    2.8550 
 2007.553721   54.1310  -21.8080  -21.9980    0.5310    0.6940    2.6870 
 2007.556459   54.4380  -21.7800  -20.2930    0.5280    0.6960    2.6600 
 2007.559197   54.7710  -21.2060  -18.8980    0.5260    0.6910    2.6550 
 2007.561934   53.9990  -21.9850  -17.9810    0.5330    0.6990    2.7000 
 2007.564672   53.3400  -20.1840  -20.5220    0.5310    0.6890    2.6710 
 2007.567410   52.1250  -21.2790  -21.3300    0.5340    0.7170    2.7530 
 2007.570148   52.9280  -22.3060  -21.6730    0.5310    0.6980    2.6680 
 2007.572886   51.7870  -20.3360  -20.3740    0.5390    0.7160    2.7560 
 2007.575624   53.3170  -21.1140  -24.4070    0.5390    0.7150    2.7850 
 2007.578361   53.7340  -19.8580  -20.3780    0.5420    0.7120    2.7030 
 2007.581099   53.5040  -19.6650  -19.9510    0.5640    0.7380    2.9250 
 2007.583837   53.1580  -19.2150  -19.4270    0.5760    0.7630    3.0050 
 2007.586575   54.0430  -21.5050  -17.8450    0.5520    0.7290    2.8360 
 2007.589313   53.7040  -20.4100  -17.3750    0.5410    0.7040    2.6970 
 2007.592051   53.4170  -20.5280  -19.5310    0.5300    0.6950    2.6800 
 2007.594789   52.7580  -20.3000  -18.1540    0.5550    0.7310    2.8440 
 2007.597526   53.6520  -21.2340  -28.3380    0.6010    0.7750    3.2320 
 2007.603829   53.1070  -21.3970  -18.8950    0.9800    1.3260    5.5320 
 2007.605740   53.0110  -21.8880  -21.3170    0.6020    0.8450    3.3810 
 2007.608478   53.5570  -21.1840  -19.4590    0.6010    0.8430    3.3780 
