 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2007.631388   36.9910  -42.5650  -32.3470    1.4110    2.1890    7.2650 
 2007.633118   35.4440  -37.8720  -18.1940    0.6310    0.9070    2.7830 
 2007.635856   37.3780  -39.0770  -24.5190    0.6180    0.8950    2.7390 
 2007.638594   37.7020  -38.9560  -19.2340    0.6200    0.8990    2.8060 
 2007.641332   37.4020  -38.2870  -18.5710    0.6230    0.8930    2.7300 
 2007.644070   37.5890  -40.1730  -20.9850    0.6620    0.9460    3.0150 
 2007.646808   36.8970  -37.6970  -24.9320    0.6450    0.9220    2.9270 
 2007.649546   36.6530  -37.1010  -22.3650    0.6800    0.9510    3.1000 
 2007.652283   36.1410  -37.8740  -24.7630    0.7070    1.0280    3.2000 
 2007.655021   36.8960  -39.9290  -25.5260    0.6470    0.9240    2.9690 
 2007.657759   35.8790  -39.4500  -26.7240    0.6540    0.9330    2.9670 
 2007.660497   35.2500  -38.7950  -33.1100    0.6880    0.9670    3.2280 
 2007.663235   36.2680  -38.4900  -12.8410    0.6610    0.9340    2.9580 
 2007.665973   37.3180  -38.3850  -22.7490    0.6730    0.9500    3.0500 
 2007.668720   36.4540  -38.2190  -17.5110    0.6730    0.9740    3.0490 
 2007.671448   37.7810  -37.9520  -15.0260    0.6440    0.9100    2.8760 
 2007.674186   36.9960  -39.6470  -16.4490    0.6530    0.9230    2.9570 
 2007.676924   39.1120  -39.1080  -19.9690    0.6450    0.9200    2.9390 
 2007.679662   37.8420  -39.5710  -29.6130    0.6700    0.9530    3.0500 
 2007.682400   37.0260  -36.1170  -18.7810    0.6480    0.9380    2.9020 
 2007.685138   34.6550  -38.1230  -21.9110    0.6740    0.9840    3.1350 
 2007.687876   35.5240  -35.4210  -17.7450    0.6640    0.9500    3.0900 
 2007.690613   35.8730  -37.0870  -21.0090    0.6380    0.9110    2.8880 
 2007.693351   37.5170  -36.6370  -19.3270    0.6310    0.9050    2.8420 
 2007.696089   37.4470  -36.6350  -21.1690    0.6330    0.9090    2.8720 
 2007.698827   37.2990  -34.9930  -19.3830    0.6340    0.9120    2.8810 
 2007.701565   36.3300  -38.1300  -20.8750    0.6440    0.9390    2.9480 
 2007.704303   36.8520  -38.1240  -18.2730    0.6510    0.9410    2.9160 
 2007.707040   36.5360  -36.2480  -27.4650    0.6590    0.9370    3.0160 
 2007.709778   34.9730  -36.9480  -23.9430    0.6370    0.9090    2.8850 
