 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2009.602650    1.6870  -10.7350  -18.3930    1.1770    1.8000    6.5470 
 2009.604371    3.9320   -7.9420  -12.3530    0.6430    0.9120    3.3310 
 2009.607109    4.1360   -7.6570  -15.6740    0.6210    0.8860    3.2110 
 2009.609847    3.6220   -8.9470  -16.2980    0.6300    0.8730    3.2080 
 2009.612585    4.5340   -8.0780  -15.8170    0.6220    0.8820    3.1930 
 2009.615322    4.0510   -7.5190  -14.3270    0.6100    0.8790    3.1820 
 2009.618060    5.1310   -7.2710  -12.9460    0.6120    0.8700    3.1440 
 2009.620798    5.1700   -6.7770  -10.9580    0.6160    0.8650    3.1490 
 2009.623536    3.2370   -5.9600  -14.1280    0.6250    0.8860    3.1980 
 2009.626274    3.9370   -7.1830  -14.3420    0.6090    0.8620    3.1300 
 2009.629012    4.5130   -6.4870  -10.7800    0.6160    0.8770    3.1900 
 2009.631750    4.6010   -7.5010  -11.2600    0.6510    0.9100    3.3280 
 2009.634487    5.1330   -6.0630  -10.4570    0.6250    0.9130    3.2500 
 2009.637225    4.5800   -6.0470   -9.8860    0.6500    0.9130    3.2920 
 2009.639963    4.1510   -5.1850   -9.9180    0.6420    0.8960    3.3560 
 2009.642701    4.4090   -5.0530  -15.5180    0.6440    0.9170    3.3460 
 2009.645439    3.7940   -4.8550   -8.0720    0.6230    0.8880    3.2070 
 2009.648177    3.2320   -6.4210  -11.0970    0.6370    0.9040    3.2830 
 2009.650915    3.7630   -5.7000  -19.7510    0.6560    0.9180    3.3280 
 2009.653652    3.4120   -5.5670  -20.7500    0.6820    0.9340    3.2650 
 2009.656390    2.0390   -5.4890  -15.4830    0.6190    0.8540    3.0350 
 2009.659128    2.3670   -5.9080  -11.3390    0.6130    0.8540    3.0250 
 2009.661866    1.5660   -5.9340   -9.3950    0.6620    0.8950    3.2210 
 2009.664604    2.1310   -5.5670   -8.2780    0.6220    0.8580    3.0570 
 2009.667342    3.0270   -6.2720   -8.8470    0.6140    0.8400    2.9940 
 2009.670079    3.5120   -6.3840   -8.4890    0.6610    0.9040    3.2390 
 2009.672817    2.9330   -5.7500  -10.3340    0.6390    0.8770    3.0380 
 2009.675555    3.0410   -6.0500   -9.3790    0.6250    0.8550    3.0750 
 2009.678293    4.1450   -5.8520   -8.1470    0.6190    0.8650    3.1180 
 2009.681031    4.9330   -6.9690   -7.3990    0.6250    0.8690    3.1490 
 2009.683769    4.9490   -6.5810   -7.9960    0.6240    0.8570    3.1360 
 2009.686507    3.7570   -5.9770   -7.4150    0.6250    0.8640    3.1100 
 2009.689244    3.6780   -7.1130   -7.5170    0.6360    0.8740    3.1780 
 2009.691982    2.4500   -6.8990  -10.4170    0.6220    0.8730    3.0870 
 2009.694720    2.9690   -5.7160   -5.8200    0.6670    0.9170    3.3260 
