 % Time         East      North      Up    East_error North_error Up_error 
 % year          mm        mm        mm        mm        mm        mm 
 2009.616159    1.8830   -8.3530   -3.3310    0.9550    1.3040    5.3380 
 2009.618060    1.5510   -6.5240   -7.5070    0.5970    0.7920    3.2440 
 2009.620798    2.8610   -5.3820   -4.4240    0.6060    0.7890    3.2580 
 2009.623536    1.4120   -6.1380   -7.9380    0.6040    0.8050    3.3070 
 2009.626274    1.7320   -6.7870   -6.2720    0.6020    0.7910    3.2620 
 2009.629012    2.4400   -6.5940   -5.5710    0.5950    0.7910    3.2150 
 2009.631750    2.4710   -7.1050   -7.1370    0.5980    0.7830    3.1960 
 2009.634487    2.8220   -6.8930   -5.4340    0.6260    0.8320    3.3920 
 2009.637225    2.1150   -4.9020   -6.3080    0.6470    0.8550    3.4410 
 2009.639963    2.0130   -5.5260   -5.8770    0.6230    0.8090    3.3310 
 2009.642701    2.9440   -5.0340   -8.1540    0.6140    0.8010    3.2950 
 2009.645439    2.1220   -5.1960   -8.1840    0.6160    0.7960    3.2640 
 2009.648177    0.5330   -6.7750   -8.1120    0.6220    0.8150    3.3430 
 2009.650915    1.2580   -5.4430   -7.5660    0.6280    0.8280    3.3930 
 2009.653652    1.5750   -5.3330   -7.3820    0.6550    0.8510    3.5520 
 2009.656390    0.5120   -5.7010   -6.7840    0.6170    0.8010    3.2610 
 2009.659128    0.5000   -5.7840   -5.5200    0.6070    0.7940    3.2130 
 2009.661866    0.0570   -5.3380   -2.5530    0.6240    0.8160    3.3300 
 2009.664604    1.1820   -5.7400   -3.5740    0.6270    0.7990    3.3350 
 2009.667342    1.9450   -5.4300   -3.9640    0.6080    0.7850    3.2000 
 2009.670079    1.7680   -5.4150   -5.9520    0.6140    0.8240    3.2750 
 2009.672817    1.4850   -4.9930   -4.6840    0.6200    0.8190    3.3120 
 2009.675555    2.2580   -5.3370   -6.0660    0.6250    0.8200    3.3400 
 2009.678293    2.4820   -6.1150   -6.3170    0.6130    0.7950    3.2600 
 2009.681031    3.5250   -6.9300   -4.4760    0.6120    0.7880    3.2480 
 2009.683769    3.5940   -6.0800   -2.9570    0.6080    0.7880    3.2350 
 2009.686507    2.2230   -5.8290   -3.9240    0.6090    0.7930    3.2450 
 2009.689244    1.3410   -7.1360   -6.0000    0.6090    0.8040    3.2570 
 2009.691982    0.7930   -6.3290   -9.7580    0.6180    0.8020    3.2580 
 2009.694720    1.7290   -6.2650   -0.2810    0.6290    0.8100    3.3890 
 2009.697458    1.2980   -4.9580   -3.2040    0.6190    0.7940    3.2720 
 2009.700196    3.1740   -4.5100   -6.6060    0.6430    0.8220    3.3400 
 2009.702934    3.4990   -5.2700   -9.0380    0.6140    0.8130    3.3010 
 2009.705672    2.1890   -5.3700  -12.6690    0.6370    0.8130    3.3200 
 2009.708409    2.1800   -5.8320  -10.7440    0.6140    0.7820    3.1960 
 2009.711147    2.3020   -4.3560   -4.6200    0.6180    0.8050    3.2880 
 2009.713885    2.4010   -4.5250   -1.9150    0.6250    0.7950    3.2300 
 2009.716623    1.7020   -4.4090   -3.7210    0.6010    0.7840    3.1750 
 2009.719361    2.2260   -5.7940   -5.1100    0.6090    0.8010    3.2400 
 2009.722099    2.2070   -4.3400   -2.1660    0.6130    0.7990    3.2470 
 2009.724836    1.5650   -3.8910   -3.7530    0.6450    0.8240    3.4090 
 2009.727574    1.3410   -4.3470   -3.0560    0.6150    0.8030    3.2840 
 2009.730312    2.4930   -4.2640   -4.1000    0.5970    0.7700    3.1330 
 2009.733050    0.8070   -3.4980  -11.2970    0.6130    0.8010    3.2530 
 2009.735788    3.3830   -3.0530   -2.2740    0.6300    0.8300    3.3940 
 2009.738526    1.0760   -2.7050   -6.3890    0.6590    0.8490    3.5360 
 2009.741264    0.3920   -3.8210   -5.2010    0.6510    0.8400    3.4140 
 2009.744001    0.7480   -3.8520   -8.0670    0.6120    0.7960    3.2640 
 2009.746739    0.1150   -3.0490   -6.6490    0.6080    0.8010    3.2420 
 2009.749477    0.9360   -2.8880  -10.0910    0.6110    0.8080    3.2560 
 2009.752215    1.1390   -2.2290   -8.6290    0.6050    0.7970    3.2320 
 2009.754953    0.8100   -3.0250   -6.0590    0.6130    0.7880    3.2480 
 2009.757691    1.0190   -3.5390   -4.6650    0.6230    0.8120    3.2910 
 2009.760429    2.2450   -3.2800   -9.9230    0.6050    0.7820    3.1930 
 2009.763166    1.9550   -1.9070   -9.7840    0.6060    0.7770    3.1880 
 2009.765904    1.8950   -3.0600   -9.9850    0.6080    0.7910    3.1980 
 2009.768642    0.8650   -2.6040  -12.2280    0.6410    0.8220    3.4120 
 2009.771380    1.6190   -3.3180  -11.1600    0.6420    0.8080    3.3640 
 2009.774118    1.4270   -2.9090  -17.1280    0.6310    0.8190    3.3200 
 2009.776856    1.2350   -2.3470  -12.6170    0.6190    0.7940    3.2990 
 2009.779594    1.5560   -3.5220  -11.2060    0.6130    0.7870    3.2230 
 2009.782331    2.9030   -4.7450  -11.1890    0.6330    0.8160    3.3750 
 2009.785069    2.1330   -2.7620   -5.2920    0.6170    0.7940    3.2930 
 2009.787807    1.8740   -2.7900   -9.3110    0.6450    0.8130    3.3610 
 2009.790545    2.1980   -4.4900   -7.9690    0.6300    0.8120    3.3190 
 2009.793283    1.9420   -4.6400   -8.7450    0.6210    0.7960    3.2510 
 2009.796021   -0.1870   -4.8560  -10.2500    0.6320    0.8080    3.2920 
 2009.798758    1.0450   -3.5730   -8.3140    0.6340    0.8140    3.2800 
 2009.801496    0.8750   -3.0670   -9.2600    0.6350    0.8190    3.3790 
 2009.804234    0.1910   -2.5090   -8.3040    0.6270    0.7990    3.2800 
 2009.806972    0.7350   -2.4810  -16.4950    0.6710    0.8750    3.6300 
 2009.809710    1.2850   -2.0880  -11.6440    0.6380    0.8290    3.4010 
 2009.812448    1.3800   -2.7160   -8.7450    0.6310    0.8130    3.3040 
 2009.815186    0.2690   -1.6470   -9.3500    0.7080    0.8580    3.6140 
 2009.817923    1.1380   -2.6850  -10.5600    0.6720    0.8580    3.4630 
 2009.820661    0.4520   -3.0600  -10.7170    0.6380    0.8140    3.3160 
 2009.823399    0.6260   -2.6230  -10.9010    0.6370    0.8260    3.4100 
 2009.826137    1.5880   -2.4630   -9.3130    0.6360    0.8630    3.4160 
 2009.828875    1.1160   -2.0780   -8.5480    0.6550    0.8570    3.5580 
 2009.831613    1.2070   -2.0400   -7.2530    0.6410    0.8540    3.4480 
 2009.834351   -0.3880   -1.2500   -3.4120    0.6340    0.8200    3.2980 
 2009.837088   -1.8980   -2.6900    1.7890    0.6360    0.8230    3.3050 
